date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,2.45,2.47,2.43,2.44,22362050.0,0.6709,81.3286526
2025-06-04,2.45,2.46,2.43,2.45,17836050.0,0.5351,81.66196675
2025-06-05,2.46,2.46,2.41,2.43,25241750.0,0.7573,80.99533845
2025-06-06,2.43,2.44,2.41,2.43,12990600.0,0.3897,80.99533845
2025-06-09,2.43,2.46,2.43,2.44,17653500.0,0.5296,81.3286526
2025-06-10,2.45,2.46,2.39,2.42,25497905.0,0.765,80.6620243
2025-06-11,2.42,2.44,2.41,2.43,15251751.0,0.4576,80.99533845
2025-06-12,2.42,2.43,2.38,2.39,29599725.0,0.888,79.66208185
2025-06-13,2.39,2.39,2.35,2.36,30721699.0,0.9217,78.6621394
2025-06-16,2.37,2.4,2.36,2.38,20702409.0,0.6211,79.3287677
2025-06-17,2.39,2.4,2.36,2.4,17891737.0,0.5368,79.995396
2025-06-18,2.4,2.4,2.36,2.37,20082075.0,0.6025,78.99545355
2025-06-19,2.37,2.37,2.31,2.32,23950748.0,0.7186,77.3288828
2025-06-20,2.32,2.34,2.31,2.33,15704607.999999998,0.4712,77.66219695
2025-06-23,2.31,2.36,2.31,2.35,16696212.0,0.5009,78.32882525
2025-06-24,2.35,2.39,2.34,2.39,18750773.0,0.5626,79.66208185
2025-06-25,2.39,2.42,2.38,2.42,21593475.0,0.6478,80.6620243
2025-06-26,2.41,2.43,2.4,2.41,19337050.0,0.5801,80.32871014999999
2025-06-27,2.41,2.45,2.4,2.41,23789275.0,0.7137,80.32871014999999
2025-06-30,2.42,2.44,2.39,2.42,21575123.0,0.6473,80.6620243
2025-07-01,2.42,2.44,2.4,2.42,33802017.0,1.0141,80.6620243
2025-07-02,2.43,2.52,2.42,2.48,64280638.0,1.9285,82.6619092
2025-07-03,2.48,2.5,2.46,2.47,35521668.0,1.0657,82.32859505
2025-07-04,2.47,2.48,2.45,2.46,22078300.0,0.6624,81.9952809
2025-07-07,2.46,2.48,2.44,2.47,23017600.0,0.6906,82.32859505
2025-07-08,2.48,2.5,2.46,2.5,29444050.0,0.8834,83.3285375
2025-07-09,2.5,2.53,2.48,2.49,27055583.0,0.8117,82.99522335
2025-07-10,2.48,2.52,2.47,2.51,29651530.0,0.8896,83.66185165
2025-07-11,2.51,2.55,2.5,2.54,45756631.0,1.3728,84.6617941
2025-07-14,2.55,2.59,2.53,2.54,30922088.0,0.9277,84.6617941
2025-07-15,2.55,2.55,2.48,2.5,30753949.0,0.9227,83.3285375
2025-07-16,2.5,2.51,2.48,2.5,24045313.0,0.7214,83.3285375
2025-07-17,2.5,2.51,2.47,2.48,27293600.0,0.8189,82.6619092
2025-07-18,2.49,2.51,2.48,2.49,26241446.999999996,0.7873,82.99522335
2025-07-21,2.5,2.7,2.5,2.63,69699237.0,2.0911,87.66162145
2025-07-22,2.63,2.82,2.63,2.78,145217544.0,4.3568,92.6613337
2025-07-23,2.82,2.83,2.69,2.71,105812236.00000001,3.1745,90.32813465
2025-07-24,2.68,2.76,2.66,2.71,71684351.0,2.1507,90.32813465
2025-07-25,2.71,2.72,2.63,2.63,51932523.0,1.5581,87.66162145
2025-07-28,2.44,2.49,2.4,2.43,185813121.0,5.5747,80.99533845
2025-07-29,2.43,2.48,2.41,2.44,106949894.0,3.2087,81.3286526
2025-07-30,2.43,2.45,2.41,2.42,55916989.0,1.6776,80.6620243
2025-07-31,2.42,2.42,2.35,2.35,69850809.0,2.0956,78.32882525
2025-08-01,2.35,2.37,2.34,2.36,34541662.0,1.0363,78.6621394
2025-08-04,2.35,2.38,2.34,2.37,34495901.0,1.0349,78.99545355
2025-08-05,2.37,2.4,2.37,2.39,35707020.0,1.0713,79.66208185
2025-08-06,2.39,2.44,2.38,2.44,47524571.0,1.4258,81.3286526
2025-08-07,2.43,2.44,2.4,2.41,37886570.0,1.1367,80.32871014999999
2025-08-08,2.41,2.45,2.4,2.44,44929219.0,1.348,81.3286526
2025-08-11,2.45,2.5,2.43,2.48,51660631.0,1.5499,82.6619092
2025-08-12,2.5,2.53,2.47,2.48,37673948.0,1.1303,82.6619092
2025-08-13,2.48,2.49,2.45,2.47,36292001.0,1.0888,82.32859505
2025-08-14,2.46,2.47,2.42,2.42,32445600.0,0.9734,80.6620243
2025-08-15,2.42,2.45,2.41,2.42,39760509.0,1.1929,80.6620243
2025-08-18,2.43,2.44,2.41,2.42,45924782.0,1.3778,80.6620243
2025-08-19,2.42,2.43,2.4,2.41,33409800.0,1.0024,80.32871014999999
2025-08-20,2.41,2.44,2.4,2.44,43293800.0,1.2989,81.3286526
2025-08-21,2.45,2.45,2.42,2.43,37894219.0,1.1369,80.99533845
2025-08-22,2.44,2.44,2.4,2.44,43282068.0,1.2985,81.3286526
2025-08-25,2.44,2.49,2.43,2.46,59160584.0,1.7749,81.9952809
2025-08-26,2.47,2.49,2.43,2.47,57415026.0,1.7225,82.32859505
2025-08-27,2.47,2.48,2.4,2.4,61947601.0,1.8585,79.995396
2025-08-28,2.4,2.42,2.32,2.39,72597540.0,2.1781,79.66208185
2025-08-29,2.38,2.39,2.35,2.36,36794017.0,1.1039,78.6621394
2025-09-01,2.35,2.38,2.33,2.35,37727181.0,1.1319,78.32882525
2025-09-02,2.36,2.37,2.34,2.37,37766412.0,1.1331,78.99545355
2025-09-03,2.37,2.38,2.32,2.32,38632174.0,1.159,77.3288828
2025-09-04,2.32,2.35,2.31,2.33,32361975.0,0.9709,77.66219695
2025-09-05,2.33,2.37,2.32,2.36,31699846.000000004,0.9511,78.6621394
2025-09-08,2.36,2.38,2.34,2.36,30607809.999999996,0.9183,78.6621394
2025-09-09,2.36,2.37,2.34,2.35,25486263.0,0.7646,78.32882525
2025-09-10,2.36,2.36,2.34,2.35,22040237.0,0.6612,78.32882525
2025-09-11,2.35,2.38,2.32,2.38,31895159.999999996,0.9569,79.3287677
2025-09-12,2.38,2.62,2.36,2.62,153402259.0,4.6023,87.32830729999999
2025-09-15,2.65,2.74,2.61,2.61,234841754.0,7.0457,86.99499315
2025-09-16,2.56,2.66,2.56,2.64,114757137.00000001,3.4429,87.9949356
2025-09-17,2.64,2.66,2.59,2.63,92999131.0,2.7901,87.66162145
2025-09-18,2.64,2.72,2.62,2.65,115897768.0,3.4771,88.32824975000001
2025-09-19,2.62,2.64,2.53,2.54,86807527.0,2.6044,84.6617941
2025-09-22,2.55,2.56,2.49,2.52,51566340.0,1.5471,83.99516580000001
2025-09-23,2.53,2.54,2.43,2.47,56301421.0,1.6891,82.32859505
2025-09-24,2.47,2.5,2.43,2.49,37030222.0,1.111,82.99522335
2025-09-25,2.5,2.5,2.44,2.46,30369984.000000004,0.9112,81.9952809
2025-09-26,2.46,2.71,2.44,2.71,176878150.0,5.3066,90.32813465
2025-09-29,2.68,2.74,2.63,2.65,202448198.0,6.0738,88.32824975000001
2025-09-30,2.67,2.69,2.62,2.63,86088386.0,2.5828,87.66162145
2025-10-09,2.65,2.7,2.64,2.7,98933121.0,2.9682,89.99482049999999
2025-10-10,2.68,2.72,2.65,2.68,83471642.0,2.5043,89.3281922
2025-10-13,2.61,2.69,2.59,2.68,61864117.00000001,1.856,89.3281922
2025-10-14,2.71,2.78,2.68,2.69,90367600.0,2.7112,89.66150635000001
2025-10-15,2.69,2.75,2.67,2.71,62457440.0,1.8738,90.32813465
2025-10-16,2.72,2.72,2.64,2.64,53327181.99999999,1.5999,87.9949356
2025-10-17,2.65,2.67,2.58,2.6,54676554.0,1.6404,86.661679
2025-10-20,2.59,2.65,2.59,2.64,41533700.0,1.2461,87.9949356
2025-10-21,2.65,2.9,2.64,2.9,123549312.00000001,3.7067,96.66110350000001
2025-10-22,2.96,3.02,2.86,2.93,279603012.0,8.3886,97.66104595
2025-10-23,2.87,2.93,2.79,2.86,147505523.0,4.4254,95.3278469
