date,open,high,low,close,volume
2026-04-20,15.99,16.38,14.5,14.88,36770534.0
2026-04-21,13.88,14.0,13.07,13.18,21537841.0
2026-04-22,12.98,13.34,12.88,13.19,10804981.0
2026-04-23,13.2,13.29,12.56,12.63,10221585.0
2026-04-24,12.55,13.1,12.5,12.68,6646761.0
2026-04-27,12.58,12.67,12.28,12.48,5499436.0
2026-04-28,12.5,12.76,12.42,12.64,4968509.0
2026-04-29,12.42,12.88,12.41,12.7,5530419.0
2026-04-30,12.69,13.22,12.65,12.91,7908660.0
2026-05-06,12.98,13.07,12.8,12.85,6180615.0
2026-05-07,12.82,13.28,12.71,13.15,8263869.0
2026-05-08,12.95,13.75,12.9,13.51,11506167.0
2026-05-11,13.5,13.79,13.14,13.73,11331384.0
2026-05-12,13.65,14.19,13.37,13.57,9625005.0
2026-05-13,13.4,13.45,13.11,13.26,5614722.0
2026-05-14,13.27,13.45,12.71,12.71,5932977.0
2026-05-15,12.81,13.41,12.55,13.04,6041557.0
2026-05-18,12.87,13.64,12.82,13.58,7470959.0
2026-05-19,13.6,13.62,12.91,13.15,7376182.0
2026-05-20,13.0,13.37,12.9,13.3,6307780.0
2026-05-21,13.23,13.34,12.45,12.53,6670549.0
2026-05-22,12.6,12.72,12.4,12.51,2875657.0
2026-05-25,12.55,12.56,11.76,11.9,5443648.0
2026-05-26,11.87,11.87,11.02,11.42,3532080.0
2026-05-27,11.41,11.5,11.05,11.15,2905507.0
2026-05-28,11.14,11.34,11.03,11.24,2299048.0
2026-05-29,11.2,11.34,10.9,10.98,2287342.0
2026-06-01,11.06,11.27,10.9,11.23,2139166.0
2026-06-02,11.3,11.31,11.12,11.19,1834110.0
2026-06-03,11.21,11.25,10.77,10.87,2213683.0
2026-06-04,10.8,11.45,10.57,11.1,4432904.0
2026-06-05,11.04,11.68,11.02,11.29,5163952.0
2026-06-08,11.14,11.72,10.94,11.49,4295372.0
2026-06-09,11.5,11.52,11.24,11.28,1901727.0
2026-06-10,11.33,11.33,10.79,11.17,3439139.0
2026-06-11,11.12,11.32,10.86,11.24,2685684.0
2026-06-12,11.35,11.35,10.92,10.92,2060128.0
2026-06-15,10.95,11.05,10.92,10.97,1657436.0
2026-06-16,10.94,11.04,10.8,10.89,1812885.0
2026-06-17,10.94,11.15,10.86,10.92,1687157.0
2026-06-18,10.88,10.94,10.53,10.53,1926303.0
2026-06-22,10.5,10.52,9.98,10.29,2939483.0
2026-06-23,10.51,10.75,10.37,10.44,2249770.0
2026-06-24,10.5,10.5,10.03,10.16,1643817.0
2026-06-25,10.19,10.21,9.9,9.9,1504249.0
2026-06-26,9.96,9.96,9.57,9.57,1725259.0
2026-06-29,9.55,9.57,9.23,9.32,1370321.0
2026-06-30,9.38,9.44,9.18,9.23,1107519.0
2026-07-01,9.33,9.5,9.13,9.35,1829364.0
2026-07-02,9.33,9.58,9.28,9.35,1567068.0
2026-07-03,9.41,9.52,9.36,9.52,1270448.0
2026-07-06,9.5,9.5,9.15,9.15,1396938.0
2026-07-07,9.15,9.2,8.94,9.01,1251938.0
2026-07-08,9.02,9.08,8.83,8.86,1001110.0
2026-07-09,8.93,8.93,8.53,8.63,1683242.0
