date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,2.59,2.65,2.58,2.63,46557700.0,1.4099,86.84997102
2025-06-04,2.63,2.64,2.59,2.62,38394542.0,1.1627,86.519743
2025-06-05,2.61,2.62,2.54,2.56,46200299.0,1.399,84.53837484
2025-06-06,2.56,2.6,2.55,2.57,30736502.0,0.9308,84.86860286
2025-06-09,2.57,2.66,2.56,2.63,55037092.00000001,1.6666,86.84997102
2025-06-10,2.64,2.74,2.62,2.65,60122115.0,1.8206,87.51042708
2025-06-11,2.69,2.76,2.66,2.66,61387868.99999999,1.859,87.84065509999999
2025-06-12,2.67,2.68,2.62,2.64,40035900.0,1.2124,87.18019905
2025-06-13,2.65,2.67,2.58,2.59,42810200.0,1.2964,85.52905892000001
2025-06-16,2.58,2.59,2.54,2.58,28753313.0,0.8707,85.19883089
2025-06-17,2.58,2.63,2.56,2.58,35250403.0,1.0675,85.19883089
2025-06-18,2.57,2.58,2.54,2.56,27852026.0,0.8434,84.53837484
2025-06-19,2.56,2.56,2.49,2.5,34667803.0,1.0498,82.55700668
2025-06-20,2.51,2.53,2.5,2.5,19897500.0,0.6025,82.55700668
2025-06-23,2.49,2.52,2.47,2.51,19974000.0,0.6049,82.8872347
2025-06-24,2.52,2.55,2.51,2.53,26587511.0,0.8051,83.54769076000001
2025-06-25,2.54,2.55,2.5,2.54,32060125.0,0.9708,83.87791878
2025-06-26,2.53,2.54,2.51,2.52,30544900.0,0.925,83.21746273000001
2025-06-27,2.53,2.56,2.52,2.52,28227800.0,0.8548,83.21746273000001
2025-06-30,2.52,2.54,2.51,2.53,25528425.0,0.7731,83.54769076000001
2025-07-01,2.52,2.57,2.51,2.56,38939825.0,1.1792,84.53837484
2025-07-02,2.56,2.59,2.55,2.58,27651899.0,0.8374,85.19883089
2025-07-03,2.58,2.62,2.57,2.62,37654700.0,1.1403,86.519743
2025-07-04,2.62,2.63,2.59,2.61,35126300.0,1.0637,86.18951496999999
2025-07-07,2.61,2.66,2.6,2.64,38175111.0,1.156,87.18019905
2025-07-08,2.64,2.68,2.64,2.67,44521800.0,1.3482,88.17088312999999
2025-07-09,2.66,2.68,2.63,2.65,43723500.0,1.324,87.51042708
2025-07-10,2.65,2.67,2.64,2.66,32471300.0,0.9833,87.84065509999999
2025-07-11,2.66,2.69,2.65,2.68,45931276.0,1.3909,88.50111116
2025-07-14,2.67,2.7,2.67,2.69,40080216.0,1.2137,88.83133918
2025-07-15,2.69,2.69,2.61,2.63,48625400.0,1.4725,86.84997102
2025-07-16,2.62,2.68,2.61,2.67,39316503.0,1.1906,88.17088312999999
2025-07-17,2.67,2.75,2.67,2.7,46674400.0,1.4134,89.16156721
2025-07-18,2.73,2.76,2.67,2.69,40397400.0,1.2233,88.83133918
2025-07-21,2.69,2.74,2.69,2.72,44546967.0,1.349,89.82202326
2025-07-22,2.73,2.73,2.7,2.73,35653360.0,1.0797,90.15225129
2025-07-23,2.72,2.74,2.68,2.7,41178307.0,1.247,89.16156721
2025-07-24,2.7,2.75,2.69,2.74,44629714.0,1.3515,90.48247932
2025-07-25,2.74,2.75,2.71,2.72,41676400.0,1.262,89.82202326
2025-07-28,2.72,2.74,2.71,2.72,32239400.0,0.9763,89.82202326
2025-07-29,2.73,2.75,2.68,2.75,45845000.0,1.3883,90.81270734
2025-07-30,2.74,2.78,2.72,2.74,71644451.0,2.1695,90.48247932
2025-07-31,2.73,2.74,2.69,2.72,51505945.0,1.5597,89.82202326
2025-08-01,2.72,2.78,2.71,2.76,62555422.0,1.8943,91.14293537
2025-08-04,2.75,2.76,2.69,2.74,61641406.00000001,1.8666,90.48247932
2025-08-05,3.01,3.01,3.01,3.01,48226779.0,1.4604,99.39863604
2025-08-06,3.16,3.23,2.9,2.93,301636086.0,9.1342,96.75681182
2025-08-07,2.87,2.92,2.81,2.82,160351132.0,4.8558,93.12430353
2025-08-08,2.8,2.88,2.79,2.82,103842863.0,3.1446,93.12430353
2025-08-11,2.83,2.93,2.82,2.91,112280618.0,3.4001,96.09635577
2025-08-12,2.9,2.96,2.89,2.9,76204804.0,2.3076,95.76612774
2025-08-13,2.89,2.95,2.86,2.92,106277918.0,3.2183,96.4265838
2025-08-14,2.92,2.93,2.85,2.85,74383806.0,2.2525,94.11498761
2025-08-15,2.85,2.87,2.83,2.85,59667186.0,1.8068,94.11498761
2025-08-18,2.86,2.9,2.85,2.86,65191600.0,1.9741,94.44521564
2025-08-19,2.85,2.91,2.84,2.87,66040199.0,1.9998,94.77544366000001
2025-08-20,2.88,2.9,2.84,2.89,55076399.0,1.6678,95.43589972
2025-08-21,2.89,2.9,2.86,2.88,53031848.0,1.6059,95.10567169
2025-08-22,2.87,2.88,2.84,2.88,46454615.0,1.4067,95.10567169
2025-08-25,2.87,2.91,2.86,2.87,71559303.0,2.167,94.77544366000001
2025-08-26,2.87,2.87,2.85,2.86,57694800.0,1.7471,94.44521564
2025-08-27,2.87,2.87,2.76,2.76,70370100.0,2.21,87.88290073
2025-08-28,2.75,2.79,2.68,2.75,60382803.0,1.8963,87.56448443
2025-08-29,2.76,2.77,2.71,2.73,51159727.0,1.6067,86.92765181
2025-09-01,2.76,2.81,2.71,2.74,112409256.0,3.5303,87.24606812
2025-09-02,2.73,2.76,2.7,2.75,63961903.0,2.0088,87.56448443
2025-09-03,2.74,2.76,2.68,2.69,43464200.0,1.365,85.65398658000001
2025-09-04,2.69,2.72,2.68,2.7,49441809.0,1.5527,85.97240289
2025-09-05,2.7,2.72,2.66,2.72,44154997.0,1.3867,86.6092355
2025-09-08,2.71,2.75,2.7,2.74,42555827.0,1.3365,87.24606812
2025-09-09,2.74,2.76,2.71,2.72,40564755.0,1.274,86.6092355
2025-09-10,2.72,2.75,2.71,2.73,28476796.999999996,0.8943,86.92765181
2025-09-11,2.73,2.75,2.68,2.75,46107910.0,1.448,87.56448443
2025-09-12,2.75,2.79,2.73,2.77,69356046.0,2.1782,88.20131703999999
2025-09-15,2.78,2.89,2.77,2.88,109222059.00000001,3.4302,91.70389642
2025-09-16,2.87,2.94,2.84,2.91,90154000.0,2.8313,92.65914534
2025-09-17,2.91,2.92,2.86,2.91,65434200.0,2.055,92.65914534
2025-09-18,2.91,2.99,2.86,2.89,123887827.0,3.8908,92.02231272
2025-09-19,2.88,2.91,2.81,2.83,81456708.0,2.5582,90.11181488
2025-09-22,2.85,2.86,2.77,2.8,45265073.0,1.4216,89.15656596
2025-09-23,2.79,2.79,2.65,2.68,73381416.0,2.3046,85.33557028
2025-09-24,2.67,2.71,2.65,2.71,34078400.0,1.0702,86.2908192
