date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,1.69,1.72,1.69,1.71,13754600.0,0.5171,45.486
2025-06-04,1.71,1.73,1.7,1.72,11180703.0,0.4203,45.752
2025-06-05,1.72,1.73,1.7,1.71,10698700.0,0.4022,45.486
2025-06-06,1.71,1.72,1.7,1.72,8038302.0,0.3022,45.752
2025-06-09,1.72,1.74,1.71,1.73,18682424.0,0.7023,46.018
2025-06-10,1.73,1.74,1.7,1.71,18105440.0,0.6807,45.486
2025-06-11,1.71,1.74,1.71,1.73,20053900.0,0.7539,46.018
2025-06-12,1.73,1.73,1.7,1.71,13668400.0,0.5138,45.486
2025-06-13,1.71,1.72,1.67,1.68,20107600.0,0.7559,44.688
2025-06-16,1.67,1.72,1.67,1.72,19540802.0,0.7346,45.752
2025-06-17,1.71,1.72,1.7,1.71,15552001.0,0.5847,45.486
2025-06-18,1.72,1.78,1.69,1.73,44681038.0,1.6797,46.018
2025-06-19,1.71,1.72,1.67,1.68,42434598.0,1.5953,44.688
2025-06-20,1.67,1.69,1.67,1.67,18623155.0,0.7001,44.422
2025-06-23,1.67,1.68,1.65,1.67,11044804.0,0.4152,44.422
2025-06-24,1.68,1.71,1.67,1.7,21698802.0,0.8157,45.22
2025-06-25,1.7,1.73,1.69,1.73,28878551.0,1.0857,46.018
2025-06-26,1.73,1.74,1.71,1.71,17795891.0,0.669,45.486
2025-06-27,1.71,1.75,1.7,1.73,29504301.0,1.1092,46.018
2025-06-30,1.73,1.76,1.72,1.73,25736121.0,0.9675,46.018
2025-07-01,1.74,1.74,1.71,1.73,12967700.0,0.4875,46.018
2025-07-02,1.73,1.78,1.72,1.77,34183500.0,1.2851,47.082
2025-07-03,1.76,1.88,1.76,1.81,71880800.0,2.7023,48.146
2025-07-04,1.81,1.83,1.77,1.77,45406604.0,1.707,47.082
2025-07-07,1.77,1.87,1.76,1.83,51885500.0,1.9506,48.678
2025-07-08,1.83,1.85,1.81,1.84,35686801.0,1.3416,48.944
2025-07-09,1.84,1.86,1.83,1.85,27939945.0,1.0504,49.21
2025-07-10,1.85,1.96,1.84,1.93,77721713.0,2.9219,51.338
2025-07-11,1.91,1.94,1.89,1.91,53842717.00000001,2.0242,50.806
2025-07-14,1.91,1.92,1.85,1.86,38418900.0,1.4443,49.476
2025-07-15,1.85,1.87,1.76,1.81,49779500.0,1.8714,48.146
2025-07-16,1.8,1.82,1.78,1.8,27704300.0,1.0415,47.88
2025-07-17,1.8,1.81,1.77,1.79,17067200.0,0.6416,47.614
2025-07-18,1.79,1.79,1.76,1.77,21399026.0,0.8045,47.082
2025-07-21,1.78,1.83,1.77,1.81,33224800.0,1.2491,48.146
2025-07-22,1.81,1.84,1.79,1.84,30618311.0,1.1511,48.944
2025-07-23,1.84,1.88,1.82,1.83,31892409.999999996,1.199,48.678
2025-07-24,1.83,1.89,1.82,1.87,37874753.0,1.4239,49.742
2025-07-25,1.86,1.87,1.83,1.84,23606003.0,0.8874,48.944
2025-07-28,1.84,1.86,1.81,1.84,31096800.0,1.1691,48.944
2025-07-29,1.84,1.88,1.82,1.87,36074594.0,1.3562,49.742
2025-07-30,1.85,1.9,1.84,1.84,33298211.0,1.2518,48.944
2025-07-31,1.83,1.84,1.76,1.77,39297410.0,1.4773,47.082
2025-08-01,1.77,1.79,1.75,1.76,17572501.0,0.6606,46.816
2025-08-04,1.75,1.77,1.74,1.76,21039800.0,0.791,46.816
2025-08-05,1.76,1.79,1.75,1.77,23242574.0,0.8738,47.082
2025-08-06,1.77,1.78,1.74,1.77,23311190.0,0.8764,47.082
2025-08-07,1.77,1.78,1.75,1.77,32588190.000000004,1.2251,47.082
2025-08-08,1.77,1.83,1.76,1.81,42620802.0,1.6023,48.146
2025-08-11,1.85,1.94,1.85,1.88,82307702.0,3.0943,50.008
2025-08-12,1.89,1.91,1.86,1.9,47386145.0,1.7814,50.54
2025-08-13,1.89,1.91,1.85,1.86,26575401.0,0.9991,49.476
2025-08-14,1.87,1.91,1.82,1.82,41814800.0,1.572,48.412
2025-08-15,1.83,1.87,1.82,1.83,36189800.0,1.3605,48.678
2025-08-18,1.85,1.88,1.83,1.86,37152600.0,1.3967,49.476
2025-08-19,1.86,1.89,1.85,1.86,28751801.0,1.0809,49.476
2025-08-20,1.86,1.87,1.84,1.86,23937101.0,0.8999,49.476
2025-08-21,1.86,1.88,1.84,1.87,28316000.0,1.0645,49.742
2025-08-22,1.87,1.89,1.84,1.88,33913301.0,1.2749,50.008
2025-08-25,1.87,1.96,1.87,1.93,72101282.0,2.7106,51.338
2025-08-26,1.92,1.93,1.89,1.92,27169451.0,1.0214,51.072
2025-08-27,1.92,1.93,1.84,1.85,34724611.0,1.3054,49.21
2025-08-28,1.85,1.88,1.8,1.84,38737401.0,1.4563,48.944
2025-08-29,1.84,1.87,1.81,1.82,26876700.0,1.0104,48.412
2025-09-01,1.83,1.86,1.8,1.83,31505536.0,1.1844,48.678
2025-09-02,1.84,1.88,1.81,1.85,39183110.0,1.473,49.21
2025-09-03,1.84,1.88,1.8,1.82,39441403.0,1.4828,48.412
2025-09-04,1.82,1.85,1.8,1.82,37957402.0,1.427,48.412
2025-09-05,1.82,1.85,1.78,1.85,36586503.0,1.3754,49.21
2025-09-08,1.84,1.9,1.84,1.88,49287300.0,1.8529,50.008
2025-09-09,1.88,1.94,1.87,1.92,63937803.0,2.4037,51.072
2025-09-10,1.92,1.97,1.91,1.96,66088593.99999999,2.4845,52.136
2025-09-11,1.95,2.01,1.93,2.0,59983771.0,2.255,53.2
2025-09-12,2.0,2.12,2.0,2.08,83178786.0,3.127,55.328
2025-09-15,2.08,2.15,2.03,2.13,79429301.0,2.9861,56.658
2025-09-16,2.11,2.21,2.1,2.2,83696844.0,3.1465,58.52
2025-09-17,2.19,2.19,2.08,2.14,66978276.0,2.518,56.924
2025-09-18,2.14,2.21,2.07,2.1,85724400.0,3.2227,55.86
2025-09-19,2.11,2.12,1.98,2.06,71477370.0,2.6871,54.796
2025-09-22,2.05,2.05,1.95,2.02,41437524.0,1.5578,53.732
2025-09-23,2.02,2.02,1.89,1.9,46795000.0,1.7592,50.54
2025-09-24,1.9,1.97,1.88,1.93,47095200.0,1.7705,51.338
2025-09-25,1.93,1.94,1.89,1.9,37925010.0,1.4258,50.54
2025-09-26,1.9,1.93,1.87,1.88,32299515.000000004,1.2143,50.008
2025-09-29,1.88,1.92,1.82,1.91,36493400.0,1.3719,50.806
2025-09-30,1.9,1.93,1.88,1.91,36249410.0,1.3628,50.806
2025-10-09,1.91,1.92,1.86,1.91,35502311.0,1.3347,50.806
2025-10-10,1.91,1.99,1.9,1.95,49385676.0,1.8566,51.87
2025-10-13,1.93,1.93,1.88,1.92,42234000.0,1.5877,51.072
