date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,36.0,36.13,35.93,36.1,2651770.0,0.4434,215.92112939
2025-06-04,36.09,36.35,36.01,36.28,2468878.0,0.4128,216.99774444
2025-06-05,36.31,36.41,36.16,36.28,2925080.0,0.489,216.99774444
2025-06-06,36.36,36.68,36.11,36.18,5302146.0,0.8865,216.39962497
2025-06-09,36.28,36.3,35.7,35.8,5731667.0,0.9583,214.12677097999997
2025-06-10,35.71,35.85,35.11,35.19,6152106.0,1.0286,210.47824219999998
2025-06-11,35.22,35.47,35.19,35.41,2982600.0,0.4987,211.79410504
2025-06-12,35.38,35.39,35.14,35.31,2740700.0,0.4582,211.19598556
2025-06-13,35.18,35.31,34.68,34.74,4262739.0,0.7127,207.78670456999998
2025-06-16,34.74,34.88,34.22,34.52,5116058.0,0.8554,206.47084173000002
2025-06-17,34.35,34.72,34.31,34.4,3407912.0000000005,0.5698,205.75309837
2025-06-18,34.57,34.99,34.03,34.12,6852416.0,1.1457,204.07836385
2025-06-19,33.86,34.16,33.75,33.85,4193455.0000000005,0.7011,202.46344127
2025-06-20,33.9,34.6,33.9,34.6,6607636.0,1.1047,206.94933731
2025-06-23,34.28,34.29,33.8,34.14,4324512.0,0.723,204.19798774
2025-06-24,34.14,34.48,34.12,34.47,3778607.0,0.6317,206.171782
2025-06-25,34.45,34.65,34.22,34.57,3845318.0,0.6429,206.76990147
2025-06-26,34.57,34.73,34.45,34.54,3465900.0,0.5795,206.59046562999998
2025-06-27,34.54,34.62,34.37,34.4,3361100.0,0.5619,205.75309837
2025-06-30,34.4,34.95,34.35,34.8,4639209.0,0.7756,208.14557626
2025-07-01,34.7,34.75,34.51,34.61,2851200.0,0.4767,207.00914926
2025-07-02,34.62,34.88,34.59,34.74,3073999.0,0.5139,207.78670456999998
2025-07-03,34.7,34.95,34.65,34.9,3641200.0,0.6088,208.74369572999998
2025-07-04,34.89,34.91,34.7,34.81,3976299.0,0.6648,208.2053882
2025-07-07,33.5,33.51,32.9,33.34,3191156.0,0.5335,199.41303196
