date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,26.82,27.37,25.91,26.35,36301311.0,10.9961,86.9890882
2025-06-04,26.0,26.65,25.98,26.25,21993785.0,6.6622,86.65895884
2025-06-05,26.3,28.83,25.7,27.42,42822762.0,12.9715,90.52147243
2025-06-06,27.64,27.99,26.4,26.42,26253615.000000004,7.9525,87.22017876000001
2025-06-09,26.61,27.5,26.2,26.35,21085431.0,6.387,86.9890882
2025-06-10,26.3,26.3,25.43,25.76,15837400.0,4.7973,85.04132494
2025-06-11,25.73,25.85,25.45,25.62,10971201.0,3.3233,84.57914383
2025-06-12,25.4,25.74,25.3,25.55,10308993.0,3.1227,84.34805327
2025-06-13,26.12,26.42,25.34,25.8,27680859.999999996,8.3849,85.17337669
2025-06-16,25.71,25.71,25.17,25.38,13517800.0,4.0947,83.78683334
2025-06-17,25.42,26.47,25.28,26.3,21858989.0,6.6213,86.82402352
2025-06-18,26.14,26.43,25.66,25.86,15875500.0,4.8089,85.37145431
2025-06-19,25.55,25.59,24.54,24.76,16199400.0,4.907,81.74003127
2025-06-20,24.5,24.85,24.36,24.43,8494743.0,2.5732,80.65060436
2025-06-23,24.41,25.14,24.38,25.01,10782500.0,3.2661,82.56535468999999
2025-06-24,24.7,25.13,24.43,24.9,10006901.0,3.0312,82.20221237999999
2025-06-25,24.88,27.39,24.88,27.39,35295117.0,10.6913,90.42243362
2025-06-26,27.92,29.16,27.21,28.02,51299354.0,15.5392,92.50224863
2025-06-27,28.19,30.29,28.03,29.05,42040040.0,12.7344,95.90258111
2025-06-30,29.01,30.34,28.85,29.2,44124097.0,13.3657,96.39777516
2025-07-01,29.1,29.16,28.44,28.95,28967469.0,8.7746,95.57245175
2025-07-02,28.82,28.92,27.71,27.82,22754224.0,6.8925,91.8419899
2025-07-03,27.82,28.39,27.39,27.59,14035900.0,4.2516,91.08269236
2025-07-04,27.6,27.86,27.3,27.48,15002500.0,4.5444,90.71955005
2025-07-07,27.32,27.72,27.15,27.46,11532802.0,3.4934,90.65352417999999
2025-07-08,27.43,27.62,27.1,27.62,15164479.999999998,4.5935,91.18173116999999
2025-07-09,27.65,28.39,27.51,27.65,25775600.0,7.8077,91.28076997999999
2025-07-10,27.3,27.58,27.15,27.44,12832980.0,3.8873,90.58749830000001
2025-07-11,27.46,28.29,27.32,28.06,20963159.0,6.35,92.63430038
2025-07-14,28.08,28.35,27.8,27.98,13599000.0,4.1193,92.37019689
2025-07-15,27.72,28.09,27.34,27.51,12139687.0,3.6773,90.81858885999999
2025-07-16,27.51,27.72,27.05,27.24,12801900.0,3.8778,89.92723957
2025-07-17,27.3,28.99,27.16,28.96,30801140.000000004,9.33,95.60546468
2025-07-18,29.0,29.13,28.35,28.9,22488200.0,6.8119,95.40738706
2025-07-21,28.79,28.96,28.5,28.79,14413728.0,4.3661,95.04424476
2025-07-22,28.62,29.09,28.29,28.53,15896728.0,4.8153,94.18590841
2025-07-23,28.24,28.47,27.76,28.1,11238533.0,3.4043,92.76635213
2025-07-24,28.09,28.6,28.08,28.46,12341144.0,3.7383,93.95481785
2025-07-25,28.38,29.19,28.27,28.55,16024768.0,4.8541,94.25193428
2025-07-28,28.56,29.49,28.49,29.12,18965557.0,5.7449,96.13367167
2025-07-29,28.86,32.03,28.55,32.03,36160590.0,10.9535,105.74043625
2025-07-30,33.0,35.22,32.03,32.26,59689355.00000001,18.0806,106.49973379
2025-07-31,32.5,32.77,31.34,31.48,37240854.0,11.2807,103.92472473000001
2025-08-01,31.57,31.7,30.0,30.8,22424754.0,6.7927,101.67984504
2025-08-04,30.63,32.4,30.5,32.21,38741676.0,11.7353,106.33466911
2025-08-05,32.0,32.3,31.24,31.5,27462832.0,8.3188,103.99075061
2025-08-06,31.37,32.99,31.34,32.99,35141804.0,10.6449,108.90967816999999
2025-08-07,32.69,32.69,31.61,32.31,26323103.999999996,7.9736,106.66479848
2025-08-08,31.99,32.8,31.8,31.91,16141742.000000002,4.8895,105.34428100999999
2025-08-11,31.78,32.2,31.34,31.89,16366465.0,4.9576,105.27825514
2025-08-12,31.83,31.94,30.8,31.04,17904831.0,5.4236,102.47215552
2025-08-13,31.03,31.8,31.03,31.49,16878448.0,5.1127,103.95773767
2025-08-14,31.49,31.49,29.87,30.1,25325731.0,7.6715,99.36893947
2025-08-15,30.06,30.55,29.9,30.37,11988624.0,3.6315,100.26028876
2025-08-18,30.5,31.38,30.37,31.28,20203484.0,6.1199,103.264466
2025-08-19,31.31,31.32,30.34,30.47,17238869.0,5.2219,100.59041812
2025-08-20,30.35,32.34,30.25,31.62,27296620.0,8.2685,104.38690585
2025-08-21,31.3,32.41,31.26,31.46,19602397.0,5.9378,103.85869886
2025-08-22,31.48,32.34,30.58,32.25,23949362.0,7.2545,106.46672086
2025-08-25,32.33,33.25,31.83,32.61,26597969.0,8.0568,107.65518658
2025-08-26,32.29,32.29,31.6,31.64,16986965.0,5.1455,104.45293172000001
2025-08-27,31.36,32.22,31.0,31.0,19132457.0,5.7954,102.34010377
2025-08-28,30.88,31.5,29.53,31.03,18228010.0,5.5215,102.43914258
2025-08-29,30.8,31.82,30.66,31.77,19238299.0,5.8275,104.8820999
2025-09-01,31.61,31.65,30.73,31.26,15684619.0,4.7511,103.19844012
2025-09-02,31.32,31.32,29.9,30.33,14125544.0,4.2788,100.12823700999999
2025-09-03,30.35,30.4,27.3,27.31,22561031.0,6.834,90.15833013000001
2025-09-04,26.88,27.27,25.52,26.08,20134813.0,6.0991,86.09773891
2025-09-05,26.1,26.35,25.65,25.97,14399594.0,4.3618,85.73459661
2025-09-08,25.98,26.2,25.7,26.08,11171851.0,3.3841,86.09773891
2025-09-09,26.08,26.1,25.08,25.2,11165290.0,3.3821,83.19260048
2025-09-10,25.2,25.86,25.2,25.45,8024085.000000001,2.4306,84.0179239
2025-09-11,25.5,25.91,25.28,25.85,7794084.0,2.3609,85.33844137
2025-09-12,25.86,26.38,25.7,26.04,13100292.0,3.9682,85.96568717
2025-09-15,25.99,25.99,25.48,25.61,8640808.0,2.6174,84.54613089
2025-09-16,25.58,25.72,25.34,25.66,6299823.0,1.9083,84.71119557
2025-09-17,25.8,26.45,25.66,26.33,11137614.0,3.3737,86.92306233
2025-09-18,26.33,27.45,26.06,26.34,14693737.0,4.4509,86.95607527
2025-09-19,26.32,27.3,26.26,26.7,14058500.0,4.2585,88.14454099
2025-09-22,26.7,26.88,26.2,26.74,7893389.999999999,2.391,88.27659274
2025-09-23,26.63,26.96,25.68,26.43,10941274.0,3.3142,87.2531917
2025-09-24,26.25,26.7,25.99,26.43,8435632.0,2.5553,87.2531917
2025-09-25,26.42,26.42,25.81,25.89,7925202.0,2.4006,85.47049312
2025-09-26,25.88,27.49,25.76,27.0,19794621.0,5.996,89.13492909
2025-09-29,26.75,27.0,26.03,26.77,9706169.0,2.9401,88.37563155000001
2025-09-30,27.17,28.6,26.86,28.43,25411356.0,7.6974,93.85577904
2025-10-09,28.08,28.28,27.43,28.19,15645864.000000002,4.7393,93.06346855999999
2025-10-10,28.1,28.35,27.86,28.07,10795364.0,3.27,92.66731332
2025-10-13,27.63,29.49,27.52,29.44,24047709.0,7.2843,97.19008564
