date,open,high,low,close,volume
2025-06-03,7.46,7.72,7.29,7.34,8389000.0
2025-06-04,7.4,7.65,7.35,7.55,5147500.0
2025-06-05,7.6,7.79,7.53,7.59,5015765.0
2025-06-06,7.6,7.68,7.45,7.65,3082265.0
2025-06-09,7.77,8.03,7.77,8.03,7870256.0
2025-06-10,8.08,8.32,7.9,8.09,10072200.0
2025-06-11,8.08,8.2,7.95,7.96,5554900.0
2025-06-12,7.95,8.07,7.7,7.75,7059600.0
2025-06-13,7.72,7.74,7.39,7.6,6593100.0
2025-06-16,7.6,7.84,7.58,7.75,4605700.0
2025-06-17,7.78,7.96,7.69,7.75,5000900.0
2025-06-18,7.67,7.7,7.49,7.52,4563191.0
2025-06-19,7.51,7.54,7.18,7.22,5883800.0
2025-06-20,7.17,7.26,7.0,7.09,3491200.0
2025-06-23,7.0,7.25,6.89,7.18,3249083.0
2025-06-24,7.3,7.43,7.19,7.2,4356600.0
2025-06-25,7.2,7.4,7.18,7.25,3504783.0
2025-06-26,7.25,7.29,7.13,7.19,2716100.0
2025-06-27,7.17,7.23,7.12,7.14,2740600.0
2025-06-30,7.11,7.28,7.11,7.24,2292097.0
2025-07-01,7.28,7.3,7.14,7.16,2321600.0
2025-07-02,7.13,7.32,6.94,7.24,5744500.0
2025-07-03,7.2,7.3,7.18,7.3,2824300.0
2025-07-04,7.29,7.52,7.12,7.29,6113600.0
2025-07-07,7.27,7.65,7.25,7.65,4211100.0
2025-07-08,7.8,8.03,7.74,7.78,8053906.0
2025-07-09,7.9,8.17,7.73,8.13,10905300.0
2025-07-10,8.13,8.44,8.03,8.37,9198700.0
2025-07-11,8.3,8.36,7.95,7.95,7462000.0
2025-07-14,7.81,8.12,7.6,7.84,9948997.0
2025-07-15,7.84,7.89,7.45,7.6,10368700.0
2025-07-16,7.59,7.7,7.52,7.67,3650100.0
2025-07-17,7.67,7.7,7.54,7.63,2651500.0
2025-07-18,7.63,7.69,7.52,7.66,2739600.0
2025-07-21,7.67,7.75,7.6,7.71,2887100.0
2025-07-22,7.72,8.1,7.72,7.96,9237700.0
2025-07-23,7.85,7.93,7.66,7.78,5745600.0
2025-07-24,7.75,7.8,7.63,7.69,4085700.0
2025-07-25,7.67,7.83,7.66,7.78,3157800.0
2025-07-28,7.77,7.77,7.54,7.72,3596883.0
2025-07-29,7.65,7.78,7.58,7.71,2176900.0
2025-07-30,7.71,7.72,7.54,7.6,2626800.0
2025-07-31,7.4,7.63,7.4,7.57,2460200.0
2025-08-01,7.59,7.59,7.4,7.49,2677600.0
2025-08-04,7.52,7.59,7.39,7.48,3304300.0
2025-08-05,7.47,7.62,7.41,7.56,3863256.0
2025-08-06,7.52,7.75,7.52,7.72,3058700.0
2025-08-07,7.72,7.86,7.68,7.82,3113500.0
2025-08-08,7.83,7.87,7.7,7.79,2229800.0
2025-08-11,7.77,7.8,7.54,7.61,3559100.0
2025-08-12,7.61,7.76,7.58,7.76,3668100.0
2025-08-13,7.75,7.8,7.69,7.8,2219100.0
2025-08-14,7.8,8.13,7.76,7.78,4642600.0
2025-08-15,7.81,8.17,7.71,8.17,8868800.0
2025-08-18,8.37,8.58,8.36,8.58,3699400.0
2025-08-19,9.01,9.01,8.6,8.87,10987240.0
2025-08-20,8.97,9.1,8.43,8.69,9046940.0
2025-08-21,8.79,8.85,8.48,8.7,5908840.0
2025-08-22,8.69,8.83,8.6,8.68,4472300.0
2025-08-25,8.62,8.66,8.25,8.3,9902140.0
2025-08-26,8.31,8.43,8.21,8.36,4624500.0
2025-08-27,8.35,8.7,8.29,8.33,5696500.0
2025-08-28,8.3,8.69,8.3,8.58,6804000.0
2025-08-29,8.64,8.96,8.64,8.91,5073900.0
2025-09-01,8.9,9.15,8.67,9.11,5815900.0
2025-09-02,9.18,9.2,8.83,8.97,4300300.0
2025-09-03,9.03,9.37,8.85,9.18,4784900.0
2025-09-04,9.18,9.36,8.92,9.02,4282500.0
2025-09-05,8.92,9.08,8.83,9.0,4160900.0
2025-09-08,8.98,9.27,8.55,8.82,10708800.0
2025-09-09,8.78,8.91,8.61,8.79,3374200.0
2025-09-10,8.81,8.92,8.7,8.88,2550750.0
2025-09-11,8.88,9.03,8.79,8.92,3704650.0
2025-09-12,8.99,8.99,8.71,8.79,3381200.0
2025-09-15,8.81,9.03,8.65,8.76,4610700.0
2025-09-16,8.74,8.88,8.71,8.76,3539200.0
