date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,20.7,21.36,20.42,21.16,4778005.0,12.5417,8.06134213
2025-06-04,21.1,22.39,20.93,22.18,6501577.0,17.0658,8.44993234
2025-06-05,22.0,22.14,20.96,21.21,5334400.0,14.0021,8.08039067
2025-06-06,21.21,21.34,20.76,20.82,2988218.0,7.8437,7.9318120599999995
2025-06-09,20.86,22.82,20.85,22.66,7120717.0,18.691,8.63279833
2025-06-10,22.6,22.61,21.77,22.15,4596469.0,12.0651,8.43850322
2025-06-11,22.25,22.46,21.8,22.23,3416783.9999999995,8.9686,8.46898088
2025-06-12,22.19,22.27,21.86,22.1,2302100.0,6.0427,8.41945468
2025-06-13,22.35,25.5,22.18,24.13,12388735.0,32.5189,9.1928254
2025-06-16,23.93,23.93,22.81,23.19,8063414.999999999,21.1654,8.83471285
2025-06-17,22.7,23.88,22.38,23.6,7879850.0,20.6836,8.99091088
2025-06-18,23.28,25.2,22.52,24.6,9535197.0,25.0287,9.37188168
2025-06-19,23.88,23.99,22.9,23.84,6614525.0,17.3623,9.08234387
2025-06-20,23.3,23.96,23.09,23.35,4085443.0,10.7238,8.895668180000001
2025-06-23,23.7,25.43,23.39,24.82,9164477.0,24.0556,9.45569526
2025-06-24,23.75,25.12,23.52,24.74,7639187.0,20.0519,9.42521759
2025-06-25,24.53,26.44,24.38,25.81,8639819.0,22.6784,9.83285635
2025-06-26,25.51,28.3,25.51,27.88,9468893.0,24.8546,10.6214659
2025-06-27,27.5,29.43,27.01,27.06,7366224.000000001,19.3354,10.30906985
2025-06-30,26.95,27.4,26.5,26.88,4740589.0,12.4434,10.2404951
2025-07-01,26.9,27.15,25.89,26.32,4158672.0,10.916,10.027151459999999
2025-07-02,26.18,26.75,25.85,26.75,4420151.0,11.6023,10.1909689
2025-07-03,26.55,26.66,26.09,26.16,3058780.0,8.0289,9.96619613
2025-07-04,26.0,26.38,24.65,24.8,5121864.0,13.4442,9.448075840000001
2025-07-07,24.8,25.16,24.69,25.12,2281784.0,5.9894,9.5699865
2025-07-08,24.98,25.23,24.42,24.75,2641200.0,6.9328,9.4290273
2025-07-09,24.75,24.78,24.39,24.63,1826416.0,4.7941,9.383310799999999
2025-07-10,24.66,25.17,24.38,24.96,2170000.0,5.696,9.50903117
2025-07-11,25.1,25.1,24.43,24.45,1968400.0,5.1668,9.31473606
2025-07-14,24.58,24.8,24.45,24.67,1239700.0,3.2541,9.39854964
2025-07-15,24.59,24.69,23.74,24.07,1773330.0,4.6548,9.16996716
2025-07-16,24.0,24.49,24.0,24.19,1243226.0,3.2633,9.21568365
2025-07-17,24.24,24.91,24.1,24.73,1738400.0,4.5631,9.42140788
2025-07-18,24.67,26.33,24.67,25.89,4382198.0,11.5027,9.86333401
2025-07-21,25.65,26.0,25.31,25.42,2714800.0,7.126,9.68427774
2025-07-22,25.51,25.51,24.55,24.78,3071600.0,8.0626,9.440456419999999
2025-07-23,24.82,25.03,24.54,24.88,1385200.0,3.636,9.4785535
2025-07-24,24.89,24.89,24.5,24.57,1915659.9999999998,5.0284,9.360452559999999
2025-07-25,24.57,25.12,24.26,25.0,1714596.0,4.5006,9.52427
2025-07-28,24.99,25.97,24.9,25.7,2373400.0,6.2299,9.79094956
2025-07-29,25.7,25.9,24.93,25.21,1820700.0,4.7791,9.60427387
2025-07-30,25.26,25.26,24.63,25.03,1413099.0,3.7092,9.53569912
2025-07-31,25.09,25.39,24.55,24.61,1593402.0,4.1825,9.37569139
2025-08-01,24.7,25.24,24.5,25.16,1379800.0,3.6218,9.58522533
2025-08-04,25.15,25.39,24.8,25.22,1170102.0,3.0714,9.60808358
2025-08-05,25.3,25.44,25.13,25.24,1067103.0,2.801,9.615702989999999
2025-08-06,25.23,25.33,24.8,25.23,1282100.0,3.3653,9.61189328
2025-08-07,25.33,26.03,25.11,25.38,2238000.0,5.8745,9.6690389
2025-08-08,25.3,25.78,25.12,25.75,1587400.0,4.1667,9.8099981
2025-08-11,25.76,26.13,25.75,25.88,1809491.9999999998,4.7497,9.8595243
2025-08-12,25.99,26.26,25.68,25.76,1621900.0,4.2573,9.81380781
2025-08-13,25.89,25.9,25.25,25.62,1625600.0,4.267,9.760471899999999
2025-08-14,25.5,25.7,24.5,24.56,1841321.0,4.8332,9.35664285
2025-08-15,24.56,24.89,24.49,24.75,1517442.0,3.9831,9.4290273
2025-08-18,24.99,25.19,24.7,24.91,1412100.0,3.7066,9.48998263
2025-08-19,24.91,25.98,24.74,25.71,2754992.0,7.2315,9.79475927
2025-08-20,25.7,25.76,25.16,25.61,1679000.0,4.4072,9.75666219
2025-08-21,25.62,25.89,25.46,25.57,1732605.0,4.5479,9.74142336
2025-08-22,25.57,25.72,25.18,25.59,1379800.0,3.6218,9.74904277
2025-08-25,25.68,26.0,25.42,25.81,1999940.0000000002,5.2496,9.83285635
2025-08-26,25.66,26.44,25.66,26.09,2212289.0,5.807,9.93952817
2025-08-27,26.18,26.2,24.72,24.8,3075000.0,8.0715,9.448075840000001
2025-08-28,24.8,25.6,24.1,25.23,2167004.0,5.6881,9.61189328
2025-08-29,25.02,25.56,24.87,24.94,1298300.0,3.4079,9.501411749999999
2025-09-01,24.81,26.36,24.6,25.81,3560419.0,9.3456,9.83285635
2025-09-02,25.77,25.99,25.05,25.37,1676741.0,4.4012,9.6652292
2025-09-03,25.25,25.49,24.13,24.22,1663040.0000000002,4.3653,9.22711278
2025-09-04,24.22,24.69,23.82,24.39,1346996.0,3.5357,9.291877809999999
2025-09-05,24.5,25.15,24.13,24.98,1380050.0,3.6225,9.51665058
2025-09-08,25.08,28.0,25.05,26.83,5854050.0,15.3661,10.22144656
2025-09-09,27.35,28.47,26.86,27.81,5746288.0,15.0833,10.59479795
2025-09-10,27.65,28.53,27.45,28.15,4866218.0,12.7732,10.72432802
2025-09-11,28.15,28.25,27.41,27.83,2819716.0,7.4014,10.602417359999999
2025-09-12,27.77,27.88,27.25,27.53,2400000.0,6.2997,10.488126119999999
2025-09-15,27.7,27.7,26.8,26.94,1808900.0,4.7481,10.263353350000001
2025-09-16,26.95,27.33,26.31,26.97,1909396.0,5.0119,10.27478248
2025-09-17,26.97,26.98,26.51,26.6,1318896.0,3.4619,10.13382328
2025-09-18,26.54,26.6,25.27,25.56,2492019.0,6.5412,9.73761365
2025-09-19,25.54,26.2,25.34,25.9,2019918.9999999998,5.302,9.86714372
2025-09-22,25.89,26.67,25.4,25.48,1360729.0,3.5717,9.70713598
2025-09-23,25.3,25.73,24.38,25.05,1711200.0,4.4917,9.54331854
2025-09-24,25.05,30.06,24.86,30.06,7401242.999999999,19.4273,11.45198225
