date,open,high,low,close,volume
2025-06-03,53.6,55.94,53.1,54.9,1247472.0
2025-06-04,55.72,55.72,54.6,54.7,641261.0
2025-06-05,54.6,56.66,53.86,56.03,1351806.0
2025-06-06,56.01,56.96,55.08,56.88,1325639.0
2025-06-09,44.98,45.88,42.98,45.16,3166742.0
2025-06-10,46.29,46.82,44.67,46.35,3270779.0
2025-06-11,46.0,50.95,45.91,49.19,5791614.0
2025-06-12,49.2,53.53,47.79,52.21,7340122.0
2025-06-13,52.11,53.99,50.61,53.3,3819544.0
2025-06-16,52.9,55.0,51.93,52.3,4193713.0
2025-06-17,52.7,54.48,52.03,52.8,3262451.0
2025-06-18,52.5,56.79,52.15,55.0,3793713.0
2025-06-19,55.6,55.6,49.0,50.25,6424682.0
2025-06-20,50.5,52.0,49.11,50.5,3364923.0
2025-06-23,50.18,50.68,49.31,50.05,1623022.0
2025-06-24,50.14,53.2,49.9,50.7,3599597.0
2025-06-25,50.51,53.18,50.11,53.12,3591666.0
2025-06-26,53.3,54.44,52.16,52.49,2729168.0
2025-06-27,52.31,53.96,50.85,51.02,3011793.0
2025-06-30,50.78,54.5,50.71,54.31,4047357.0
2025-07-01,54.1,55.09,53.18,55.07,2274241.0
2025-07-02,54.47,56.88,52.62,53.22,2857493.0
2025-07-03,53.24,53.92,51.51,52.6,2264709.0
2025-07-04,52.6,52.71,51.4,52.2,1299584.0
2025-07-07,51.88,53.45,51.6,53.33,1771880.0
2025-07-08,53.16,55.45,52.83,53.5,2178040.0
2025-07-09,53.33,53.55,51.0,51.56,2715194.0
2025-07-10,51.5,52.54,49.81,50.1,3129798.0
2025-07-11,50.04,51.2,49.73,50.56,1477676.0
2025-07-14,50.6,52.19,50.57,51.66,1878453.0
2025-07-15,51.38,54.56,51.38,54.08,3072769.0
2025-07-16,53.55,54.36,53.06,54.1,1736370.0
2025-07-17,53.39,55.78,53.11,55.4,2079518.0
2025-07-18,55.4,55.66,53.5,53.99,1460172.0
2025-07-21,53.99,55.49,53.3,54.77,1778188.0
2025-07-22,55.2,56.35,53.64,54.07,2710846.0
2025-07-23,53.6,54.0,53.05,53.67,1439312.0
2025-07-24,53.37,54.18,52.8,53.67,1551734.0
2025-07-25,53.2,55.5,53.2,55.1,2031418.0
2025-07-28,55.13,59.99,55.0,58.73,4449350.0
2025-07-29,58.73,59.2,57.41,58.78,2044327.0
2025-07-30,58.7,62.29,58.4,61.69,3428334.0
2025-07-31,61.0,61.58,58.8,59.5,3252311.0
2025-08-01,58.9,60.29,58.1,58.5,1541861.0
2025-08-04,58.5,62.34,57.68,60.88,3473014.0
2025-08-05,60.59,62.43,60.2,62.25,1979100.0
2025-08-06,62.28,62.79,60.63,61.33,1731607.0
2025-08-07,60.93,64.7,60.93,63.63,2132071.0
2025-08-08,62.7,64.0,62.16,62.99,1230909.0
2025-08-11,63.0,67.98,62.5,65.79,3152901.0
2025-08-12,65.71,67.38,65.2,66.46,1468340.0
2025-08-13,66.15,66.65,65.16,65.65,1534820.0
2025-08-14,65.65,65.65,61.86,63.5,3476127.0
2025-08-15,63.43,64.55,61.93,64.5,2054548.0
2025-08-18,64.94,66.0,63.84,65.54,1689866.0
2025-08-19,66.24,69.0,63.5,67.8,2997761.0
2025-08-20,67.7,70.8,66.8,69.0,2206017.0
2025-08-21,70.0,72.14,68.5,69.01,2035898.0
2025-08-22,68.53,71.48,67.3,70.2,2341648.0
2025-08-25,70.15,70.86,67.5,68.62,2496693.0
2025-08-26,68.01,68.98,67.2,67.6,1777198.0
2025-08-27,66.53,70.8,66.1,66.25,2561395.0
2025-08-28,66.0,66.97,64.48,66.13,2047887.0
2025-08-29,66.99,71.14,66.93,70.1,2968478.0
2025-09-01,70.01,70.28,67.46,68.5,2373570.0
2025-09-02,68.16,69.12,64.88,69.12,3221364.0
