date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,23.65,24.1,23.65,23.85,903779.0000000001,0.8218,26.23018898
2025-06-04,24.0,24.98,23.75,24.61,2401220.0,2.1833,27.06603567
2025-06-05,24.64,24.85,24.14,24.31,1771445.0,1.6107,26.736096189999998
2025-06-06,18.68,19.68,18.49,19.15,3870121.0,2.7068,27.3798117
2025-06-09,19.11,22.0,19.05,20.67,11474945.0,8.0258,29.55303957
2025-06-10,21.03,24.8,20.67,24.8,24048209.0,16.8198,35.45792846
2025-06-11,25.52,27.15,23.86,23.96,37029686.0,25.8993,34.25693411
2025-06-12,23.26,27.0,22.73,26.02,32219331.0,22.5349,37.20222978
2025-06-13,24.7,25.15,23.2,23.2,22723938.0,15.8936,33.17032018
2025-06-16,23.1,23.67,22.4,23.6,14611574.0,10.2196,33.74222225
2025-06-17,23.3,28.32,23.0,27.09,38046833.0,26.6107,38.732067830000005
2025-06-18,27.37,32.0,26.13,29.96,40989371.0,28.6688,42.83546519
2025-06-19,28.82,32.8,28.03,29.36,40249704.0,28.1515,41.97761208
2025-06-20,29.51,31.0,28.5,29.13,30947243.0,21.6451,41.64876839
2025-06-23,27.41,30.8,26.58,30.5,30015067.0,20.9932,43.60753299
2025-06-24,29.8,32.66,28.81,31.02,40034492.0,28.0009,44.35100568
2025-06-25,29.77,30.57,28.51,29.09,26758982.0,18.7158,41.59157819
2025-06-26,28.5,29.85,27.92,28.0,21380190.0,14.9537,40.033145039999994
2025-06-27,27.68,28.57,27.15,27.21,17051181.0,11.5916,40.02571463
2025-06-30,27.56,28.28,26.59,28.16,16666199.0,11.3299,41.42315781
2025-07-01,28.06,28.4,26.66,27.53,15415179.999999998,10.2874,41.252373920000004
2025-07-02,27.27,27.89,26.86,27.69,11259789.0,7.5143,41.49212619
2025-07-03,27.74,29.21,26.88,28.82,21158077.0,14.12,43.18537655
2025-07-04,28.21,28.43,25.98,25.98,20152587.0,13.4489,38.92977387
2025-07-07,25.59,26.48,25.48,26.4,8305158.0,5.5425,39.55912356
2025-07-08,26.29,26.6,26.18,26.3,7856042.0,5.2428,39.4092784
2025-07-09,26.46,26.62,25.81,25.87,7709362.0,5.1449,38.764944189999994
2025-07-10,25.95,26.87,25.86,26.04,9378036.0,6.2585,39.019680969999996
2025-07-11,26.2,26.23,25.53,25.92,7090514.0,4.7319,38.83986677
2025-07-14,25.9,26.23,25.32,25.67,5881389.0,3.925,38.465253860000004
2025-07-15,25.64,25.81,24.89,25.07,7189217.999999999,4.7978,37.56618287
2025-07-16,25.0,25.18,24.81,24.89,4628605.0,3.0889,37.296461570000005
2025-07-17,24.89,25.59,24.73,25.53,6635755.0,4.4284,38.255470620000004
2025-07-18,25.75,26.94,25.53,26.29,13128019.0,8.7611,39.39429388
2025-07-21,26.03,26.11,25.28,25.96,6595341.0,4.4014,38.89980483
2025-07-22,25.69,26.99,25.49,26.78,12856037.0,8.5795,40.12853519
2025-07-23,26.52,26.52,25.72,25.78,9050218.0,6.0397,38.63008354
2025-07-24,25.71,26.5,25.69,26.38,7852314.999999999,5.2403,39.52915453
2025-07-25,26.55,27.45,26.29,27.09,12781766.0,8.53,40.5930552
2025-07-28,27.04,28.03,26.63,27.89,13658890.0,9.1153,41.79181652
2025-07-29,27.42,28.11,26.9,27.31,10927685.0,7.2927,40.922714559999996
