date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,14.21,14.49,14.2,14.38,2212899.0,0.3942,80.72932
2025-06-04,14.39,14.7,14.38,14.61,2956759.0,0.5267,82.02054
2025-06-05,14.59,14.68,14.41,14.58,2987800.0,0.5322,81.85212
2025-06-06,14.59,14.65,14.4,14.51,2206860.0,0.3931,81.45914
2025-06-09,14.55,15.08,14.51,14.75,4048175.0,0.7211,82.8065
2025-06-10,14.76,14.84,14.18,14.44,3897240.0,0.6942,81.06616
2025-06-11,14.38,14.7,14.38,14.49,2533440.0,0.4513,81.34685999999999
2025-06-12,14.49,14.57,14.35,14.41,1808680.0,0.3222,80.89774
2025-06-13,14.36,14.36,13.86,13.96,3746779.0,0.6674,78.37144
2025-06-16,13.97,14.18,13.97,14.16,2198840.0,0.3917,79.49424
2025-06-17,14.22,14.22,14.02,14.09,1603400.0,0.2856,79.10126
2025-06-18,14.11,14.16,13.93,14.04,1632998.0,0.2909,78.82056
2025-06-19,14.05,14.17,13.81,13.85,2411020.0,0.4295,77.7539
2025-06-20,13.85,14.09,13.66,13.74,2238400.0,0.3987,77.13636
2025-06-23,13.54,13.8,13.54,13.73,2236100.0,0.3983,77.08022
2025-06-24,13.79,14.27,13.74,14.2,3677600.0,0.6551,79.7188
2025-06-25,14.25,14.4,14.18,14.38,3110400.0,0.554,80.72932
2025-06-26,14.25,14.4,14.12,14.13,3036400.0,0.5409,79.32582
2025-06-27,14.14,14.3,14.06,14.22,2206500.0,0.393,79.83108
2025-06-30,14.23,14.53,14.2,14.51,3009800.0,0.5361,81.45914
2025-07-01,14.47,14.66,14.38,14.56,2680400.0,0.4774,81.73984
2025-07-02,14.62,14.75,14.39,14.62,3963700.0,0.706,82.07668000000001
2025-07-03,14.62,14.82,14.56,14.69,2358800.0,0.4202,82.46966
2025-07-04,14.64,14.74,14.42,14.49,2458700.0,0.438,81.34685999999999
2025-07-07,14.48,14.56,14.38,14.53,1997000.0,0.3557,81.57141999999999
2025-07-08,14.6,14.73,14.46,14.7,2212900.0,0.3942,82.5258
2025-07-09,14.73,14.78,14.61,14.66,2382360.0,0.4244,82.30124
2025-07-10,14.58,14.67,14.48,14.57,1729359.9999999998,0.308,81.79598
2025-07-11,14.58,14.91,14.49,14.78,3549140.0,0.6322,82.97492
2025-07-14,14.78,14.97,14.7,14.87,3004200.0,0.5351,83.48018
2025-07-15,14.81,14.95,14.73,14.94,2615400.0,0.4659,83.87316
2025-07-16,14.92,15.07,14.85,15.02,2265300.0,0.4035,84.32228
2025-07-17,15.07,15.38,14.95,15.15,4095969.9999999995,0.7296,85.0521
2025-07-18,15.2,15.23,14.92,14.98,3286200.0,0.5854,84.09772
2025-07-21,14.84,15.12,14.82,15.09,3339980.0000000005,0.5949,84.71526
2025-07-22,15.1,15.15,14.95,15.05,2525900.0,0.4499,84.4907
2025-07-23,15.01,15.1,14.83,14.9,3530919.9999999995,0.6289,83.6486
2025-07-24,14.9,15.55,14.8,15.22,5680440.0,1.0118,85.44508
