date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,10.62,10.76,10.62,10.69,4215137.0,1.1521,39.11269205
2025-06-04,10.67,10.87,10.65,10.83,3673474.0,1.004,39.62492562
2025-06-05,10.8,10.95,10.78,10.91,3413348.0000000005,0.9329,39.91763052
2025-06-06,10.91,10.98,10.84,10.89,3324841.0000000005,0.9087,39.84445429
2025-06-09,10.89,11.03,10.89,10.97,3370517.0,0.9212,40.13715919
2025-06-10,11.0,11.01,10.68,10.74,5253309.0,1.4358,39.29563261
2025-06-11,10.79,10.86,10.7,10.76,2925427.0,0.7996,39.36880883
2025-06-12,10.72,10.82,10.68,10.74,2939755.0,0.8035,39.29563261
2025-06-13,10.66,10.73,10.41,10.46,5567025.0,1.5215,38.27116547
2025-06-16,10.46,10.53,10.41,10.51,2946492.0,0.8053,38.45410603
2025-06-17,10.52,10.62,10.46,10.61,3736656.0,1.0213,38.81998715
2025-06-18,10.65,10.85,10.61,10.77,5071403.0,1.3861,39.405396950000004
2025-06-19,10.95,11.0,10.71,10.77,6070149.0,1.659,39.405396950000004
2025-06-20,10.82,10.93,10.74,10.8,5162064.0,1.4109,39.51516128
2025-06-23,10.73,10.98,10.7,10.88,4079515.0,1.115,39.80786618
2025-06-24,10.9,11.04,10.88,11.02,5266798.0,1.4395,40.32009975
2025-06-25,11.04,11.16,10.94,11.13,7274931.0,1.9883,40.72256899
2025-06-26,11.11,11.25,11.04,11.05,5919495.0,1.6179,40.42986409
2025-06-27,11.09,11.27,11.09,11.17,6076067.0,1.6607,40.86892144
2025-06-30,11.26,11.33,11.19,11.23,5258955.0,1.4373,41.08845011
2025-07-01,11.22,11.39,11.16,11.27,6129688.0,1.6753,41.23480256
2025-07-02,11.31,11.32,11.1,11.15,5368574.0,1.4673,40.79574521
2025-07-03,11.15,11.22,11.11,11.15,4056326.0,1.1086,40.79574521
2025-07-04,11.2,11.21,11.04,11.08,5757057.0,1.5735,40.53962843
2025-07-07,11.06,11.1,10.99,11.04,2767687.0,0.7564,40.39327598
2025-07-08,11.08,11.27,11.05,11.24,5780310.0,1.5798,41.12503823
2025-07-09,11.25,11.26,11.15,11.17,4057374.0,1.1089,40.86892144
2025-07-10,11.15,11.32,11.14,11.24,4471271.0,1.2221,41.12503823
2025-07-11,11.22,11.39,11.19,11.33,6172589.0,1.687,41.45433124
2025-07-14,11.36,11.4,11.3,11.33,4121765.0,1.1265,41.45433124
2025-07-15,11.36,11.42,11.23,11.35,5494668.0,1.5018,41.52750746
2025-07-16,11.34,11.48,11.32,11.39,3974594.9999999995,1.0863,41.67385991
2025-07-17,11.45,11.46,11.36,11.43,4686455.0,1.2809,41.82021236
2025-07-18,11.46,11.55,11.43,11.47,4736337.0,1.2945,41.96656481
2025-07-21,11.47,11.59,11.44,11.57,4818867.0,1.3171,42.33244593
2025-07-22,11.59,11.68,11.54,11.64,5268927.0,1.4401,42.58856272
2025-07-23,11.62,11.72,11.58,11.6,6040154.0,1.6509,42.44221027
2025-07-24,11.6,11.82,11.59,11.81,5584134.0,1.5262,43.210560629999996
2025-07-25,11.82,11.86,11.6,11.65,11524848.0,3.1499,42.625150829999995
2025-07-28,11.66,11.82,11.6,11.78,8087775.0,2.2105,43.10079629
2025-07-29,11.74,11.81,11.6,11.62,12308135.0,3.364,42.51538649
2025-07-30,11.6,11.68,11.36,11.46,11808994.0,3.2275,41.9299767
2025-07-31,11.42,11.62,11.3,11.34,10848949.0,2.9652,41.49091935
2025-08-01,11.32,11.43,11.18,11.23,9204802.0,2.5158,41.08845011
2025-08-04,11.18,11.4,11.14,11.39,8269357.000000001,2.2601,41.67385991
2025-08-05,11.4,11.51,11.38,11.46,6064025.0,1.6574,41.9299767
2025-08-06,11.44,11.63,11.38,11.59,8637208.0,2.3607,42.40562216
2025-08-07,11.55,11.83,11.52,11.65,12440198.0,3.4001,42.625150829999995
2025-08-08,11.6,11.64,11.44,11.53,7875450.0,2.1525,42.18609348
2025-08-11,11.51,11.85,11.5,11.78,9927616.0,2.7133,43.10079629
2025-08-12,11.75,12.01,11.7,11.92,12015624.0,3.284,43.61302986
2025-08-13,11.9,12.4,11.87,12.13,18100435.0,4.9471,44.38138022
2025-08-14,12.14,12.23,11.85,11.93,14575985.0,3.9838,43.64961797
2025-08-15,11.9,12.19,11.9,12.13,13538021.0,3.7001,44.38138022
2025-08-18,12.17,12.3,12.08,12.12,20050385.0,5.48,44.34479211
2025-08-19,12.13,12.27,12.04,12.15,13018741.0,3.5582,44.45455644
2025-08-20,12.11,12.37,12.0,12.37,16550717.000000002,4.5235,45.259494919999995
2025-08-21,12.4,12.5,12.15,12.3,15205007.0,4.1557,45.003378129999994
2025-08-22,12.28,12.6,12.26,12.55,24214313.0,6.6181,45.91808094
2025-08-25,12.6,12.95,12.42,12.58,24588213.0,6.7203,46.02784527
2025-08-26,12.58,12.64,12.45,12.47,14383510.999999998,3.9312,45.625376040000006
2025-08-27,12.48,12.78,12.22,12.24,21072789.0,5.7595,44.78384946
2025-08-28,12.17,12.62,12.17,12.62,22674396.0,6.1972,46.17419772
2025-08-29,12.71,12.72,12.31,12.4,17270527.0,4.7203,45.369259250000006
2025-09-01,12.47,12.75,12.28,12.44,17574097.0,4.8032,45.5156117
2025-09-02,12.35,12.44,11.81,11.96,22072686.0,6.0327,43.75938231
2025-09-03,12.02,12.23,11.81,11.87,14779360.0,4.0394,43.4300893
2025-09-04,11.9,12.04,11.44,11.63,16812857.0,4.5952,42.5519746
2025-09-05,11.64,11.92,11.5,11.89,15252596.0,4.1687,43.50326552
2025-09-08,11.85,11.85,11.63,11.82,11749550.0,3.2113,43.24714874
2025-09-09,11.78,11.79,11.46,11.52,10748453.0,2.9377,42.14950537
2025-09-10,11.55,11.66,11.46,11.47,8880145.0,2.4271,41.96656481
2025-09-11,11.48,11.83,11.39,11.82,15520679.999999998,4.242,43.24714874
