date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,5.21,5.23,5.16,5.19,36874185.0,0.7155,267.47713588
2025-06-04,5.21,5.22,5.18,5.22,23071790.0,0.4477,269.02324649
2025-06-05,5.22,5.24,5.15,5.19,34137545.0,0.6624,267.47713588
2025-06-06,5.19,5.32,5.18,5.27,46884012.0,0.9097,271.60009751
2025-06-09,5.28,5.37,5.26,5.33,37511431.0,0.7279,274.69231873
2025-06-10,5.34,5.35,5.24,5.26,35173285.0,0.6825,271.0847273
2025-06-11,5.27,5.33,5.26,5.28,29447850.0,0.5714,272.11546771
2025-06-12,5.27,5.3,5.23,5.28,28839930.0,0.5596,272.11546771
2025-06-13,5.28,5.31,5.24,5.28,41776085.0,0.8106,272.11546771
2025-06-16,5.26,5.28,5.22,5.24,35229029.0,0.6836,270.0539869
2025-06-17,5.22,5.25,5.2,5.22,22465153.0,0.4359,269.02324649
2025-06-18,5.22,5.23,5.16,5.17,25134980.0,0.4877,266.44639547
2025-06-19,5.17,5.18,5.08,5.1,34879915.0,0.6768,262.83880403999996
2025-06-20,5.09,5.12,5.08,5.1,27683717.0,0.5372,262.83880403999996
2025-06-23,5.08,5.11,5.06,5.09,24578040.0,0.4769,262.32343383999995
2025-06-24,5.1,5.17,5.09,5.17,34451760.0,0.6685,266.44639547
2025-06-25,5.17,5.29,5.15,5.28,46402826.0,0.9004,272.11546771
2025-06-26,5.27,5.3,5.24,5.3,32990002.0,0.6401,273.14620812
2025-06-27,5.29,5.37,5.27,5.28,38846325.0,0.7538,272.11546771
2025-06-30,5.28,5.31,5.26,5.27,30404078.999999996,0.5899,271.60009751
2025-07-01,5.27,5.33,5.25,5.31,33842295.0,0.6567,273.66157832
2025-07-02,5.37,5.53,5.36,5.45,93370161.0,1.8117,280.87676118
2025-07-03,5.46,5.51,5.42,5.43,45624123.0,0.8853,279.84602077
2025-07-04,5.44,5.58,5.44,5.54,67714274.0,1.3139,285.51509302
2025-07-07,5.59,5.7,5.55,5.64,77287516.0,1.4997,290.66879506000004
2025-07-08,5.69,5.98,5.68,5.97,171904320.0,3.3356,307.67601179
2025-07-09,5.97,6.19,5.93,5.95,194539966.0,3.7748,306.64527138
2025-07-10,5.96,6.0,5.88,5.95,85812675.0,1.6651,306.64527138
2025-07-11,5.99,6.01,5.9,5.95,91140999.0,1.7685,306.64527138
2025-07-14,5.97,6.05,5.91,5.93,87033067.0,1.6887,305.61453097000003
2025-07-15,5.92,5.93,5.82,5.84,86606547.0,1.6805,300.97619914
2025-07-16,5.86,5.87,5.72,5.8,59715426.0,1.1587,298.91471831999996
2025-07-17,5.63,5.68,5.59,5.6,64135743.00000001,1.2445,288.60731424
2025-07-18,5.61,5.66,5.58,5.6,54530547.0,1.0581,288.60731424
2025-07-21,5.61,5.69,5.61,5.66,66802893.00000001,1.2962,291.69953546
2025-07-22,5.66,5.69,5.54,5.69,80507584.0,1.5621,293.24564608
2025-07-23,5.69,5.74,5.66,5.68,64339911.0,1.2484,292.73027587
2025-07-24,5.66,5.78,5.6,5.76,81986630.0,1.5792,299.0409287
2025-07-25,5.76,5.8,5.65,5.66,59446462.0,1.1496,292.68878177
2025-07-28,5.66,5.68,5.55,5.58,72779918.0,1.4074,288.55183786
2025-07-29,5.58,5.59,5.49,5.54,53461940.0,1.0338,286.48336591
2025-07-30,5.54,5.64,5.52,5.55,42030147.0,0.8128,287.0004839
2025-07-31,5.53,5.54,5.38,5.39,82393871.0,1.5933,278.72659607
2025-08-01,5.42,5.48,5.41,5.43,46523166.0,0.8997,280.79506803000004
2025-08-04,5.43,5.45,5.39,5.45,36550206.0,0.7068,281.82930401
