date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,1.88,1.9,1.87,1.9,50703400.0,0.3737,257.81819247
2025-06-04,1.9,1.91,1.89,1.89,27430000.0,0.2021,256.46125460999997
2025-06-05,1.9,1.9,1.87,1.88,40701600.0,0.3,255.10431676
2025-06-06,1.88,1.9,1.87,1.9,47884200.0,0.3529,257.81819247
2025-06-09,1.89,1.91,1.89,1.9,37177200.0,0.2744,257.39323467
2025-06-10,1.9,1.91,1.87,1.89,60790925.0,0.4487,256.03853343000003
2025-06-11,1.88,1.9,1.88,1.89,38651301.0,0.2853,256.03853343000003
2025-06-12,1.9,1.91,1.88,1.9,50855223.0,0.3754,257.39323467
2025-06-13,1.93,2.09,1.93,2.09,478968588.0,3.5356,283.13255814
2025-06-16,2.1,2.19,2.03,2.06,534587101.0,3.9462,279.06845443000003
2025-06-17,2.05,2.11,1.99,2.08,344447055.0,2.5426,281.7778569
2025-06-18,2.08,2.1,2.01,2.03,255156085.0,1.8835,275.00435073
2025-06-19,2.01,2.12,1.98,2.07,357149876.0,2.6364,280.42315567
2025-06-20,2.03,2.04,1.98,1.99,225726075.99999997,1.6662,269.58554578
2025-06-23,2.06,2.09,2.03,2.07,278930863.0,2.059,280.42315567
2025-06-24,1.96,2.0,1.94,1.96,316599216.0,2.337,265.52144208
2025-06-25,1.95,1.95,1.92,1.94,176873245.0,1.3056,262.81203961
2025-06-26,1.93,1.96,1.92,1.95,154170785.0,1.138,264.16674084
2025-06-27,1.94,1.94,1.92,1.93,99598871.0,0.7352,261.45733837
2025-06-30,1.93,1.95,1.92,1.95,130636403.0,0.9643,264.16674084
2025-07-01,1.94,1.97,1.93,1.96,129793553.0,0.9581,265.52144208
2025-07-02,1.97,1.99,1.96,1.97,114905000.0,0.8482,266.87614331
2025-07-03,1.97,1.98,1.95,1.96,84673455.0,0.625,265.52144208
2025-07-04,1.96,1.98,1.95,1.96,85408700.0,0.6305,265.52144208
2025-07-07,1.95,1.96,1.93,1.95,84684517.0,0.6251,264.16674084
2025-07-08,1.96,1.96,1.94,1.96,72157022.0,0.5326,265.52144208
2025-07-09,1.96,1.98,1.95,1.96,102960068.0,0.76,265.52144208
2025-07-10,1.97,2.01,1.96,2.0,141290112.0,1.043,270.94024701999996
2025-07-11,2.0,2.02,1.99,2.01,91892433.0,0.6783,272.29494826
2025-07-14,2.02,2.04,2.01,2.03,105175364.99999999,0.7764,275.00435073
2025-07-15,2.02,2.03,1.96,1.98,106111600.0,0.7833,268.23084455
2025-07-16,1.98,2.0,1.97,1.97,68295525.0,0.5041,266.87614331
2025-07-17,1.97,1.99,1.96,1.98,81351363.0,0.6005,268.23084455
2025-07-18,1.98,2.0,1.98,1.98,70723800.0,0.5221,268.23084455
2025-07-21,1.99,2.04,1.98,2.03,124875190.99999999,0.9218,275.00435073
2025-07-22,2.03,2.05,2.0,2.05,107442683.0,0.7931,277.7137532
2025-07-23,2.05,2.06,2.02,2.03,86616400.0,0.6394,275.00435073
2025-07-24,2.02,2.07,2.01,2.07,134245385.0,0.991,280.42315567
2025-07-25,2.07,2.08,2.04,2.04,102840301.0,0.7591,276.35905196000004
2025-07-28,2.04,2.05,2.01,2.02,88007078.0,0.6496,273.64964949
2025-07-29,2.02,2.04,2.0,2.02,75087321.0,0.5543,273.64964949
2025-07-30,2.04,2.07,2.03,2.04,117595200.0,0.8681,276.35905196000004
2025-07-31,2.04,2.05,1.99,2.0,120738900.0,0.8913,270.94024701999996
2025-08-01,1.98,2.0,1.97,1.98,70500769.0,0.5204,268.23084455
2025-08-04,1.97,2.0,1.96,1.99,70008107.0,0.5168,269.58554578
2025-08-05,1.99,2.02,1.98,2.01,65691331.99999999,0.4849,272.29494826
2025-08-06,2.02,2.03,2.0,2.02,67437155.0,0.4978,273.64964949
2025-08-07,2.02,2.03,2.0,2.02,67282200.0,0.4967,273.64964949
2025-08-08,2.02,2.05,2.01,2.04,98712700.0,0.7287,276.35905196000004
2025-08-11,2.04,2.05,2.01,2.03,86144403.0,0.6359,275.00435073
2025-08-12,2.02,2.04,2.02,2.03,65689538.0,0.4849,275.00435073
2025-08-13,2.04,2.06,2.03,2.05,95652673.0,0.7061,277.7137532
2025-08-14,2.05,2.05,2.0,2.0,81616709.0,0.6025,270.94024701999996
2025-08-15,2.01,2.04,2.0,2.03,86356033.0,0.6375,275.00435073
2025-08-18,2.04,2.05,2.02,2.03,90628057.0,0.669,275.00435073
2025-08-19,2.03,2.05,2.03,2.03,101671173.0,0.7505,275.00435073
2025-08-20,2.04,2.06,2.03,2.06,114183362.00000001,0.8429,279.06845443000003
2025-08-21,2.06,2.09,2.05,2.08,134924900.0,0.996,281.7778569
2025-08-22,2.08,2.09,2.04,2.07,108137160.00000001,0.7982,280.42315567
2025-08-25,2.07,2.1,2.06,2.09,137351124.0,1.0139,283.13255814
2025-08-26,2.09,2.13,2.08,2.12,133955777.0,0.9888,287.19666184
2025-08-27,2.11,2.11,2.05,2.05,118104853.0,0.8718,277.7137532
2025-08-28,2.05,2.08,2.01,2.07,109214600.0,0.8062,280.42315567
2025-08-29,2.06,2.1,2.04,2.05,112300935.00000001,0.829,277.7137532
2025-09-01,2.05,2.08,2.03,2.07,96565185.0,0.7128,280.42315567
2025-09-02,2.08,2.1,2.06,2.08,119585637.00000001,0.8827,281.7778569
2025-09-03,2.09,2.1,2.04,2.05,89472690.0,0.6605,277.7137532
2025-09-04,2.04,2.05,2.01,2.03,115470800.0,0.8524,275.00435073
2025-09-05,2.03,2.04,2.0,2.03,102905641.0,0.7596,275.00435073
2025-09-08,2.03,2.08,2.03,2.06,120490386.00000001,0.8894,279.06845443000003
2025-09-09,2.06,2.07,2.03,2.05,71112500.0,0.5249,277.7137532
2025-09-10,2.04,2.1,2.04,2.09,159178750.0,1.175,283.13255814
2025-09-11,2.08,2.1,2.05,2.1,114482575.0,0.8451,284.48725937
2025-09-12,2.09,2.11,2.07,2.1,94844474.0,0.7001,284.48725937
2025-09-15,2.1,2.16,2.09,2.12,132654637.99999999,0.9792,287.19666184
2025-09-16,2.12,2.15,2.1,2.13,101568939.0,0.7498,288.55136308
2025-09-17,2.14,2.15,2.12,2.14,121492201.0,0.8968,289.90606431
2025-09-18,2.14,2.18,2.12,2.13,168216290.0,1.2417,288.55136308
2025-09-19,2.12,2.15,2.09,2.11,111409599.0,0.8224,285.84196061
2025-09-22,2.11,2.11,2.05,2.07,91724500.0,0.6771,280.42315567
2025-09-23,2.06,2.07,2.0,2.03,120867973.0,0.8922,275.00435073
2025-09-24,2.05,2.09,2.04,2.07,125722563.99999999,0.928,280.42315567
2025-09-25,2.08,2.08,2.04,2.05,83703103.0,0.6179,277.7137532
2025-09-26,2.05,2.09,2.04,2.06,96953750.0,0.7157,279.06845443000003
2025-09-29,2.07,2.09,2.03,2.09,104412074.0,0.7707,283.13255814
2025-09-30,2.08,2.08,2.06,2.07,72996431.0,0.5388,280.42315567
2025-10-09,2.06,2.12,2.06,2.12,114057997.0,0.8419,287.19666184
2025-10-10,2.11,2.16,2.1,2.15,122984402.0,0.9078,291.26076555
2025-10-13,2.1,2.12,2.07,2.11,123752824.0,0.9135,285.84196061
2025-10-14,2.11,2.13,2.09,2.1,120306805.0,0.8881,284.48725937
2025-10-15,2.1,2.12,2.08,2.11,93189901.0,0.6879,285.84196061
2025-10-16,2.1,2.11,2.07,2.08,90485423.0,0.6679,281.7778569
2025-10-17,2.08,2.1,2.05,2.06,114648500.0,0.8463,279.06845443000003
2025-10-20,2.06,2.1,2.06,2.09,108820233.0,0.8033,283.13255814
2025-10-21,2.1,2.3,2.1,2.3,369647660.0,2.7286,311.58128407
2025-10-22,2.45,2.53,2.38,2.53,597894741.0,4.4135,342.73941248
2025-10-23,2.72,2.72,2.44,2.46,915439798.0,6.7575,333.25650383
2025-10-24,2.5,2.59,2.35,2.43,602472244.0,4.4473,329.19240013
2025-10-27,2.37,2.39,2.27,2.32,496861090.00000006,3.6677,314.29068654
2025-10-28,2.31,2.34,2.28,2.3,338096330.0,2.4957,311.58128407
2025-10-29,2.29,2.33,2.24,2.31,268085462.0,1.9789,312.93598531
2025-10-30,2.31,2.34,2.25,2.25,240120171.0,1.7725,304.8077779
2025-10-31,2.25,2.29,2.23,2.24,163473255.0,1.2067,303.45307666
2025-11-03,2.24,2.3,2.23,2.29,212764875.0,1.5706,310.22658284
2025-11-04,2.28,2.3,2.24,2.26,165552400.0,1.2221,306.16247913
2025-11-05,2.24,2.33,2.24,2.32,236680323.0,1.7471,314.29068654
2025-11-06,2.32,2.33,2.3,2.32,142550895.0,1.0523,314.29068654
2025-11-07,2.31,2.35,2.3,2.31,157649925.0,1.1637,312.93598531
2025-11-10,2.31,2.35,2.28,2.33,219160396.0,1.6178,315.64538777999996
2025-11-11,2.34,2.37,2.32,2.35,181285159.0,1.3382,318.35479025
2025-11-12,2.35,2.59,2.35,2.59,385503397.0,2.8457,350.86761989
2025-11-13,2.54,2.68,2.44,2.63,604750665.0,4.4641,356.28642483
2025-11-14,2.61,2.71,2.57,2.59,404062239.0,2.9827,350.86761989
2025-11-17,2.58,2.63,2.55,2.58,258430413.0,1.9077,349.51291866
2025-11-18,2.58,2.59,2.45,2.47,246553606.0,1.82,334.61120507
2025-11-19,2.47,2.57,2.47,2.5,239040774.00000003,1.7645,338.67530877999997
2025-11-20,2.5,2.51,2.43,2.45,167841290.0,1.239,331.9018026
2025-11-21,2.42,2.44,2.31,2.31,191048407.0,1.4103,312.93598531
2025-11-24,2.34,2.35,2.26,2.29,135744600.0,1.002,310.22658284
2025-11-25,2.29,2.31,2.27,2.28,127571737.99999999,0.9417,308.8718816
2025-11-26,2.28,2.31,2.26,2.27,176925888.0,1.306,307.51718037
2025-11-27,2.27,2.32,2.24,2.25,155055941.0,1.1446,304.8077779
2025-11-28,2.26,2.29,2.24,2.28,127565000.0,0.9416,308.8718816
2025-12-01,2.29,2.36,2.29,2.35,181295050.0,1.3383,318.35479025
