date,open,high,low,close,volume
2026-01-05,28.48,28.66,28.4,28.66,1607301.0
2026-01-06,28.51,28.87,28.51,28.86,1286703.0
2026-01-07,28.8,29.24,28.71,29.04,1870923.0
2026-01-08,29.01,29.11,28.88,29.1,1292586.0
2026-01-09,29.2,29.3,28.98,29.11,1637253.0
2026-01-12,29.3,29.49,28.98,29.09,1631046.0
2026-01-13,28.97,30.28,28.97,29.57,6313766.0
2026-01-14,29.5,29.58,28.39,29.04,4723476.0
2026-01-15,28.7,29.06,28.65,28.93,1769559.0
2026-01-16,28.58,29.06,28.58,28.92,2096676.0
2026-01-19,28.94,29.4,28.94,29.16,1773797.0
2026-01-20,29.16,29.35,28.85,28.98,1473900.0
2026-01-21,28.86,29.25,28.82,29.06,1201109.0
2026-01-22,29.06,29.15,28.82,28.87,1264921.0
2026-01-23,28.79,29.7,28.61,28.9,3802168.0
2026-01-26,28.88,29.5,28.81,29.42,3709830.0
2026-01-27,29.58,29.59,28.28,28.83,2900202.0
2026-01-28,28.8,29.34,28.22,28.22,2214568.0
2026-01-29,28.22,28.38,27.89,27.91,1353860.0
2026-01-30,28.05,28.52,27.74,28.3,1487010.0
2026-02-02,28.5,28.5,27.55,27.59,1410800.0
2026-02-03,27.82,28.23,27.73,28.16,1205218.0
2026-02-04,28.35,28.38,27.91,28.08,769418.0
2026-02-05,28.02,28.29,27.95,27.97,1175630.0
2026-02-06,27.85,28.04,27.72,27.88,717954.0
2026-02-09,28.06,28.19,27.89,28.08,835330.0
2026-02-10,28.15,28.17,27.9,27.97,1201321.0
2026-02-11,28.02,28.02,27.75,27.8,844561.0
2026-02-12,27.8,27.93,27.56,27.56,917928.0
2026-02-13,27.57,27.82,27.47,27.55,932137.0
2026-02-24,27.6,28.09,27.4,27.8,1161432.0
2026-02-25,27.82,28.03,27.81,27.86,676968.0
2026-02-26,27.88,27.98,27.72,27.78,825349.0
2026-02-27,27.75,27.8,27.68,27.73,571893.0
2026-03-02,27.54,27.54,27.08,27.11,961233.0
2026-03-03,27.12,27.3,26.46,26.51,1142950.0
2026-03-04,26.45,26.51,26.0,26.16,800780.0
2026-03-05,26.31,26.5,26.15,26.22,737103.0
2026-03-06,26.19,26.59,26.12,26.57,476774.0
2026-03-09,26.41,26.66,26.15,26.57,757004.0
2026-03-10,26.73,26.87,26.57,26.84,482762.0
2026-03-11,26.89,26.89,26.7,26.72,481177.0
2026-03-12,26.75,26.98,26.56,26.84,667584.0
2026-03-13,26.82,27.1,26.7,26.9,570576.0
2026-03-16,26.7,27.31,26.7,27.22,829451.0
2026-03-17,27.16,28.18,27.13,27.75,2134865.0
2026-03-18,27.75,27.85,27.3,27.47,1239410.0
2026-03-19,27.27,27.74,27.1,27.2,976013.0
2026-03-20,27.21,27.4,26.45,26.45,909586.0
2026-03-23,26.2,26.2,24.45,24.51,1958693.0
2026-03-24,24.98,25.33,24.63,25.25,936214.0
2026-03-25,25.25,25.49,25.15,25.29,694345.0
2026-03-26,25.26,25.47,24.8,24.92,808384.0
2026-03-27,24.6,25.25,24.51,24.94,881095.0
2026-03-30,24.55,24.98,24.47,24.85,1231995.0
2026-03-31,24.8,25.1,24.73,24.74,1066479.0
2026-04-01,25.0,25.28,24.91,25.24,662674.0
2026-04-02,25.19,25.23,24.85,24.97,457628.0
2026-04-03,24.91,25.01,23.93,24.01,986171.0
2026-04-07,24.0,24.96,23.8,24.84,1371954.0
2026-04-08,24.75,25.94,24.75,25.39,1261109.0
2026-04-09,25.39,25.39,24.7,25.05,964018.0
2026-04-10,25.19,25.93,24.94,25.6,1363286.0
2026-04-13,25.45,26.16,25.27,26.03,1054582.0
2026-04-14,26.05,26.11,25.37,25.64,1062301.0
2026-04-15,25.68,25.77,25.45,25.5,494231.0
2026-04-16,25.51,26.05,25.35,25.52,771101.0
2026-04-17,25.52,25.88,25.29,25.82,1124956.0
2026-04-20,25.52,25.99,25.52,25.6,1121305.0
2026-04-21,25.8,26.25,25.16,26.14,2249499.0
2026-04-22,26.05,26.17,25.58,25.97,1408200.0
2026-04-23,25.95,26.18,25.62,26.04,1147806.0
