date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,24.88,25.5,24.88,25.17,2877069.0,5.3249,13.59959767
2025-06-04,25.06,25.4,25.06,25.31,2131300.0,3.9446,13.67524104
2025-06-05,25.23,25.4,25.04,25.34,2105800.0,3.8974,13.69145033
2025-06-06,25.29,25.55,25.13,25.31,2268600.0,4.1987,13.67524104
2025-06-09,25.34,25.48,25.2,25.26,2595700.0,4.8041,13.64822555
2025-06-10,25.26,25.26,24.44,24.77,3399224.0,6.2912,13.383473749999999
2025-06-11,24.77,25.2,24.77,24.91,2150600.0,3.9803,13.459117120000002
2025-06-12,24.91,25.02,24.52,24.82,1819000.0,3.3666,13.41048924
2025-06-13,24.67,24.85,23.93,24.0,3203695.0,5.9294,12.9674352
2025-06-16,23.85,24.37,23.85,24.22,1654600.0,3.0623,13.086303359999999
2025-06-17,24.03,24.33,23.93,24.04,1346824.0,2.4927,12.98904759
2025-06-18,24.04,24.09,23.71,24.05,1293988.0,2.3949,12.994450689999999
2025-06-19,24.05,24.24,23.58,23.7,2274483.0,4.2096,12.80534226
2025-06-20,23.67,23.97,23.54,23.61,1651213.0,3.056,12.75671438
2025-06-23,23.44,24.01,23.12,23.81,1516400.0,2.8065,12.864776339999999
2025-06-24,23.99,24.88,23.92,24.86,3734853.0,6.9124,13.432101629999998
2025-06-25,24.8,25.1,24.69,24.92,2624124.0,4.8567,13.46452022
2025-06-26,24.93,25.01,24.56,24.6,2066552.0,3.8248,13.29162108
2025-06-27,24.9,25.45,24.71,25.04,2459629.0,4.5523,13.52935739
2025-06-30,24.97,25.6,24.97,25.44,2690282.0,4.9791,13.74548131
2025-07-01,25.44,25.5,25.05,25.36,1921468.0,3.5562,13.702256529999998
2025-07-02,25.35,25.42,24.9,25.05,2013500.9999999998,3.7266,13.53476049
2025-07-03,25.02,25.18,24.88,24.93,1505518.0,2.7864,13.46992331
2025-07-04,25.0,25.02,24.55,24.69,1978874.0000000002,3.6625,13.34024896
2025-07-07,24.68,25.0,24.5,24.94,1550536.0,2.8697,13.47532641
2025-07-08,24.92,25.22,24.81,25.13,2072075.0,3.835,13.57798527
2025-07-09,25.13,25.35,25.05,25.13,2119744.0,3.9232,13.57798527
2025-07-10,25.03,25.18,24.83,24.95,1627279.0,3.0118,13.480729509999998
2025-07-11,24.96,25.33,24.75,25.14,2426104.0,4.4902,13.58338837
2025-07-14,25.13,25.59,25.06,25.39,3304174.0,6.1153,13.71846582
