date,open,high,low,close,volume
2026-03-20,17.6,18.05,16.9,16.95,21810262.0
2026-03-23,16.6,17.18,16.19,16.36,20572972.0
2026-03-24,16.69,16.94,15.9,16.89,21245400.0
2026-03-25,17.15,17.68,16.76,16.88,19393800.0
2026-03-26,16.88,16.9,16.08,16.34,13999200.0
2026-03-27,16.0,16.85,15.95,16.57,12405400.0
2026-03-30,16.25,16.51,15.95,16.46,9306400.0
2026-03-31,16.46,16.56,15.82,15.84,9276000.0
2026-04-01,16.51,18.1,16.2,17.52,35525100.0
2026-04-02,17.56,18.25,17.34,17.61,25565300.0
2026-04-03,17.96,17.97,16.85,17.1,16990600.0
2026-04-07,17.18,17.59,16.8,17.14,13253909.0
2026-04-08,17.65,17.88,17.42,17.85,18350900.0
2026-04-09,17.48,17.55,17.08,17.14,15403500.0
2026-04-10,17.3,17.52,16.85,16.86,14703901.0
2026-04-13,16.67,17.0,16.62,16.73,10766800.0
2026-04-14,16.89,17.88,16.81,17.11,16636300.0
2026-04-15,17.25,17.44,16.79,16.83,14802800.0
2026-04-16,16.85,17.15,16.58,17.03,10316300.0
2026-04-17,17.23,17.49,16.99,17.3,13742900.0
2026-04-20,17.09,17.29,16.79,17.11,13220700.0
2026-04-21,17.19,17.2,16.66,17.07,10594300.0
2026-04-22,16.86,17.3,16.82,17.08,10506965.0
2026-04-23,17.08,17.18,16.1,16.4,13812565.0
2026-04-24,16.23,17.4,16.23,17.28,17435600.0
2026-04-27,18.72,20.16,18.5,19.49,38859500.0
2026-04-28,19.59,19.85,19.0,19.16,25195700.0
2026-04-29,19.0,19.64,18.78,19.49,22904000.0
2026-04-30,19.5,20.51,19.5,20.22,27311900.0
2026-05-06,20.63,21.33,20.31,20.97,31622200.0
2026-05-07,20.77,21.09,20.49,20.51,24382493.0
2026-05-08,20.3,20.93,20.16,20.61,17151465.0
2026-05-11,20.61,21.17,20.36,20.7,21349976.0
2026-05-12,20.58,21.12,20.4,20.73,19876893.0
2026-05-13,20.47,21.73,20.19,21.38,23933600.0
2026-05-14,21.23,22.35,21.04,21.98,32069811.0
2026-05-15,21.77,23.99,21.15,23.78,42802734.0
2026-05-18,22.75,23.6,22.2,23.22,33363700.0
2026-05-19,22.76,23.76,22.05,22.78,30283736.0
2026-05-20,22.56,23.54,20.9,21.38,43027657.0
2026-05-21,21.91,24.38,21.27,23.16,54053300.0
2026-05-22,23.0,23.97,22.3,23.62,35426800.0
2026-05-25,23.38,25.37,23.1,24.1,39303500.0
2026-05-26,23.77,25.36,23.54,24.9,39680132.0
2026-05-27,24.8,26.58,24.0,26.42,44964108.0
2026-05-28,25.9,26.81,25.17,25.69,32288109.0
2026-05-29,25.69,25.7,22.0,22.11,39737539.0
2026-06-01,22.1,22.53,21.0,21.16,24419919.0
2026-06-02,21.5,23.0,21.5,21.87,21125323.0
2026-06-03,21.68,22.45,21.15,21.45,18425300.0
2026-06-04,21.15,21.26,20.3,20.47,23057700.0
2026-06-05,20.36,21.87,19.96,20.92,20855552.0
2026-06-09,16.74,18.21,16.74,17.83,57992938.0
2026-06-10,17.53,18.83,17.39,17.98,32225291.0
2026-06-11,17.8,19.0,17.6,18.08,26056022.0
2026-06-12,18.07,18.35,16.86,16.96,22171336.0
2026-06-15,17.25,18.26,17.05,18.13,14875800.0
2026-06-16,18.3,19.27,17.96,18.65,15919749.0
2026-06-17,18.4,19.77,18.39,19.41,14450400.0
2026-06-18,19.51,19.85,19.01,19.73,11401800.0
2026-06-22,19.5,20.71,19.5,20.53,12189025.0
2026-06-23,20.56,21.25,19.79,21.16,12913488.0
2026-06-24,20.89,22.49,20.88,22.4,14220000.0
2026-06-25,22.3,22.8,21.43,21.78,13655200.0
2026-06-26,21.51,21.6,20.44,20.91,12591818.0
2026-06-29,21.02,21.39,18.5,18.71,18489002.0
2026-06-30,18.91,19.37,18.7,19.37,10593797.0
2026-07-01,19.37,19.44,18.01,18.13,16781058.0
2026-07-02,18.02,18.76,17.33,18.08,9732888.0
2026-07-03,17.98,19.18,17.83,18.83,9110500.0
2026-07-06,18.65,19.2,18.04,18.73,10936000.0
2026-07-07,18.45,19.24,18.24,18.3,9744500.0
2026-07-08,18.28,18.7,17.71,18.15,7183697.0
2026-07-09,18.23,18.37,17.27,17.92,9327900.0
