date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,64.99,65.58,64.5,64.85,1112006.0,1.2161,59.29853131
2025-06-04,65.94,66.79,64.99,66.4,1205696.0,1.3186,60.715843940000006
2025-06-05,65.8,68.45,65.8,68.14,1075717.0,1.1764,62.30689165
2025-06-06,68.22,68.68,66.41,67.0,1224733.0,1.3394,61.26448108
2025-06-09,66.3,67.58,65.92,66.34,858378.0000000001,0.9387,60.660980220000006
2025-06-10,66.4,66.51,63.18,63.63,1118422.0,1.2231,58.18296912
2025-06-11,63.03,65.16,63.03,64.78,1002020.0,1.0958,59.23452365
2025-06-12,64.52,66.33,64.15,65.56,798024.0,0.8727,59.94775193
2025-06-13,65.03,65.98,63.55,65.01,1367445.0,1.4955,59.44483455
2025-06-16,64.3,67.39,64.3,66.41,1305387.0,1.4276,60.72498789
2025-06-17,67.07,67.85,64.8,65.02,1123461.0,1.2286,59.453978500000005
2025-06-18,64.76,65.36,63.8,65.09,616536.0,0.6743,59.51798617
2025-06-19,65.1,66.58,64.55,64.78,925229.0,1.0118,59.23452365
2025-06-20,64.3,65.25,63.09,63.31,639170.0,0.699,57.89036263999999
2025-06-23,63.0,64.3,62.6,64.01,745120.0,0.8149,58.53043931
2025-06-24,64.2,65.65,63.8,65.48,1228946.0,1.344,59.874600320000006
2025-06-25,65.48,66.8,65.11,66.6,1048492.0,1.1467,60.89872298
2025-06-26,66.66,67.4,65.76,66.1,1071795.0,1.1721,60.44152536000001
2025-06-27,66.0,67.0,65.6,65.8,783654.0,0.857,60.16720679
2025-06-30,66.76,68.85,65.73,67.91,1326786.0,1.451,62.09658075
2025-07-01,67.88,70.77,67.15,69.7,2254893.0,2.466,63.73334823
2025-07-02,69.43,69.5,66.8,66.99,1145874.0,1.2531,61.25533713
2025-07-03,67.6,67.6,66.6,66.96,571777.0,0.6253,61.22790527
2025-07-04,66.58,67.4,65.52,67.02,1207232.0,1.3203,61.28276898000001
2025-07-07,67.49,67.49,65.8,66.21,859411.0,0.9399,60.54210884
2025-07-08,66.31,68.46,66.31,68.0,1017555.0,1.1128,62.17887632000001
2025-07-09,68.1,70.77,66.71,68.25,2468139.0,2.6992,62.40747513
2025-07-10,68.22,68.3,67.08,67.68,1299310.0,1.421,61.88626984
2025-07-11,68.0,68.16,66.5,67.5,1515516.0,1.6574,61.7216787
