date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.33,7.36,7.28,7.32,4428542.0,0.4131,78.46386405
2025-06-04,7.37,7.4,7.32,7.39,4974086.0,0.464,79.21420154
2025-06-05,7.38,7.41,7.34,7.37,4849400.0,0.4524,78.9998194
2025-06-06,7.37,7.49,7.37,7.47,6543402.0,0.6104,80.07173011
2025-06-09,7.48,7.5,7.41,7.5,4574782.0,0.4268,80.39330333
2025-06-10,7.51,7.54,7.38,7.45,6481020.0,0.6046,79.85734797
2025-06-11,7.45,7.62,7.43,7.6,7666437.0,0.7152,81.46521404
2025-06-12,7.6,7.6,7.53,7.59,5049301.0,0.4711,81.35802296
2025-06-13,7.56,7.59,7.45,7.48,6725364.0,0.6274,80.17892118
2025-06-16,7.45,7.91,7.45,7.62,17950475.0,1.6746,81.67959618
2025-06-17,7.63,7.76,7.63,7.75,10171288.0,0.9489,83.0730801
2025-06-18,7.75,7.77,7.61,7.66,6640642.999999999,0.6195,82.10836046
2025-06-19,7.62,7.64,7.45,7.48,6815223.0,0.6358,80.17892118
2025-06-20,7.48,7.53,7.44,7.45,4827478.0,0.4504,79.85734797
2025-06-23,7.45,7.55,7.41,7.52,5647218.0,0.5268,80.60768547
2025-06-24,7.52,7.69,7.5,7.68,7003400.999999999,0.6534,82.3227426
2025-06-25,7.68,7.71,7.64,7.67,7044867.0,0.6572,82.21555153
2025-06-26,7.68,7.82,7.65,7.7,7941700.0,0.7409,82.53712475
2025-06-27,7.69,7.82,7.69,7.76,6816700.0,0.6359,83.18027117
2025-06-30,7.74,7.78,7.67,7.73,6241849.0,0.5823,82.85869796
2025-07-01,7.75,7.76,7.66,7.71,4924149.0,0.4594,82.64431581999999
2025-07-02,7.7,7.96,7.68,7.85,12646880.0,1.1798,84.14499081
2025-07-03,7.75,7.85,7.75,7.8,8054210.000000001,0.7514,83.60903546
2025-07-04,7.8,7.83,7.72,7.75,4911662.0,0.4582,83.0730801
2025-07-07,7.71,7.78,7.7,7.74,3923737.0000000005,0.3661,82.96588903
2025-07-08,7.74,7.81,7.71,7.81,4949856.0,0.4618,83.71622653
2025-07-09,7.8,7.86,7.76,7.8,5670600.0,0.529,83.60903546
2025-07-10,7.79,7.92,7.77,7.92,8323308.0,0.7765,84.89532831
2025-07-11,7.93,8.62,7.89,8.27,37868780.0,3.5328,88.6470158
2025-07-14,8.26,8.35,8.08,8.12,27610334.999999996,2.5758,87.03914973
2025-07-15,8.12,8.18,7.97,7.99,15773382.999999998,1.4715,85.64566581
2025-07-16,7.99,8.05,7.91,7.99,10846900.0,1.0119,85.64566581
2025-07-17,7.99,8.08,7.96,8.0,12223802.0,1.1404,85.75285688
2025-07-18,8.0,8.3,7.99,8.16,18407607.0,1.7173,87.46791402000001
2025-07-21,8.2,8.41,8.18,8.37,18099237.0,1.6885,89.71892651
2025-07-22,8.32,8.47,8.31,8.46,18235651.0,1.7012,90.68364615
2025-07-23,8.45,8.46,8.3,8.37,13902251.0,1.297,89.71892651
2025-07-24,8.35,8.54,8.31,8.52,15543885.999999998,1.4501,91.32679258
2025-07-25,8.52,8.52,8.38,8.39,10319478.0,0.9627,89.93330865
2025-07-28,8.36,8.38,8.25,8.34,9781013.0,0.9125,89.3973533
2025-07-29,8.32,8.36,8.18,8.32,8585430.0,0.8009,89.18297116000001
2025-07-30,8.29,8.35,8.18,8.23,7389436.0,0.6894,88.21825152
2025-07-31,8.23,8.23,7.94,7.98,12414136.0,1.1581,85.53847474
