date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,25.0,26.7,24.9,26.29,2149313.0,5.476,10.318825
2025-06-04,26.48,26.57,25.61,25.91,1568859.0,3.9971,10.169675
2025-06-05,26.0,27.4,25.99,27.18,3088132.0,7.8679,10.66815
2025-06-06,26.95,27.18,26.52,26.61,1429861.0,3.643,10.444425
2025-06-09,26.6,26.8,26.28,26.6,1134353.0,2.8901,10.4405
2025-06-10,26.6,26.76,26.02,26.56,963773.0,2.4555,10.4248
2025-06-11,26.61,26.73,26.15,26.22,842200.0,2.1457,10.29135
2025-06-12,26.2,26.4,25.9,26.24,1089340.0,2.7754,10.2992
2025-06-13,26.1,26.27,25.52,25.65,790300.0,2.0135,10.067625
2025-06-16,25.65,26.14,25.53,25.92,726940.0,1.8521,10.1736
2025-06-17,25.91,26.38,25.5,25.66,707800.0,1.8033,10.07155
2025-06-18,25.53,25.71,25.25,25.59,540300.0,1.3766,10.044075
2025-06-19,25.71,25.97,25.1,25.3,602910.0,1.5361,9.93025
2025-06-20,25.43,25.91,24.92,25.32,594200.0,1.5139,9.9381
2025-06-23,25.12,25.66,24.77,25.63,572500.0,1.4586,10.059775
2025-06-24,25.63,26.8,25.63,26.68,1029962.0000000001,2.6241,10.4719
2025-06-25,26.85,27.8,26.16,27.14,1776418.9999999998,4.5259,10.65245
2025-06-26,27.2,27.96,27.0,27.58,1532900.0,3.9055,10.82515
2025-06-27,27.55,28.75,27.55,27.68,1412800.0,3.5995,10.8644
2025-06-30,27.65,28.48,27.64,28.41,1095134.0,2.7902,11.150925
2025-07-01,28.41,28.68,27.91,28.48,1066100.0,2.7162,11.1784
2025-07-02,28.63,29.97,28.15,28.5,1717674.0000000002,4.3762,11.18625
2025-07-03,28.35,29.19,28.22,28.97,1479581.0,3.7696,11.370725
2025-07-04,28.72,29.6,28.55,28.56,1381489.0,3.5197,11.2098
2025-07-07,28.85,29.06,28.42,28.84,970408.0,2.4724,11.3197
2025-07-08,28.84,29.88,28.69,29.38,1844771.0,4.7001,11.53165
2025-07-09,29.48,30.33,29.4,29.88,1783502.0,4.544,11.7279
2025-07-10,29.83,30.19,29.52,29.93,1496588.0,3.813,11.747525
2025-07-11,30.09,30.27,29.6,29.71,1034478.0000000001,2.6356,11.661175
2025-07-14,30.05,30.2,29.6,29.87,1116278.0,2.844,11.723975
2025-07-15,29.87,30.01,28.99,29.6,1636229.0,4.1687,11.618
2025-07-16,29.45,30.8,29.45,30.11,1645334.9999999998,4.1919,11.818175
2025-07-17,30.27,32.81,29.97,32.5,2872050.0,7.3173,12.75625
2025-07-18,32.48,37.6,32.48,36.86,6051338.0,15.4174,14.46755
2025-07-21,35.03,38.9,35.03,36.38,5193581.0,13.2321,14.27915
2025-07-22,36.54,36.61,34.75,34.93,3095456.0,7.8865,13.710025
2025-07-23,34.76,35.5,34.31,34.31,1749468.0,4.4572,13.466675
2025-07-24,34.35,35.42,34.35,35.2,1980028.0,5.0447,13.816
2025-07-25,35.09,35.72,34.82,35.4,1006152.0,2.5634,13.8945
2025-07-28,35.4,37.07,35.4,36.55,1648163.0,4.1991,14.345875
2025-07-29,36.61,37.98,36.19,36.9,2478600.0,6.3149,14.48325
2025-07-30,36.81,39.88,35.95,39.26,3354576.9999999995,8.5467,15.40955
2025-07-31,39.29,40.4,38.6,39.6,3044422.0,7.7565,15.543
2025-08-01,39.42,40.94,38.73,40.9,2581861.0,6.578,16.05325
2025-08-04,40.65,42.5,39.24,40.2,3658393.0,9.3207,15.7785
2025-08-05,40.23,41.18,39.8,40.48,1748200.0,4.454,15.8884
2025-08-06,40.4,40.81,39.03,39.19,2112820.0,5.383,15.382075
2025-08-07,39.03,39.79,38.88,39.2,1383300.0,3.5243,15.386
2025-08-08,39.0,39.36,38.57,38.67,1504046.0,3.832,15.177975
2025-08-11,38.68,39.19,38.45,38.68,1220251.0,3.1089,15.1819
2025-08-12,38.68,38.94,38.06,38.84,1015800.0,2.588,15.2447
2025-08-13,38.96,39.99,38.4,39.67,1255716.0,3.1993,15.570475
2025-08-14,39.67,40.45,38.29,38.45,1320310.0,3.3638,15.091625
2025-08-15,38.87,39.4,38.39,39.38,953781.0,2.43,15.45665
2025-08-18,39.5,39.7,38.23,38.58,1491122.0,3.799,15.14265
2025-08-19,38.65,40.06,38.11,39.11,1438605.0,3.6652,15.350675
2025-08-20,38.95,40.5,38.82,39.58,1523488.0,3.8815,15.53515
2025-08-21,39.64,41.8,39.6,41.25,1813783.0000000002,4.6211,16.190625
2025-08-22,41.21,41.49,39.86,39.92,1500200.0,3.8222,15.6686
2025-08-25,40.31,40.54,39.21,39.79,1298812.0,3.3091,15.617575
2025-08-26,39.9,40.09,39.27,39.45,1039900.0,2.6494,15.484125
2025-08-27,39.5,40.45,37.31,37.5,1523551.0,3.8817,14.71875
2025-08-28,37.36,38.59,36.1,37.02,1753512.0,4.4675,14.53035
2025-08-29,37.28,38.45,36.62,37.87,1181810.0,3.011,14.863975
2025-09-01,39.0,39.35,37.9,38.41,1208321.0,3.0785,15.075925
2025-09-02,38.54,39.5,37.61,38.27,1204081.0,3.0677,15.020975
2025-09-03,38.6,39.6,37.6,37.69,1401400.0,3.5704,14.793325
2025-09-04,38.07,38.76,37.04,37.65,1396200.0,3.5572,14.777625
2025-09-05,38.0,39.65,37.35,39.6,1745400.0,4.4469,15.543
2025-09-08,40.04,43.42,38.68,42.74,2606388.0,6.6405,16.77545
2025-09-09,43.0,43.05,41.88,42.18,1370400.0,3.4915,16.55565
2025-09-10,42.18,42.99,41.48,42.32,1305423.0,3.3259,16.6106
2025-09-11,42.43,44.0,41.7,43.4,1826966.0,4.6547,17.0345
2025-09-12,43.41,44.33,42.5,42.65,1097300.0,2.7957,16.740125
2025-09-15,42.76,43.12,41.82,43.04,889204.9999999999,2.2655,16.8932
2025-09-16,42.82,44.85,42.51,44.63,1536251.0,3.914,17.517275
2025-09-17,44.63,50.9,44.61,47.86,2916463.0,7.4305,18.78505
2025-09-18,46.81,48.76,46.11,46.56,2227900.0,5.6762,18.2748
2025-09-19,47.22,47.92,45.81,46.2,1759212.0,4.4821,18.1335
2025-09-22,46.03,48.07,45.87,47.7,1554300.0,3.96,18.72225
2025-09-23,47.53,49.98,47.47,49.78,2511389.0,3.8131,32.7863525
2025-09-24,50.0,53.53,49.3,52.02,2476884.0,3.7607,34.261672499999996
2025-09-25,51.72,53.72,51.16,52.81,2037774.0000000002,3.094,34.781986249999996
2025-09-26,52.31,53.49,51.5,51.5,1301891.0,1.9767,33.9191875
2025-09-29,52.0,52.0,46.49,49.26,2450046.0,3.7199,32.443867499999996
2025-09-30,50.14,50.14,46.0,47.32,1875643.9999999998,2.8478,31.166134999999997
2025-10-09,47.73,48.5,45.5,46.91,1204010.0,1.8281,30.89609875
2025-10-10,47.04,47.79,44.69,45.12,1856879.0,2.8193,29.717159999999996
2025-10-13,44.53,45.79,42.21,45.22,1247788.0,1.8945,29.783022499999998
2025-10-14,48.35,48.35,44.38,44.55,1216710.0,1.8473,29.34174375
2025-10-15,44.77,46.23,44.11,45.46,769636.0,1.1685,29.9410925
2025-10-16,45.54,46.5,44.68,44.92,659000.0,1.0006,29.585434999999997
2025-10-17,45.14,45.45,44.45,44.98,643826.0,0.9775,29.624952500000003
2025-10-20,45.39,46.56,44.58,44.93,818336.0,1.2425,29.592021250000002
2025-10-21,45.0,45.67,44.77,45.5,673100.0,1.022,29.9674375
2025-10-22,45.37,46.17,44.77,45.0,644400.0,0.9784,29.638125
2025-10-23,44.81,45.99,44.46,45.7,674803.0,1.0246,30.0991625
2025-10-24,46.08,46.58,45.45,46.41,734500.0,1.1152,30.56678625
2025-10-27,46.64,48.97,46.54,47.9,1274700.0,1.9354,31.5481375
2025-10-28,47.9,49.65,47.44,48.75,1217885.0,1.8491,32.10796875
2025-10-29,48.65,48.66,47.21,47.6,836600.0,1.2702,31.35055
2025-10-30,47.57,47.99,45.75,45.85,780200.0,1.1846,30.19795625
2025-10-31,45.85,47.8,45.85,47.36,1061300.0,1.6114,31.19248
2025-11-03,48.58,48.58,44.88,45.2,1320900.0,2.0055,29.76985
2025-11-04,45.4,45.99,43.1,43.6,978600.0,1.4858,28.71605
2025-11-05,43.0,43.78,42.9,43.58,540161.0,0.8201,28.702877500000003
2025-11-06,43.72,44.6,43.24,44.48,586561.0,0.8906,29.295640000000002
2025-11-07,44.81,44.85,43.58,43.72,690600.0,1.0485,28.795084999999997
2025-11-10,43.98,44.24,43.0,43.72,463200.0,0.7033,28.795084999999997
2025-11-11,43.72,44.2,42.15,42.77,682578.0,1.0364,28.169391249999997
2025-11-12,42.77,43.88,42.4,43.46,771100.0,1.1708,28.6238425
2025-11-13,43.57,44.97,43.03,44.83,799600.0,1.214,29.526158750000004
2025-11-14,44.76,48.5,44.5,47.7,1763200.0,2.6771,31.4164125
2025-11-17,48.47,48.78,47.0,48.66,1509000.0,2.2911,32.0486925
2025-11-18,48.66,50.5,47.5,49.08,1796536.0,2.7277,32.325315
2025-11-19,49.08,50.9,47.52,47.82,1483100.0,2.2518,31.495447499999997
2025-11-20,48.35,51.89,48.08,51.22,2322340.0,3.526,33.7347725
2025-11-21,51.12,51.12,46.5,46.63,1915100.0,2.9077,30.711683750000002
2025-11-24,47.13,48.02,46.3,46.8,814500.0,1.2367,30.82365
2025-11-25,46.8,48.8,46.44,48.37,805155.0,1.2225,31.85769125
2025-11-26,48.62,48.62,47.13,47.85,610000.0,0.9262,31.51520625
2025-11-27,47.2,50.19,47.2,48.41,842400.0,1.279,31.884036249999998
2025-11-28,48.78,51.7,48.05,50.83,1929093.9999999998,2.929,33.477908750000005
2025-12-01,50.8,50.96,48.93,49.67,1164100.0,1.7675,32.71390375
2025-12-02,49.25,49.81,48.36,48.81,601800.0,0.9137,32.14748625
2025-12-03,48.81,49.52,47.67,48.1,629993.0,0.9565,31.6798625
2025-12-04,48.03,48.19,46.71,47.15,560296.0,0.8507,31.05416875
