date,open,high,low,close,volume
2026-06-01,8.12,8.44,8.12,8.42,1892405.0
2026-06-02,8.42,8.46,8.24,8.43,2004947.0
2026-06-03,8.43,8.45,8.28,8.29,2226700.0
2026-06-04,8.25,8.3,7.99,8.06,2298900.0
2026-06-05,8.06,8.25,8.0,8.14,1340900.0
2026-06-08,7.99,8.13,7.88,7.95,1743400.0
2026-06-09,7.94,8.06,7.55,7.55,5535400.0
2026-06-10,7.27,7.36,7.17,7.17,4919100.0
2026-06-11,6.9,6.98,6.81,6.81,5162300.0
2026-06-12,6.81,7.06,6.75,6.96,6582640.0
2026-06-15,6.99,7.2,6.67,6.99,5371900.0
2026-06-16,6.96,7.14,6.83,7.09,3606300.0
2026-06-17,7.11,7.25,6.93,6.99,3667900.0
2026-06-18,7.0,7.05,6.64,6.64,4266100.0
2026-06-22,6.31,6.78,6.31,6.61,7119800.0
2026-06-23,6.51,6.92,6.51,6.77,5119700.0
2026-06-24,6.68,6.82,6.43,6.43,4311000.0
2026-06-25,6.35,6.49,6.19,6.28,3579180.0
2026-06-26,6.25,6.45,6.07,6.34,3817060.0
2026-06-29,6.35,6.52,6.11,6.39,3368100.0
2026-06-30,6.33,6.71,6.33,6.69,3551300.0
2026-07-01,6.66,7.01,6.57,6.91,3848200.0
2026-07-02,6.87,7.23,6.87,7.11,4555700.0
2026-07-03,7.15,7.24,7.03,7.24,2680900.0
2026-07-06,7.26,7.32,6.95,6.98,3255400.0
2026-07-07,6.9,7.05,6.76,6.78,2270050.0
2026-07-08,6.7,6.89,6.63,6.84,2027900.0
2026-07-09,6.84,6.95,6.7,6.78,1955400.0
