date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,16.55,16.95,16.48,16.58,3520451.0,1.6995,34.34549603
2025-06-04,16.71,16.8,16.48,16.57,3198304.0,1.544,34.32478101
2025-06-05,16.55,16.55,16.15,16.45,4108719.9999999995,1.9835,34.07620083
2025-06-06,16.52,17.17,16.36,17.16,6982539.999999999,3.3708,35.546966940000004
2025-06-09,17.18,17.55,17.08,17.19,5160222.0,2.4911,35.60911199
2025-06-10,17.19,17.46,16.91,17.38,7424786.0,3.5843,36.00269729
2025-06-11,17.2,17.36,17.01,17.16,4337714.0,2.094,35.546966940000004
2025-06-12,17.08,17.09,16.72,16.81,4271956.0,2.0623,34.82194139
2025-06-13,16.75,16.88,16.38,16.39,3243160.0,1.5656,33.951910729999994
2025-06-16,16.25,17.2,16.25,17.11,5060970.0,2.4431,35.44339186
2025-06-17,17.12,17.95,16.87,17.37,7922698.0,3.8246,35.98198227
2025-06-18,17.37,17.42,16.82,17.21,4017060.0,1.9392,35.650542019999996
2025-06-19,17.27,17.34,16.69,16.71,3232284.0,1.5604,34.61479123
2025-06-20,17.1,17.83,16.55,16.58,4074800.0,1.9671,34.34549603
2025-06-23,16.28,16.58,16.28,16.57,3284704.0,1.5857,34.32478101
2025-06-24,16.57,17.31,16.57,17.25,5525280.0,2.6673,35.73340208
2025-06-25,17.19,17.9,17.19,17.5,7221595.0,3.4862,36.25127748
2025-06-26,17.3,17.5,17.22,17.23,4233634.0,2.0438,35.69197205
2025-06-27,17.27,17.44,17.16,17.33,2984082.0,1.4405,35.89912221
2025-06-30,17.33,17.44,17.25,17.41,3200784.0,1.5452,36.064842330000005
2025-07-01,17.41,17.62,17.25,17.48,3679454.0,1.7762,36.20984744
2025-07-02,17.48,17.55,17.07,17.19,2937580.0,1.4181,35.60911199
2025-07-03,17.17,17.31,17.03,17.13,3037492.0,1.4663,35.48482189
2025-07-04,17.1,17.21,16.76,16.8,3745560.0,1.8081,34.80122638
2025-07-07,16.75,17.19,16.71,17.18,3236626.0,1.5625,35.588396970000005
2025-07-08,17.18,17.18,17.03,17.14,2290482.0,1.1057,35.505536910000004
2025-07-09,17.14,17.22,16.86,16.96,2767922.0,1.3362,35.132666629999996
2025-07-10,16.96,16.97,16.68,16.77,2597762.0,1.254,34.73908133
2025-07-11,16.83,16.85,16.63,16.83,3013576.0,1.4548,34.86337142
2025-07-14,16.79,16.95,16.78,16.81,2324842.0,1.1223,34.82194139
2025-07-15,16.73,16.83,16.34,16.5,3244880.0,1.5664,34.179775910000004
2025-07-16,16.52,16.78,16.5,16.65,2093996.0,1.0109,34.49050114
2025-07-17,16.7,16.75,16.52,16.75,1646293.9999999998,0.7947,34.6976513
2025-07-18,16.72,17.28,16.66,16.9,5109562.0,2.4666,35.00837653
2025-07-21,16.9,17.11,16.82,17.09,3817231.0,1.8427,35.40196183
2025-07-22,17.07,18.78,16.91,18.29,18994031.0,9.1692,37.88776372
2025-07-23,18.17,18.3,17.66,17.86,9951403.0,4.804,36.99701804
2025-07-24,17.67,17.82,17.62,17.71,6557992.999999999,3.1658,36.686292800000004
2025-07-25,17.67,17.75,17.42,17.46,4407209.0,2.1275,36.16841741
2025-07-28,17.47,17.62,17.39,17.51,3736772.0,1.8039,36.271992489999995
2025-07-29,17.44,17.5,17.19,17.47,4000932.0,1.9314,36.18913243
2025-07-30,17.43,17.85,17.31,17.79,7952620.0,3.8391,36.852012929999994
2025-07-31,17.59,17.74,17.16,17.29,5645433.0,2.7253,35.81626215
2025-08-01,17.37,17.37,16.97,17.1,3146006.0,1.5187,35.42267685
2025-08-04,17.02,17.22,16.92,17.22,1893066.0,0.9139,35.67125704
2025-08-05,17.22,17.77,17.18,17.69,5962740.0,2.8785,36.64486277
2025-08-06,17.67,17.86,17.5,17.73,4867915.0,2.3499,36.727722840000006
2025-08-07,17.7,17.75,17.56,17.71,3397233.9999999995,1.64,36.686292800000004
2025-08-08,17.59,18.85,17.51,18.34,13878276.999999998,6.6996,37.99133879
2025-08-11,18.33,18.55,17.92,18.5,11299186.0,5.4546,38.32277905
2025-08-12,18.3,19.06,18.3,18.78,13234184.0,6.3887,38.90279948
2025-08-13,18.8,18.8,18.43,18.58,7439042.0,3.5911,38.488499170000004
2025-08-14,18.5,18.58,17.96,17.99,7183920.0,3.468,37.26631324
2025-08-15,17.99,18.23,17.99,18.18,4292082.0,2.072,37.65989854
2025-08-18,18.33,18.56,18.2,18.37,5852314.0,2.8252,38.05348384
2025-08-19,18.38,18.48,18.2,18.29,5232808.0,2.5261,37.88776372
2025-08-20,18.21,19.61,18.21,18.75,10254310.0,4.9502,38.84065444
2025-08-21,18.7,19.5,18.51,18.93,10035025.0,4.8443,39.213524719999995
2025-08-22,18.56,18.9,18.37,18.58,6940072.0,3.3503,38.488499170000004
2025-08-25,18.85,18.85,18.4,18.6,5139998.0,2.4813,38.529929200000005
2025-08-26,18.69,19.5,18.5,19.27,12717021.0,6.139,39.91783545
2025-08-27,19.29,19.78,19.03,19.08,10387403.0,5.0144,39.52425015
2025-08-28,18.86,19.27,18.13,19.08,8616026.0,4.1593,39.52425015
2025-08-29,18.99,19.0,18.41,18.49,5083571.0,2.4541,38.30206421
2025-09-01,18.5,18.75,18.35,18.51,4298735.0,2.0752,38.34349425
2025-09-02,18.47,18.56,17.71,18.0,5137583.0,2.4801,37.28702844
2025-09-03,18.0,18.09,17.19,17.26,4093300.0,1.976,35.75411727
2025-09-04,17.25,17.61,17.05,17.35,3306985.0,1.5964,35.940552409999995
2025-09-05,17.47,19.35,17.25,19.14,11961651.0,5.7744,39.64854024
2025-09-08,19.21,20.5,19.0,20.47,19178133.0,9.2581,42.403637339999996
2025-09-09,20.45,21.45,20.24,21.26,16097167.000000002,7.7708,44.04012359
2025-09-10,21.0,23.5,20.82,23.2,20596960.0,9.943,48.058836660000004
2025-09-11,23.62,23.62,21.66,21.91,22673753.0,10.9456,45.38659962
2025-09-12,21.91,22.07,20.84,21.06,12715678.0,6.1384,43.62582327
2025-09-15,21.0,23.29,20.98,21.8,17545540.0,8.47,45.15873444
2025-09-16,22.0,25.73,21.87,24.05,22635506.0,10.9271,49.819613000000004
2025-09-17,24.0,24.15,23.2,23.69,11746662.0,5.6706,49.07387243
2025-09-18,23.67,24.1,22.7,23.15,8862312.0,4.2782,47.955261580000005
2025-09-19,23.04,23.15,22.05,22.45,8154756.0,3.9366,46.50521047
2025-09-22,22.4,22.4,21.84,22.04,4953342.0,2.3912,45.65589482
2025-09-23,22.1,22.1,21.05,21.61,6504488.0,3.14,44.76514914
2025-09-24,21.51,22.3,21.3,21.95,5639312.0,2.7223,45.46945968
2025-09-25,22.0,22.38,21.64,21.76,7108353.999999999,3.4315,45.07587438
2025-09-26,21.9,21.9,21.26,21.6,4361185.0,2.1053,44.744434129999995
2025-09-29,21.49,22.0,21.18,21.29,4830540.0,2.3319,44.10226864
2025-09-30,21.4,21.4,20.89,20.97,3653800.0,1.7638,43.43938813
2025-10-09,20.98,23.11,20.95,22.46,9279909.0,4.4798,46.52592549
2025-10-10,22.46,23.74,22.3,22.9,8281933.0,3.998,47.437386180000004
2025-10-13,21.9,22.93,21.21,22.5,7356816.0,3.5514,46.60878555
2025-10-14,22.62,23.25,21.86,21.91,6426729.0,3.1024,45.38659962
2025-10-15,21.98,22.28,21.62,22.08,4252686.0,2.0529,45.73875489
2025-10-16,21.97,22.2,21.19,21.56,5014591.0,2.4208,44.66157406
2025-10-17,21.45,21.86,20.98,20.99,4174832.0,2.0154,43.48081816
2025-10-20,21.19,21.74,20.95,21.25,3609349.0,1.7424,44.01940858
2025-10-21,21.26,21.49,21.0,21.34,2701295.0,1.304,44.20584372
2025-10-22,21.08,21.53,21.0,21.13,2179010.0,1.0519,43.77082839
2025-10-23,20.78,21.03,19.64,19.95,5869016.0,2.8332,41.32645652
2025-10-24,20.0,20.34,19.78,19.81,3997140.0,1.9296,41.0364463
2025-10-27,19.86,20.29,19.86,20.11,3405762.0000000005,1.6441,41.65789677
2025-10-28,20.14,23.26,19.9,22.2,11876585.0,5.7333,45.98733508
2025-10-29,22.01,22.46,21.66,22.0,6919172.0,3.3402,45.57303476
2025-10-30,21.89,22.0,21.48,21.5,3992898.0000000005,1.9275,44.537283970000004
2025-10-31,21.47,21.77,21.07,21.29,3171960.0,1.5312,44.10226864
2025-11-03,21.33,22.58,21.13,22.52,8338198.0,4.0252,46.65021558
2025-11-04,22.02,22.75,21.3,21.42,6496548.0,3.1362,44.37156384
2025-11-05,21.3,21.41,20.69,21.02,3871162.0000000005,1.8688,43.542963209999996
2025-11-06,21.04,21.2,20.65,21.02,2496074.0,1.205,43.542963209999996
2025-11-07,20.91,21.16,20.66,20.97,2313684.0,1.1169,43.43938813
