date,open,high,low,close,volume
2025-06-03,11.55,11.94,11.47,11.89,15856393.0
2025-06-04,11.83,13.08,11.83,13.08,47745862.0
2025-06-05,13.83,14.39,13.16,13.29,95808914.0
2025-06-06,13.18,13.55,12.76,12.78,60268833.0
2025-06-09,12.91,12.99,12.62,12.74,37064646.0
2025-06-10,12.78,12.84,12.45,12.61,28293340.0
2025-06-11,12.58,12.68,12.56,12.64,18096721.0
2025-06-12,12.58,12.77,12.54,12.62,17307927.0
2025-06-13,12.56,12.64,12.18,12.19,21696700.0
2025-06-16,12.26,12.32,12.18,12.32,9561600.0
2025-06-17,12.32,12.36,12.19,12.28,9437667.0
2025-06-18,12.35,12.41,12.13,12.15,11714300.0
2025-06-19,11.88,11.91,11.53,11.59,11641996.0
2025-06-20,11.59,11.77,11.57,11.64,9139259.0
2025-06-23,11.55,11.76,11.5,11.71,8388800.0
2025-06-24,11.78,11.86,11.7,11.85,8778400.0
2025-06-25,11.86,11.87,11.72,11.85,9336500.0
2025-06-26,11.8,11.88,11.73,11.76,9251900.0
2025-06-27,11.75,11.85,11.74,11.79,6106624.0
2025-06-30,11.78,11.96,11.75,11.92,9972359.0
2025-07-01,11.92,11.93,11.77,11.87,7216200.0
2025-07-02,11.82,11.9,11.77,11.83,6899900.0
2025-07-03,11.83,12.01,11.81,11.93,10985873.0
2025-07-04,11.88,11.99,11.76,11.82,9441700.0
2025-07-07,11.82,11.93,11.78,11.9,5861300.0
2025-07-08,11.87,11.98,11.86,11.96,7727800.0
2025-07-09,11.97,12.06,11.9,11.93,10945244.0
2025-07-10,11.94,12.02,11.85,11.93,8275490.0
2025-07-11,11.93,11.95,11.85,11.9,7671513.0
2025-07-14,11.87,12.21,11.87,12.17,15779667.0
2025-07-15,12.27,12.27,12.01,12.09,11074400.0
2025-07-16,12.1,12.18,12.04,12.12,7001141.0
2025-07-17,12.08,12.17,12.03,12.05,9167749.0
2025-07-18,12.08,12.08,11.92,11.99,8649179.0
2025-07-21,11.94,12.02,11.93,12.01,7074300.0
2025-07-22,12.01,12.07,11.91,12.07,9575100.0
2025-07-23,12.05,12.09,11.9,11.91,9100461.0
2025-07-24,11.9,12.01,11.89,12.01,7752493.0
