date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,44.5,45.46,43.7,45.38,726027.0,0.6807,48.40533348
2025-06-04,45.5,48.18,45.13,47.25,1621069.0,1.5198,50.400000160000005
2025-06-05,47.28,47.97,46.27,46.59,1205497.0,1.1302,49.696000160000004
2025-06-06,32.78,32.81,31.51,32.14,1306658.0,0.875,47.99573355
2025-06-09,32.0,32.74,31.76,32.58,1148915.0,0.7694,48.652800219999996
2025-06-10,32.46,32.74,31.29,31.68,1061223.0,0.7106,47.30880021
2025-06-11,31.9,32.4,31.35,31.91,975456.0,0.6532,47.65226688
2025-06-12,31.9,32.62,31.5,32.58,1359401.0,0.9103,48.652800219999996
2025-06-13,32.12,32.7,31.38,31.51,1495775.0,1.0016,47.05493354
2025-06-16,31.5,32.7,31.2,32.35,1827859.0,1.224,48.30933355
2025-06-17,33.0,34.89,32.49,34.47,3847890.0,2.5767,51.47520023
2025-06-18,34.9,35.68,33.7,34.78,2390836.0,1.601,51.93813357
2025-06-19,33.71,34.7,32.9,33.4,1701823.0,1.1396,49.87733356
2025-06-20,33.45,34.58,32.61,32.99,1543098.0,1.0333,49.26506689
2025-06-23,32.67,33.6,32.27,33.57,1005340.0,0.6732,50.13120022
2025-06-24,34.06,34.06,33.08,33.49,869979.9999999999,0.5826,50.011733559999996
2025-06-25,33.73,33.76,32.58,32.92,1103484.0,0.7389,49.16053355
2025-06-26,33.01,33.26,32.38,33.24,690845.0,0.4626,49.63840022
2025-06-27,33.25,33.85,32.5,32.9,1278957.0,0.8564,49.13066689
2025-06-30,32.9,35.98,32.9,35.8,3865647.0,2.5886,53.46133357000001
2025-07-01,36.37,37.49,35.05,35.84,5176213.0,3.4662,53.52106691000001
2025-07-02,35.9,37.89,35.83,36.8,3929426.9999999995,2.6313,54.95466691000001
2025-07-03,36.88,37.01,35.97,36.12,1613192.0,1.0803,53.93920024
2025-07-04,36.4,38.69,36.0,37.34,3867235.0,2.5897,55.76106692
2025-07-07,36.9,37.54,35.58,35.97,2466788.0,1.6519,53.71520024
2025-07-08,35.97,36.02,35.03,35.57,1830455.0,1.2258,53.1178669
2025-07-09,35.57,35.65,35.09,35.16,1177927.0,0.7888,52.505600230000006
2025-07-10,35.15,35.64,34.99,35.29,1249583.0,0.8368,52.69973357000001
2025-07-11,35.29,35.46,34.75,35.1,1873334.9999999998,1.2545,52.41600023
2025-07-14,34.99,36.33,34.7,36.0,1587922.0,1.0633,53.76000024
2025-07-15,36.16,36.5,35.05,35.4,1288537.0,0.8629,52.86400024
2025-07-16,35.28,35.6,35.1,35.25,773305.0,0.5178,52.64000024
2025-07-17,35.2,35.48,34.39,34.69,1851827.0,1.2401,51.80373356
2025-07-18,34.83,34.97,34.13,34.26,1259748.0,0.8436,51.16160023
2025-07-21,34.25,34.64,33.5,33.97,1557556.0,1.043,50.72853356
2025-07-22,33.97,34.13,33.53,33.88,1336725.0,0.8951,50.594133559999996
2025-07-23,33.99,34.64,33.56,33.86,1597951.0,1.0701,50.56426689
2025-07-24,34.51,36.58,34.2,35.98,4528267.0,3.0323,53.73013357000001
2025-07-25,35.8,36.4,35.1,35.5,3551922.0,2.3785,53.01333357000001
2025-07-28,35.9,36.28,35.36,35.41,1974128.0,1.322,52.87893357000001
2025-07-29,35.4,35.4,33.38,33.4,3447851.0,2.3088,49.87733356
