date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,22.26,22.85,22.13,22.18,1602846.0,1.7457,20.36514656
2025-06-04,22.35,22.56,22.14,22.38,1600731.0,1.7434,20.54878179
2025-06-05,22.36,22.96,22.22,22.8,2445129.0,2.663,20.93441576
2025-06-06,22.8,23.38,22.51,22.81,2286026.0,2.4897,20.943597529999998
2025-06-09,22.97,23.64,22.82,23.5,2639578.0,2.8748,21.57713906
2025-06-10,23.3,23.5,22.25,22.54,3024118.0,3.2936,20.69568997
2025-06-11,22.64,22.99,22.34,22.47,1981377.0,2.1579,20.63141764
2025-06-12,22.5,22.85,22.21,22.35,1592130.0,1.734,20.521236509999998
2025-06-13,22.34,22.34,21.58,21.67,1905818.0,2.0757,19.89687674
2025-06-16,21.56,22.29,21.56,22.0,2384140.0,2.5966,20.199874859999998
2025-06-17,22.29,22.29,21.35,21.64,2296583.0,2.5012,19.86933145
2025-06-18,21.56,21.86,21.29,21.61,1323747.0,1.4417,19.841786170000002
2025-06-19,21.61,21.95,21.01,21.03,1853100.9999999998,2.0182,19.30924401
2025-06-20,21.04,21.15,20.28,20.47,2332369.0,2.5402,18.79506538
2025-06-23,20.5,21.05,20.34,20.94,1696080.0,1.8472,19.22660816
2025-06-24,21.21,21.77,20.99,21.71,1860007.0,2.0258,19.93360378
2025-06-25,21.82,22.3,21.54,22.23,3268438.0,3.5597,20.41105537
2025-06-26,22.38,22.49,21.88,21.9,3173797.0,3.4566,20.10805725
2025-06-27,22.02,22.5,21.85,22.0,1893434.9999999998,2.0622,20.199874859999998
2025-06-30,22.33,22.45,22.01,22.35,2001134.9999999998,2.1795,20.521236509999998
2025-07-01,22.48,22.49,21.79,22.01,2368262.0,2.5793,20.20905662
2025-07-02,22.01,22.09,21.46,21.74,2216644.0,2.4142,19.96114907
2025-07-03,21.61,22.07,21.61,21.85,1648403.0,1.7953,20.062148439999998
2025-07-04,21.76,22.49,21.43,21.84,3297937.0000000005,3.5918,20.05296668
2025-07-07,21.8,22.7,21.68,21.95,2985863.0,3.252,20.15396605
2025-07-08,22.03,22.38,21.93,22.36,1935555.0,2.108,20.530418270000002
2025-07-09,22.36,22.53,22.12,22.2,1988330.0,2.1655,20.383510089999998
2025-07-10,22.12,22.27,21.81,22.05,2266105.0,2.4681,20.24578367
2025-07-11,22.05,23.75,21.83,23.12,6136229.0,6.6831,21.228232130000002
2025-07-14,23.38,23.75,22.96,23.13,3409972.0,3.7139,21.23741389
2025-07-15,23.02,23.85,22.36,23.69,5573187.0,6.0698,21.75159252
2025-07-16,25.0,28.43,25.0,28.43,10404188.0,11.3314,26.10374738
2025-07-17,27.78,28.11,26.57,26.69,15957485.0,17.3795,24.50612091
2025-07-18,27.18,27.18,26.16,26.4,9249621.0,10.0739,24.23984983
2025-07-21,26.3,26.4,25.53,25.86,7330660.000000001,7.9839,23.74403472
2025-07-22,25.71,26.07,25.21,25.47,7064605.0,7.6942,23.38594603
2025-07-23,25.35,26.07,25.06,25.98,6352644.0,6.9188,23.85421586
2025-07-24,25.79,26.35,25.57,25.92,4605331.0,5.0157,23.79912529
2025-07-25,26.19,27.17,26.02,26.88,7902242.0,8.6065,24.68057437
2025-07-28,26.9,27.15,26.3,26.62,4591893.0,5.0011,24.44184858
