date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,41.34,42.44,40.7,42.16,3805506.0,7.7579,20.68080467
2025-06-04,42.16,42.38,41.58,42.2,2287400.0,4.6631,20.70042592
2025-06-05,42.5,43.88,42.02,43.65,4825954.0,9.8382,21.41169648
2025-06-06,43.5,43.82,42.82,43.4,3248300.0,6.622,21.28906363
2025-06-09,43.43,43.66,42.84,43.35,2211700.0,4.5088,21.26453706
2025-06-10,43.18,43.32,41.12,41.86,3249800.0,6.6251,20.533645240000002
2025-06-11,42.23,42.23,41.3,41.59,2053100.0,4.1855,20.40120176
2025-06-12,41.66,42.09,41.22,42.04,1873100.0,3.8185,20.621940900000002
2025-06-13,41.88,42.57,41.38,41.8,2621400.0,5.344,20.50421336
2025-06-16,41.8,42.14,40.86,41.01,1959000.0,3.9936,20.116693530000003
2025-06-17,40.95,41.16,40.0,40.32,1951634.0,3.9786,19.77822685
2025-06-18,40.32,40.68,39.96,40.5,1376700.0,2.8065,19.86652251
2025-06-19,40.3,40.64,39.15,39.39,1321000.0,2.693,19.32203263
2025-06-20,39.33,39.9,38.51,39.07,1467000.0,2.9906,19.16506258
2025-06-23,38.78,39.5,38.5,39.4,1189503.0,2.4249,19.32693795
2025-06-24,40.24,42.47,40.24,41.69,3668603.0,7.4788,20.4502549
2025-06-25,41.51,41.68,40.62,40.86,2773100.0,5.6533,20.04311382
2025-06-26,40.62,41.0,40.2,40.54,1597700.0,3.2571,19.88614377
2025-06-27,40.95,40.97,40.05,40.13,1394000.0,2.8418,19.68502588
2025-06-30,40.24,40.79,40.15,40.48,1174500.0,2.3943,19.85671188
2025-07-01,40.48,40.49,39.46,40.42,1766200.0,3.6006,19.82728
2025-07-02,40.31,40.43,39.46,39.71,1561500.0,3.1833,19.479002689999998
2025-07-03,39.66,40.12,39.52,40.01,1009300.0,2.0576,19.62616211
2025-07-04,39.92,40.74,39.45,40.15,1753000.0,3.5737,19.69483651
2025-07-07,39.92,40.0,39.33,39.88,1077500.0,2.1966,19.56239303
2025-07-08,39.77,40.09,39.59,39.98,1002400.0,2.0435,19.61144617
2025-07-09,40.1,41.2,39.41,39.48,2504000.0,5.1047,19.36618046
2025-07-10,39.46,39.88,39.26,39.48,1305900.0,2.6622,19.36618046
2025-07-11,39.32,40.3,39.22,40.08,1478000.0,3.0131,19.66049931
2025-07-14,40.09,40.2,39.61,40.03,1030900.0,2.1016,19.63597274
2025-07-15,39.9,42.78,39.61,42.56,5325000.0,10.8556,20.87701724
2025-07-16,42.02,42.45,41.0,42.03,3107202.0,6.3344,20.61703558
2025-07-17,41.99,42.85,41.55,42.58,2574600.0,5.2486,20.88682786
2025-07-18,42.57,43.21,42.09,42.95,2700799.0,5.5059,21.06832449
2025-07-21,42.9,43.15,41.78,42.46,2396100.0,4.8847,20.82796409
2025-07-22,42.08,42.5,41.6,41.99,2068800.0,4.2175,20.59741433
2025-07-23,41.85,43.56,41.45,43.31,3362299.0,6.8544,21.2449158
2025-07-24,43.2,43.2,42.01,42.48,2264999.0,4.6174,20.837774720000002
2025-07-25,42.75,43.13,42.1,42.73,3076200.0,6.2712,20.96040758
2025-07-28,42.75,42.79,41.71,42.07,2342600.0,4.7756,20.63665684
2025-07-29,42.07,42.42,41.66,42.08,2324200.0,4.7381,20.641562150000002
2025-07-30,42.0,43.88,41.71,42.62,4259300.0,8.683,20.906449119999998
2025-07-31,42.45,45.53,42.18,45.51,5936599.0,12.1024,22.32408492
2025-08-01,45.37,47.7,45.3,47.42,5742039.0,11.7058,23.26099994
2025-08-04,46.3,48.86,45.5,47.81,4524999.0,9.2247,23.452307190000003
2025-08-05,48.2,51.53,47.71,50.68,5717638.0,11.656,24.860132370000002
2025-08-06,50.68,51.6,49.58,50.22,3903500.0,7.9577,24.63448791
2025-08-07,50.81,53.35,50.73,52.2,4943694.0,10.0782,25.60574012
2025-08-08,51.51,52.2,50.16,51.18,3075500.0,6.2697,25.10539808
2025-08-11,50.77,51.5,50.0,51.27,3049994.0,6.2177,25.1495459
2025-08-12,51.01,51.7,50.2,50.62,2616294.0,5.3336,24.83070048
2025-08-13,50.64,52.78,50.3,52.27,3370494.0,6.8711,25.64007732
2025-08-14,52.53,53.0,51.11,51.95,2994000.0,6.1036,25.483107269999998
2025-08-15,52.43,54.77,45.25,45.33,13853100.0,28.241,22.235789269999998
2025-08-18,45.0,45.1,43.88,44.0,9130100.0,17.5777,22.85425516
