date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,26.85,26.88,26.33,26.41,3716457.0,0.7643,128.4223673
2025-06-04,26.5,26.73,26.47,26.52,2657900.0,0.5466,128.95725788
2025-06-05,26.5,26.68,26.48,26.65,2552799.0,0.525,129.58940131
2025-06-06,26.56,26.66,26.46,26.56,1588600.0,0.3267,129.15176355
2025-06-09,26.55,26.8,26.54,26.79,2323226.0,0.4778,130.27017114
2025-06-10,26.79,26.83,26.25,26.42,3412100.0,0.7017,128.47099371
2025-06-11,26.47,26.75,26.37,26.6,2570756.0,0.5287,129.34626921999998
2025-06-12,26.6,26.63,26.42,26.42,2225256.0,0.4576,128.47099371
2025-06-13,26.43,26.53,26.09,26.12,3080000.0,0.6334,127.0122012
2025-06-16,26.11,26.11,25.88,25.94,3034000.0,0.6239,126.1369257
2025-06-17,25.99,26.23,25.88,25.95,2025400.0,0.4165,126.18555212
2025-06-18,25.99,26.48,25.98,26.17,3552840.0,0.7306,127.25533329
2025-06-19,26.1,26.14,25.6,25.67,3597026.0,0.7397,124.82401244
2025-06-20,25.67,25.81,25.02,25.15,4863318.0,1.0001,122.29543876
2025-06-23,25.11,25.35,24.95,25.33,2523190.0,0.5189,123.17071426
2025-06-24,24.75,24.94,24.41,24.92,3834239.0,0.7885,121.17703115999998
2025-06-25,24.98,25.1,24.74,25.07,3734540.0,0.768,121.90642742
2025-06-26,25.01,25.07,24.81,24.81,2893969.0,0.5951,120.64214058
2025-06-27,24.85,25.28,24.85,25.18,4098258.0,0.8428,122.44131801
2025-06-30,25.28,25.55,25.21,25.47,3358612.0000000005,0.6907,123.8514841
2025-07-01,25.5,25.55,25.25,25.38,2239004.0,0.4605,123.41384635
2025-07-02,25.45,25.45,25.16,25.3,2379940.0,0.4894,123.02483501
2025-07-03,25.31,25.37,25.12,25.3,2745120.0,0.5645,123.02483501
2025-07-04,25.4,25.4,25.05,25.11,3085824.0,0.6346,122.10093309
2025-07-07,25.28,26.18,25.15,25.94,8266244.0,1.6999,126.1369257
2025-07-08,25.85,25.86,25.54,25.86,5156560.0,1.0604,125.74791436
2025-07-09,25.87,26.03,25.63,25.68,4618130.0,0.9497,124.87263886
2025-07-10,25.67,26.18,25.55,25.84,4989430.0,1.0261,125.65066153
2025-07-11,25.9,25.97,25.75,25.81,3279375.0,0.6744,125.50478228
2025-07-14,25.82,26.1,25.6,25.98,3821440.0,0.7859,126.33143137
2025-07-15,25.96,25.97,25.58,25.73,4497885.0,0.925,125.11577094
2025-07-16,25.74,26.07,25.71,25.91,3367762.0000000005,0.6926,125.99104645
2025-07-17,25.83,26.29,25.83,25.97,3869559.0,0.7958,126.28280495
2025-07-18,26.0,28.35,25.85,27.58,17183203.0,3.5337,134.11165809
2025-07-21,27.56,27.66,27.17,27.23,8471690.0,1.7422,132.40973348999998
2025-07-22,27.33,27.95,27.12,27.62,8245230.0,1.6956,134.30616375
2025-07-23,27.6,27.93,27.38,27.57,6201082.0,1.2752,134.06303167000002
2025-07-24,27.57,27.76,27.39,27.71,4708230.0,0.9682,134.74380151
2025-07-25,27.89,28.62,27.71,28.33,7336191.0,1.5087,137.75863936000002
2025-07-28,28.3,28.3,27.78,27.82,4879517.0,1.0035,135.27869209
2025-07-29,27.78,27.78,26.87,27.2,6685514.0,1.3749,132.26385424
2025-07-30,27.2,27.43,27.05,27.34,3608514.0,0.7421,132.94462408
2025-07-31,27.28,27.35,26.64,26.74,4826085.0,0.9925,130.02703906
2025-08-01,26.8,26.97,26.66,26.97,2633030.0,0.5415,131.14544665
2025-08-04,26.75,26.95,26.4,26.56,3949960.0,0.8123,129.15176355
2025-08-05,26.56,27.04,26.48,26.93,3152130.0,0.6482,130.95094098
2025-08-06,26.85,27.87,26.75,27.64,6999736.0,1.4395,134.40341658999998
2025-08-07,27.69,27.8,27.38,27.6,3285473.0000000005,0.6757,134.20891092
2025-08-08,27.54,27.97,27.4,27.78,4014594.0,0.8256,135.08418643
2025-08-11,27.78,27.99,27.66,27.83,3796997.0,0.7809,135.32731851
2025-08-12,27.83,29.19,27.7,28.36,10766387.0,2.2141,137.90451861
2025-08-13,28.3,28.32,27.46,27.8,8428284.0,1.7333,135.18143926
2025-08-14,27.65,27.81,27.01,27.05,6898639.999999999,1.4187,131.53445799
2025-08-15,26.98,27.65,26.97,27.49,4594566.0,0.9449,133.67402033
2025-08-18,27.45,27.73,27.11,27.28,6977616.0,1.4349,132.65286558
2025-08-19,27.1,28.09,27.1,27.9,11034854.0,2.2693,135.66770343
2025-08-20,27.86,28.13,27.71,28.13,5485051.0,1.128,136.78611102
2025-08-21,28.15,28.39,27.97,28.16,4928068.0,1.0135,136.93199027
2025-08-22,28.23,28.28,27.97,28.2,4505254.0,0.9265,137.12649594
2025-08-25,28.19,28.38,27.9,28.09,6349573.0,1.3058,136.59160534999998
2025-08-26,28.09,28.86,27.92,28.62,7614864.999999999,1.566,139.16880545
2025-08-27,28.62,28.89,27.83,27.87,6724570.0,1.3829,135.52182418
2025-08-28,28.0,28.19,27.03,27.55,6384015.0,1.3129,133.96577883999998
2025-08-29,27.61,27.62,27.03,27.24,5707810.0,1.1738,132.45835991
2025-09-01,27.28,27.36,27.1,27.36,3207365.0,0.6596,133.04187690999998
2025-09-02,27.38,27.38,26.66,26.85,4015456.0,0.8258,130.56192965
2025-09-03,27.01,27.13,26.62,26.63,3167721.0,0.6514,129.49214847
2025-09-04,26.9,27.53,26.62,26.93,4186928.0,0.861,130.95094098
2025-09-05,26.87,27.5,26.75,27.4,4905410.0,1.0088,133.23638258
2025-09-08,27.56,27.62,27.29,27.47,3103088.0,0.6381,133.57676750000002
2025-09-09,27.45,27.45,27.05,27.13,2507718.0,0.5157,131.92346932
2025-09-10,27.08,27.18,26.86,26.88,2463632.0,0.5066,130.7078089
2025-09-11,26.86,27.09,26.73,27.07,3803986.0,0.7823,131.63171082
2025-09-12,27.07,27.49,27.0,27.11,3793990.0,0.7802,131.82621649
2025-09-15,27.12,27.2,26.63,26.68,3642595.0,0.7491,129.73528056
2025-09-16,26.69,26.8,26.26,26.73,3104390.0,0.6384,129.97841264
2025-09-17,26.74,27.07,26.62,26.82,3244800.0,0.6673,130.41605038999998
2025-09-18,26.82,26.93,26.4,26.66,3202716.0,0.6586,129.63802772
2025-09-19,26.53,27.02,26.18,26.94,5688644.0,1.1699,130.99956740000002
2025-09-22,26.8,26.84,26.36,26.76,3052728.0,0.6278,130.12429189
2025-09-23,26.76,27.49,26.72,27.17,5365073.0,1.1033,132.11797499
2025-09-24,27.18,27.58,27.01,27.45,4490070.0,0.9234,133.47951467
2025-09-25,27.47,27.55,27.01,27.1,4062031.0,0.8354,131.77759007
2025-09-26,27.06,27.22,26.85,27.01,2661219.0,0.5473,131.33995231999998
2025-09-29,27.03,28.34,27.03,27.9,9624569.0,1.9793,135.66770343
2025-09-30,27.9,28.08,27.69,27.84,3989872.0,0.8205,135.37594493
2025-10-09,27.85,28.76,27.72,28.66,7618961.0,1.5668,139.36331112
2025-10-10,28.6,30.77,28.38,30.51,16220854.0,3.3358,148.35919827
2025-10-13,29.42,31.11,29.26,30.5,11281817.0,2.3201,148.31057185
2025-10-14,30.75,30.82,29.34,29.54,8516018.0,1.7513,143.64243582
2025-10-15,29.44,29.92,29.02,29.77,5827903.0,1.1985,144.76084341
2025-10-16,29.96,30.16,29.29,29.65,5201708.0,1.0697,144.17732641
2025-10-17,29.55,29.56,28.2,28.22,6407096.0,1.3176,137.22374877
2025-10-20,28.57,28.68,27.95,28.12,3950651.0,0.8124,136.7374846
2025-10-21,28.15,29.98,28.15,29.19,8812775.0,1.8123,141.94051122000002
2025-10-22,29.09,29.11,28.5,28.75,4704127.0,0.9674,139.80094888
2025-10-23,28.59,28.95,28.49,28.93,3299830.0000000005,0.6786,140.67622438
2025-10-24,28.89,28.96,28.47,28.63,4203228.0,0.8644,139.21743186999998
2025-10-27,28.68,29.2,28.5,29.02,4814265.0,0.9901,141.11386213
2025-10-28,31.77,31.92,31.59,31.92,9388691.0,1.9308,155.21552305999998
2025-10-29,32.88,35.11,32.55,35.11,27052992.0,5.5634,170.72735009000002
2025-10-30,34.9,34.93,33.55,33.85,22772042.0,4.6831,164.60042155
2025-10-31,34.17,34.94,33.64,33.77,14161260.0,2.9123,164.21141021
2025-11-03,34.2,36.15,34.14,35.59,19435677.0,3.9969,173.0614181
2025-11-04,35.59,36.45,34.67,35.08,14023934.0,2.884,170.58147083999998
2025-11-05,34.0,38.1,34.0,37.24,19308729.0,3.9708,181.08477691
2025-11-06,37.0,37.88,36.5,37.04,16197918.0,3.3311,180.11224857000002
2025-11-07,36.9,38.79,36.16,37.05,14403228.0,2.962,180.16087499
2025-11-10,36.61,37.48,36.2,37.19,10065839.0,2.07,180.84164482
2025-11-11,38.3,40.91,38.3,38.85,19611611.0,4.0331,188.91363005
2025-11-12,38.53,38.79,36.36,37.07,15178074.0,3.1214,180.25812782
2025-11-13,36.9,37.27,36.24,36.51,9166228.0,1.885,177.53504847
2025-11-14,35.78,36.86,35.71,35.71,6638703.999999999,1.3652,173.64493511
2025-11-17,35.71,36.14,35.01,35.4,5479039.0,1.1268,172.13751617999998
2025-11-18,35.39,35.59,34.98,35.2,4298771.0,0.884,171.16498784
2025-11-19,35.05,35.8,34.71,35.2,5679428.0,1.168,171.16498784
2025-11-20,35.21,35.75,34.31,34.5,4519704.0,0.9295,167.76113865
2025-11-21,33.98,34.69,32.93,33.01,7488280.0,1.54,160.51580252
2025-11-24,33.2,33.49,32.87,33.22,4585174.0,0.9429,161.53695727
2025-11-25,33.42,34.05,33.21,33.65,5191081.0,1.0675,163.62789321
2025-11-26,33.73,34.09,33.54,33.77,3236200.0,0.6655,164.21141021
2025-11-27,33.8,34.75,33.67,33.95,5523100.0,1.1358,165.08668572
2025-11-28,33.85,34.03,33.53,33.72,4157257.0,0.8549,163.96827812
2025-12-01,33.7,35.42,33.6,35.32,7736132.000000001,1.5909,171.74850484
2025-12-02,35.24,35.24,33.95,33.98,4351530.0,0.8949,165.23256497
2025-12-03,34.03,34.68,33.99,34.21,2995641.0,0.6161,166.35097256
2025-12-04,34.23,34.83,33.91,34.07,2164214.0,0.4451,165.67020272
2025-12-05,34.13,34.9,33.81,34.8,3279600.0,0.6744,169.21993116
2025-12-08,34.8,35.05,33.98,34.57,4675100.0,0.9614,168.10152357
2025-12-09,34.57,35.1,34.2,34.37,2527631.0,0.5198,167.12899523
2025-12-10,34.38,34.38,33.49,33.69,3412194.9999999995,0.7017,163.82239887
2025-12-11,33.83,34.06,33.21,33.27,3395871.0,0.6984,161.78008936
2025-12-12,33.31,34.87,33.23,34.44,10179567.0,2.0934,167.46938015
2025-12-15,34.39,35.24,34.24,34.94,6383921.0,1.3129,169.900701
2025-12-16,34.76,34.94,33.8,34.03,4261640.0,0.8764,165.47569705
2025-12-17,33.96,34.43,33.15,34.22,5233007.0,1.0762,166.39959897
2025-12-18,34.01,34.21,33.08,33.3,4195330.0,0.8628,161.92596861
2025-12-19,33.42,33.87,33.01,33.1,3758660.0,0.773,160.95344027
2025-12-22,33.11,33.77,33.01,33.6,3873097.0,0.7965,163.38476111999998
2025-12-23,33.58,34.4,33.3,34.27,5095850.0,1.048,166.64273106
2025-12-24,34.19,35.2,33.81,34.73,4277900.0,0.8797,168.87954624
2025-12-25,34.73,35.19,34.3,34.56,3319519.9999999995,0.6827,168.05289715
2025-12-26,34.6,35.0,34.36,34.57,2846050.0,0.5853,168.10152357
2025-12-29,34.47,35.22,34.2,34.71,3923157.0,0.8068,168.78229341
2025-12-30,34.5,36.5,34.41,35.45,5909352.0,1.2153,172.38064827
2025-12-31,35.63,36.9,35.4,36.4,6234480.0,1.2821,177.00015788
2026-01-05,36.3,36.3,34.66,35.35,9651732.0,1.9849,171.8943841
2026-01-06,35.24,36.11,35.17,35.7,4924244.0,1.0127,173.59630869
2026-01-07,35.69,36.35,35.34,35.99,4774988.0,0.982,175.00647478
2026-01-08,36.07,36.08,35.25,35.38,3348235.0,0.6886,172.04026335
2026-01-09,35.25,35.98,35.08,35.55,3748663.0,0.7709,172.86691244000002
2026-01-12,35.52,36.85,34.92,36.59,6149490.0,1.2646,177.9240598
2026-01-13,36.51,37.94,36.26,37.4,8534724.0,1.7552,181.86279958
2026-01-14,37.39,38.39,36.69,37.67,6932588.0,1.4257,183.17571284
2026-01-15,36.81,38.23,36.79,37.79,4417200.0,0.9084,183.75922984
2026-01-16,39.5,40.16,38.23,38.54,7878903.999999999,1.6203,187.40621112
2026-01-19,38.48,42.3,38.48,41.5,9988975.0,2.0542,201.79963055
2026-01-20,41.49,41.99,40.05,41.12,8640809.0,1.777,199.9518267
2026-01-21,40.68,42.97,40.2,41.64,7685787.0,1.5806,202.48040039
2026-01-22,41.64,41.86,39.75,39.76,7562783.0,1.5553,193.33863399
2026-01-23,39.99,41.0,39.82,40.55,5886860.0,1.2106,197.18012094
2026-01-26,40.55,40.79,39.5,39.99,5962625.0,1.2262,194.45704158
2026-01-27,39.69,40.22,38.47,38.91,6238904.0,1.283,189.20538855
2026-01-28,38.91,39.44,38.26,39.15,4534025.0,0.9324,190.37242256
2026-01-29,38.8,40.24,38.8,39.51,6150525.0,1.2649,192.12297357
2026-01-30,39.39,39.81,38.01,39.12,3491729.0,0.7181,190.2265433
2026-02-02,39.02,40.74,38.5,38.8,6811175.0,1.4007,188.67049796
2026-02-03,39.16,40.35,39.0,39.82,4761668.0,0.9792,193.63039249
2026-02-04,39.75,39.76,37.67,38.23,7607128.999999999,1.5644,185.89879219
2026-02-05,38.0,38.03,36.7,37.06,5734745.0,1.1793,180.2095014
2026-02-06,36.91,37.82,36.8,36.99,3327751.0,0.6844,179.86911648
2026-02-09,37.31,37.69,36.69,36.99,5172489.0,1.0637,179.86911648
2026-02-10,36.98,37.38,36.49,37.01,5032077.0,1.0348,179.96636932
2026-02-11,37.05,37.39,36.8,36.82,3004468.0,0.6179,179.04246739
2026-02-12,36.82,38.39,36.6,37.96,4409199.0,0.9067,184.58587893
2026-02-13,37.78,37.89,36.88,36.96,3726800.0,0.7664,179.72323723
2026-02-24,37.44,39.11,37.05,38.7,5696880.0,1.1716,188.18423379
2026-02-25,38.7,39.49,38.32,39.0,3703824.0,0.7617,189.6430263
2026-02-26,39.19,39.64,38.65,39.48,3927260.0,0.8076,191.97709432
2026-02-27,39.28,39.73,38.48,38.7,4552267.0,0.9362,188.18423379
2026-03-02,38.21,39.98,38.11,39.18,5060042.0,1.0406,190.51830181
2026-03-03,39.07,39.64,37.46,37.83,5191200.0,1.0676,183.95373551
2026-03-04,37.3,39.27,37.3,38.24,4551840.0,0.9361,185.94741861
2026-03-05,38.75,40.2,38.73,39.82,7787702.0,1.6015,193.63039249
2026-03-06,40.47,42.48,40.47,41.46,10873640.0,2.2362,201.60512488
2026-03-09,40.44,42.0,39.64,41.32,9136026.0,1.8788,200.92435504
2026-03-10,41.34,43.28,40.58,42.76,9381730.0,1.9293,207.92655909
2026-03-11,42.78,43.0,41.56,42.43,7048577.0,1.4495,206.32188733
2026-03-12,42.4,42.4,40.26,41.1,6110837.0,1.2567,199.85457387
2026-03-13,41.41,41.41,39.51,39.65,4090661.0,0.8412,192.80374341
2026-03-16,39.64,39.83,38.2,39.01,4495900.0,0.9246,189.69165272
2026-03-17,39.01,39.47,38.08,38.19,2817997.0,0.5795,185.70428652
2026-03-18,38.69,38.69,37.35,37.71,4817140.0,0.9906,183.37021851
2026-03-19,37.11,37.46,35.73,35.91,5890962.0,1.2115,174.61746345
2026-03-20,36.35,36.8,35.18,35.55,4948578.0,1.0177,172.86691244000002
2026-03-23,35.1,36.1,33.59,33.96,6812224.000000001,1.4009,165.13531213
2026-03-24,34.4,34.5,33.33,34.32,3802250.0,0.7819,166.88586314
2026-03-25,34.49,34.94,34.3,34.43,3776036.0,0.7765,167.42075373
2026-03-26,34.46,35.26,34.22,34.61,4766100.0,0.9801,168.29602924
2026-03-27,34.25,34.79,34.09,34.4,3542687.0000000005,0.7286,167.27487448
2026-03-30,34.03,34.23,32.95,33.25,6458350.0,1.3282,161.68283653
2026-03-31,33.39,33.6,32.47,32.8,5014491.0,1.0312,159.49464776000002
2026-04-01,33.26,33.98,33.26,33.79,4052711.0,0.8334,164.30866304
2026-04-02,33.55,34.25,33.13,33.23,2620300.0,0.5389,161.58558369
2026-04-03,33.33,33.42,32.79,32.8,1993619.0,0.41,159.49464776000002
2026-04-07,32.85,33.05,32.2,32.4,2004303.0,0.4122,157.54959108
2026-04-08,33.08,35.1,33.08,34.7,4724103.0,0.9715,168.73366699000002
2026-04-09,34.6,34.6,33.92,34.3,3079050.0,0.6332,166.78861031
2026-04-10,34.37,34.71,34.2,34.39,2411751.0,0.496,167.22624806
2026-04-13,34.0,35.6,33.45,34.9,5660351.0,1.164,169.70619533
2026-04-14,34.9,35.52,34.7,35.17,3477591.0000000005,0.7152,171.01910859
2026-04-15,35.51,37.05,35.17,36.6,5896890.0,1.2127,177.97268622
2026-04-16,36.59,36.59,35.36,35.73,4905312.0,1.0088,173.74218794
2026-04-17,35.6,35.84,34.14,34.56,5425430.0,1.1157,168.05289715
2026-04-20,34.33,34.85,33.68,34.15,7277689.0,1.4967,166.05921406000002
2026-04-21,32.4,32.4,30.82,31.2,16733407.0,3.4412,151.71442104
2026-04-22,30.7,30.9,30.1,30.48,9469815.0,1.9475,148.21331902
2026-04-23,30.43,30.85,30.11,30.2,5356621.0,1.1016,146.85177934
2026-04-24,30.12,30.21,29.41,29.48,5216994.0,1.0729,143.35067732
2026-04-27,29.45,30.24,28.49,30.15,8539600.0,1.7562,146.60864726
2026-04-28,29.9,30.08,29.28,29.42,3887246.0,0.7994,143.05891881
2026-04-29,29.27,29.75,29.27,29.49,3628951.0,0.7463,143.39930373
2026-04-30,29.0,29.56,28.61,28.72,7187114.999999999,1.478,139.65506961999998
2026-05-06,28.98,30.07,28.9,29.79,7334400.0,1.5083,144.85809624
2026-05-07,29.98,30.09,29.4,29.65,5747709.0,1.182,144.17732641
2026-05-08,29.45,29.59,28.94,29.13,5039696.0,1.0364,141.64875271999998
2026-05-11,29.28,30.85,29.24,30.17,10695858.0,2.1996,146.70590009
2026-05-12,30.18,30.52,29.66,29.89,5335550.0,1.0973,145.34436041
2026-05-13,29.89,30.45,29.76,30.11,5556837.0,1.1428,146.41414159
2026-05-14,30.12,30.25,28.33,28.59,9624302.0,1.9792,139.0229262
2026-05-15,28.38,28.58,27.77,27.85,5769096.0,1.1864,135.42457135
2026-05-18,28.05,28.24,27.63,28.0,3681070.0,0.757,136.1539676
2026-05-19,27.82,29.42,27.8,29.2,6194253.0,1.2738,141.98913764
2026-05-20,29.21,29.21,28.47,28.81,3701360.0,0.7612,140.09270737999998
2026-05-21,28.86,29.0,27.73,27.81,5194300.0,1.0682,135.23006568
2026-05-22,27.95,28.1,27.32,27.5,4039100.0,0.8306,133.72264675
2026-05-25,27.73,28.81,27.69,28.08,5124800.0,1.0539,136.54297893999998
2026-05-26,28.0,28.0,27.33,27.5,3798700.0,0.7812,133.72264675
2026-05-27,27.52,28.09,27.0,27.09,3761185.0,0.7735,131.72896365
2026-05-28,26.98,27.5,26.74,27.13,3550435.0,0.7301,131.92346932
2026-05-29,27.09,27.25,26.78,26.89,4383261.0,0.9014,130.75643531
2026-06-01,26.7,27.1,26.55,26.73,3660331.0,0.7527,129.97841264
2026-06-02,26.73,26.89,25.29,25.36,7759642.0,1.5958,123.31659351
2026-06-03,25.3,25.58,24.81,25.39,4507761.0,0.927,123.46247276
2026-06-04,25.38,25.38,24.56,24.76,3582541.0000000005,0.7367,120.39900849
2026-06-05,24.79,24.94,24.16,24.44,4099931.0,0.8431,118.84296315
2026-06-08,24.0,24.18,23.04,23.35,5090700.0,1.0469,113.5426837
2026-06-09,23.47,24.3,22.96,24.25,6034740.0,1.241,117.91906123
2026-06-10,23.8,25.0,23.71,24.56,8221803.999999999,1.6908,119.42648015
2026-06-11,24.52,24.52,23.55,23.56,3808300.0,0.7832,114.56383845
2026-06-12,23.8,24.05,23.41,23.79,3839691.000000001,0.7896,115.68224604
2026-06-15,23.99,24.19,23.82,24.03,3269760.0,0.6724,116.84928005
2026-06-16,24.19,24.19,23.52,23.77,3195776.0,0.6572,115.58500034
2026-06-17,23.77,23.8,23.05,23.06,4270164.0,0.8782,112.13252452
2026-06-18,23.2,24.5,22.92,23.12,8769635.0,1.8035,112.42428304
2026-06-22,22.82,23.1,22.43,22.92,7428420.0,1.5277,111.45175464
2026-06-23,23.06,23.34,22.46,22.73,8733739.0,1.7961,110.52785266
2026-06-24,22.65,22.67,21.61,21.66,9701891.0,1.9952,105.32482572
2026-06-25,21.53,21.66,20.98,21.36,8561232.0,1.7606,103.86603312
2026-06-26,21.33,21.95,21.01,21.32,6122354.0,1.2591,103.67152744
2026-06-29,21.3,21.8,20.69,21.38,6908498.0,,
2026-06-30,21.4,22.18,21.15,22.0,6237755.0,,
2026-07-01,22.0,22.79,21.68,22.78,8198254.0,,
2026-07-02,22.69,22.92,22.13,22.25,5927753.0,,
2026-07-03,22.45,23.14,22.36,22.9,5905410.0,,
2026-07-06,22.95,23.26,22.71,22.91,6172100.0,,
2026-07-07,22.0,22.01,21.18,21.37,5666434.0,,
2026-07-08,21.3,22.3,21.14,21.37,6572702.0,,
2026-07-09,21.36,21.43,20.44,20.82,5076249.0,,
2026-07-10,20.76,22.9,20.66,22.9,8817920.0,,
2026-07-13,22.83,23.35,22.09,22.44,12016395.0,,
2026-07-14,22.5,22.6,21.57,22.43,7963850.0,,
2026-07-15,22.64,23.25,22.2,23.25,9379965.0,,
2026-07-16,23.17,23.38,22.56,23.31,7077551.0,,
2026-07-17,23.35,24.49,23.03,24.06,12156503.0,,
2026-07-20,23.7,24.95,23.11,24.59,12199215.0,,
2026-07-21,24.41,24.41,22.9,23.15,14078591.0,,
2026-07-22,22.85,23.58,22.31,23.02,8740724.0,,
