date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,8.75,9.06,8.71,9.0,8595820.0,2.5904,29.865012209999996
2025-06-04,8.96,9.23,8.96,9.05,7086539.999999999,2.1356,30.030928940000003
2025-06-05,9.1,9.12,8.94,9.01,9040344.0,2.7244,29.898195559999998
2025-06-06,9.01,9.22,8.96,9.14,6906055.0,2.0812,30.32957907
2025-06-09,9.13,9.37,9.11,9.31,8236313.0,2.4821,30.89369596
2025-06-10,9.31,9.73,9.13,9.23,10397148.0,3.1332,30.628229190000003
2025-06-11,9.19,9.29,9.07,9.18,7776220.0,2.3434,30.46231245
2025-06-12,9.18,9.28,9.14,9.22,5054660.0,1.5233,30.59504584
2025-06-13,9.19,9.27,8.89,8.92,8358861.0,2.519,29.59954543
2025-06-16,8.97,9.11,8.9,9.01,5418736.0,1.633,29.898195559999998
2025-06-17,8.96,9.08,8.94,9.02,4357823.0,1.3133,29.9313789
2025-06-18,9.03,9.05,8.91,9.01,3782123.0000000005,1.1398,29.898195559999998
2025-06-19,9.04,9.04,8.64,8.7,6839684.0,2.0612,28.8695118
2025-06-20,8.71,8.79,8.6,8.64,5041484.0,1.5193,28.670411719999997
2025-06-23,8.57,8.78,8.56,8.73,3545000.0,1.0683,28.96906184
2025-06-24,8.85,9.11,8.71,9.11,6527423.0,1.9671,30.23002903
2025-06-25,9.12,9.25,9.09,9.17,6421920.0,1.9353,30.429129109999998
2025-06-26,9.19,9.22,9.03,9.04,5619556.0,1.6935,29.997745600000002
2025-06-27,9.11,9.22,9.04,9.1,4174290.0,1.2579,30.19684568
2025-06-30,9.1,9.19,9.07,9.16,4712048.0,1.42,30.395945760000004
2025-07-01,9.25,9.37,9.13,9.17,6388960.0,1.9254,30.429129109999998
2025-07-02,9.17,9.28,9.07,9.13,4839928.0,1.4585,30.29639572
2025-07-03,9.13,9.21,9.09,9.15,3803619.9999999995,1.1462,30.362762410000002
2025-07-04,9.13,9.16,8.87,8.9,7369796.000000001,2.2209,29.533178739999997
2025-07-07,8.89,9.24,8.87,9.14,7632864.999999999,2.3002,30.32957907
2025-07-08,9.13,9.26,9.08,9.25,6455980.0,1.9455,30.69459588
2025-07-09,9.26,9.33,9.16,9.27,6007534.0,1.8104,30.760962579999998
2025-07-10,9.26,9.32,9.12,9.24,5745484.0,1.7314,30.66141254
2025-07-11,9.26,9.35,9.14,9.17,5583860.0,1.6827,30.429129109999998
2025-07-14,9.26,9.75,9.24,9.58,14309064.000000002,4.3121,31.78964633
2025-07-15,9.58,9.69,9.16,9.26,13991796.0,4.2165,30.727779229999996
