date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.88,3.95,3.88,3.92,25561700.0,1.1788,85.00238238
2025-06-04,3.91,3.99,3.91,3.93,32091711.0,1.48,85.21922519
2025-06-05,3.93,3.99,3.91,3.96,31981200.0,1.4749,85.86975363
2025-06-06,3.96,3.96,3.9,3.91,29166800.0,1.3451,84.78553957
2025-06-09,3.92,3.98,3.91,3.95,33038100.0,1.5236,85.65291082
2025-06-10,3.95,3.96,3.82,3.9,49454200.0,2.2806,84.56869676
2025-06-11,3.9,3.96,3.87,3.91,31042240.999999996,1.4316,84.78553957
2025-06-12,3.91,3.92,3.86,3.87,23927776.0,1.1035,83.91816831999999
2025-06-13,3.88,3.89,3.75,3.76,41051400.0,1.8931,81.53289739
2025-06-16,3.72,3.76,3.68,3.76,42422300.0,1.9564,81.53289739
2025-06-17,3.76,3.8,3.71,3.73,35121500.0,1.6197,80.88236895
2025-06-18,3.72,3.77,3.7,3.73,21660387.0,0.9989,80.88236895
2025-06-19,3.74,3.85,3.71,3.75,60762666.0,2.8022,81.31605458
2025-06-20,3.73,3.75,3.65,3.67,42271326.0,1.9494,79.58131208
2025-06-23,3.63,3.85,3.56,3.81,72875770.0,3.3608,82.61711145
2025-06-24,3.82,3.88,3.77,3.85,49037253.0,2.2614,83.4844827
2025-06-25,3.85,3.98,3.83,3.9,69653158.0,3.2121,84.56869676
2025-06-26,3.89,4.29,3.85,4.29,225118734.0,10.3817,93.02556643
2025-06-27,4.16,4.31,4.09,4.11,177049107.0,8.1649,89.12239581
2025-06-30,4.16,4.3,4.13,4.23,133048657.0,6.1357,91.72450956
2025-07-01,4.2,4.24,4.13,4.14,68938130.0,3.1792,89.77292425
2025-07-02,4.15,4.2,4.07,4.08,63711753.0,2.9382,88.47186737999999
2025-07-03,4.08,4.14,4.05,4.09,49326226.0,2.2747,88.68871019
2025-07-04,4.09,4.23,4.09,4.1,53611000.0,2.4723,88.905553
2025-07-07,4.08,4.37,4.06,4.25,123166376.0,5.68,92.15819519
2025-07-08,4.2,4.38,4.16,4.3,108808604.0,5.0179,93.24240925000001
2025-07-09,4.3,4.38,4.22,4.24,83231904.0,3.8384,91.94135237
2025-07-10,4.22,4.28,4.18,4.23,60621381.99999999,2.7956,91.72450956
2025-07-11,4.23,4.49,4.2,4.45,149072905.0,6.8747,96.49505143
2025-07-14,4.45,4.55,4.35,4.46,111951500.0,5.1628,96.71189424
2025-07-15,4.36,4.39,4.16,4.25,127207411.00000001,5.8663,92.15819519
2025-07-16,4.22,4.37,4.2,4.25,69123718.0,3.1877,92.15819519
2025-07-17,4.21,4.26,4.2,4.21,45474544.0,2.0971,91.29082394
2025-07-18,4.23,4.23,4.14,4.21,55310918.99999999,2.5507,91.29082394
2025-07-21,4.2,4.26,4.18,4.23,46939117.0,2.1647,91.72450956
2025-07-22,4.23,4.3,4.12,4.12,69045160.0,3.1841,89.33923863
2025-07-23,4.08,4.25,4.07,4.13,57434871.0,2.6487,89.55608144
2025-07-24,4.12,4.23,4.11,4.21,61696622.0,2.8452,91.29082394
2025-07-25,4.23,4.32,4.15,4.28,99636385.0,4.5949,92.80872362000001
2025-07-28,4.3,4.3,4.18,4.2,55216010.0,2.5464,91.07398112
2025-07-29,4.19,4.19,4.07,4.13,55456743.00000001,2.5575,89.55608144
2025-07-30,4.11,4.13,4.04,4.05,37285800.0,1.7195,87.82133894
2025-07-31,4.05,4.08,3.95,3.96,57636441.0,2.658,85.86975363
2025-08-01,3.96,3.98,3.93,3.97,34987700.0,1.6135,86.08659644000001
2025-08-04,3.92,3.99,3.92,3.96,28746400.0,1.3257,85.86975363
2025-08-05,3.96,4.01,3.94,3.96,35019190.0,1.615,85.86975363
2025-08-06,3.97,4.02,3.95,3.98,41258301.0,1.9027,86.30343926
2025-08-07,3.98,4.01,3.93,3.94,45960800.0,2.1195,85.43606801
2025-08-08,3.95,3.96,3.87,3.88,49184790.0,2.2682,84.13501113
2025-08-11,3.88,3.94,3.86,3.91,34228100.0,1.5785,84.78553957
2025-08-12,3.9,3.91,3.86,3.88,37138364.0,1.7127,84.13501113
2025-08-13,3.89,4.1,3.88,3.98,118363331.0,5.4585,86.30343926
2025-08-14,3.97,3.98,3.89,3.91,65148900.0,3.0044,84.78553957
2025-08-15,3.9,3.92,3.89,3.92,50711800.0,2.3386,85.00238238
2025-08-18,3.92,3.97,3.9,3.97,59791881.00000001,2.7574,86.08659644000001
2025-08-19,3.97,4.04,3.93,4.0,76673651.0,3.5359,86.73712488
2025-08-20,4.01,4.02,3.94,3.98,72916201.0,3.3626,86.30343926
2025-08-21,3.98,4.08,3.98,4.02,107926463.99999999,4.9772,87.1708105
2025-08-22,4.03,4.04,3.96,4.02,63129116.0,2.9113,87.1708105
2025-08-25,4.05,4.05,4.0,4.03,62021424.0,2.8602,87.38765332
2025-08-26,4.03,4.11,4.0,4.06,79418557.0,3.6625,88.03818175
2025-08-27,4.08,4.16,3.98,3.98,116878424.0,5.39,86.30343926
2025-08-28,3.98,4.02,3.9,4.01,78927039.0,3.6398,86.95396769
2025-08-29,4.01,4.15,4.0,4.07,92817633.0,4.2804,88.25502457
2025-09-01,4.07,4.09,3.98,4.01,67938080.0,3.1331,86.95396769
2025-09-02,4.0,4.03,3.92,4.0,73075433.0,3.37,86.73712488
2025-09-03,4.0,4.0,3.86,3.87,60084806.99999999,2.7709,83.91816831999999
2025-09-04,3.9,3.9,3.78,3.84,44735364.0,2.063,83.26763987999999
2025-09-05,3.84,3.86,3.78,3.86,42524953.0,1.9611,83.70132550999999
2025-09-08,3.83,3.86,3.81,3.82,38843638.0,1.7913,82.83395426
2025-09-09,3.81,3.82,3.73,3.75,38123000.0,1.7581,81.31605458
2025-09-10,3.77,3.84,3.77,3.77,36564463.0,1.6862,81.7497402
2025-09-11,3.78,3.82,3.71,3.81,41624482.0,1.9113,82.97620334
2025-09-12,3.81,3.88,3.81,3.82,52079966.0,2.3913,83.19398865000001
2025-09-15,3.82,3.84,3.78,3.8,32553026.0,1.4947,82.75841803
2025-09-16,3.8,4.17,3.79,4.0,187922459.0,8.6288,87.11412424
2025-09-17,3.95,4.01,3.91,3.95,92337401.0,4.2398,86.02519769
2025-09-18,3.99,4.08,3.94,3.97,131646674.0,6.0448,86.46076831
2025-09-19,3.93,4.01,3.88,3.92,71740443.0,3.2941,85.37184176000001
2025-09-22,3.92,3.95,3.88,3.9,55424100.0,2.5449,84.93627113
2025-09-23,3.8,3.81,3.56,3.66,102891652.0,4.7245,79.70942368
2025-09-24,3.63,3.67,3.59,3.66,43970020.0,2.019,79.70942368
2025-09-25,3.67,3.68,3.61,3.61,32843700.0,1.5081,78.62049713
2025-09-26,3.59,3.64,3.56,3.59,30137700.0,1.3838,78.18492651
2025-09-29,3.58,3.61,3.52,3.6,35869800.0,1.647,78.40271182000001
2025-09-30,3.59,3.71,3.57,3.69,51778889.0,2.3775,80.36277961
2025-10-09,3.77,3.77,3.65,3.68,45577326.0,2.0928,80.1449943
2025-10-10,3.67,3.69,3.63,3.66,28635799.0,1.3149,79.70942368
2025-10-13,3.55,3.64,3.52,3.63,31492100.0,1.446,79.05606775
2025-10-14,3.64,3.67,3.6,3.61,30269790.999999996,1.3899,78.62049713
2025-10-15,3.6,3.62,3.56,3.61,21788600.0,1.0005,78.62049713
2025-10-16,3.61,3.62,3.55,3.56,25392096.0,1.1659,77.53157057
2025-10-17,3.57,3.58,3.42,3.44,35188001.0,1.6157,74.91814685
2025-10-20,3.45,3.48,3.43,3.45,24686603.0,1.1335,75.13593216
2025-10-21,3.46,3.47,3.43,3.45,34722345.0,1.5943,75.13593216
2025-10-22,3.45,3.48,3.42,3.42,37920630.0,1.7412,74.48257622999999
2025-10-23,3.43,3.52,3.35,3.47,72019051.0,3.3069,75.57150278
2025-10-24,3.47,3.55,3.46,3.48,50522300.0,2.3198,75.78928809
2025-10-27,3.52,3.58,3.44,3.47,74813509.0,3.4352,75.57150278
2025-10-28,3.45,3.77,3.42,3.61,155987321.0,7.1624,78.62049713
2025-10-29,3.55,3.57,3.46,3.5,80806900.0,3.7104,76.22485871
2025-10-30,3.49,3.62,3.46,3.54,87325278.0,4.0097,77.09599995
