date,open,high,low,close,volume,turnover,circ_mv亿
2025-10-22,33.1,40.0,31.05,31.46,75704239.0,77.3588,30.78713478
2025-10-23,28.99,33.34,28.9,31.45,56317302.0,57.5481,30.77734866
2025-10-24,30.0,30.92,28.53,28.54,49683950.0,50.7698,27.92958762
2025-10-27,28.0,29.0,27.31,27.52,35394652.0,36.1682,26.931403340000003
2025-10-28,27.12,27.13,25.99,26.62,34108772.0,34.8542,26.050652499999998
2025-10-29,26.36,27.87,26.02,27.02,32497142.0,33.2074,26.442097320000002
2025-10-30,28.11,29.72,27.4,28.5,57917818.00000001,59.1836,27.89044314
2025-10-31,27.52,27.6,26.26,26.41,40117406.0,40.9942,25.84514398
2025-11-03,26.06,26.92,26.06,26.61,22837394.0,23.3365,26.04086638
2025-11-04,26.4,28.46,26.27,27.7,34500726.0,35.2548,27.10755351
2025-11-05,27.5,28.4,27.48,27.58,34462264.0,35.2155,26.99012006
2025-11-06,26.8,27.42,26.26,26.46,26909734.999999996,27.4979,25.89407458
2025-11-07,26.35,26.53,25.5,25.5,23916682.0,24.4394,24.954607019999997
2025-11-10,25.4,25.88,25.1,25.78,14148417.000000002,14.4576,25.22861839
2025-11-11,25.61,26.17,25.45,25.91,16565707.999999998,16.9278,25.35583796
2025-11-12,25.61,25.72,25.16,25.23,13536013.0,13.8318,24.690381770000002
2025-11-13,25.11,25.33,25.0,25.22,9515404.0,9.7234,24.68059565
2025-11-14,25.02,25.35,24.92,24.92,10102425.0,10.3232,24.387012040000002
2025-11-17,24.88,24.95,24.51,24.65,8944646.0,9.1401,24.122786790000003
2025-11-18,24.56,24.56,23.61,23.75,12840170.0,13.1208,23.242035949999998
2025-11-19,23.76,23.87,23.46,23.6,7004405.0,7.1575,23.095244140000002
2025-11-20,23.61,23.93,23.41,23.65,7646970.0,7.8141,23.14417475
2025-11-21,23.51,23.51,22.33,22.33,9627055.0,9.8375,21.852406849999998
2025-11-24,22.37,22.58,22.1,22.46,5531544.0,5.6524,21.97962642
2025-11-25,22.46,22.88,22.39,22.78,6167876.0,6.3027,22.29278227
2025-11-26,22.68,22.97,22.57,22.58,6640578.0,6.7857,22.097059859999998
2025-11-27,22.46,22.95,22.46,22.73,6046006.0,6.1781,22.24385167
2025-11-28,22.63,22.8,22.35,22.67,4483680.0,4.5817,22.185134950000002
2025-12-01,22.61,23.1,22.61,23.04,6023547.0,6.1552,22.5472214
