date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.47,3.49,3.43,3.47,67745931.0,5.9615,39.43296809
2025-06-04,3.49,3.82,3.49,3.82,143025850.0,12.5859,43.41035681
2025-06-05,3.93,4.02,3.8,3.82,288567907.0,25.3932,43.41035681
2025-06-06,3.8,3.88,3.74,3.75,136726041.0,12.0315,42.61487906
2025-06-09,3.83,3.9,3.75,3.82,110310100.0,9.707,43.41035681
2025-06-10,3.84,3.86,3.62,3.7,113204828.0,9.9617,42.04668068
2025-06-11,3.7,3.74,3.66,3.71,64136400.0,5.6438,42.16032035
2025-06-12,3.7,3.7,3.62,3.63,67696500.0,5.9571,41.25120293
2025-06-13,3.63,3.64,3.46,3.47,66309600.0,5.8351,39.43296809
2025-06-16,3.44,3.52,3.44,3.5,35152028.0,3.0933,39.77388713
2025-06-17,3.5,3.52,3.45,3.5,34432800.0,3.03,39.77388713
2025-06-18,3.49,3.58,3.43,3.5,73965850.0,6.5088,39.77388713
2025-06-19,3.52,3.6,3.38,3.39,85768900.0,7.5474,38.52385067
2025-06-20,3.41,3.49,3.33,3.36,61766391.0,5.4353,38.18293164
2025-06-23,3.3,3.41,3.27,3.4,46702300.0,4.1097,38.63749035
2025-06-24,3.42,3.54,3.42,3.53,62281800.0,5.4806,40.11480616
2025-06-25,3.56,3.58,3.51,3.56,49820200.0,4.384,40.45572519
2025-06-26,3.55,3.61,3.53,3.55,51143788.0,4.5005,40.34208551
2025-06-27,3.55,3.58,3.53,3.54,38516300.0,3.3893,40.22844584
2025-06-30,3.53,3.56,3.53,3.55,34670800.0,3.0509,40.34208551
2025-07-01,3.56,3.59,3.49,3.55,52529888.0,4.6225,40.34208551
2025-07-02,3.55,3.56,3.5,3.52,33645200.0,2.9607,40.00116648
2025-07-03,3.51,3.57,3.5,3.54,31274388.0,2.7521,40.22844584
2025-07-04,3.53,3.54,3.45,3.46,40183900.0,3.5361,39.31932842
2025-07-07,3.47,3.51,3.44,3.51,31953300.0,2.8118,39.8875268
2025-07-08,3.52,3.59,3.51,3.59,40698200.0,3.5813,40.79664422
2025-07-09,3.6,3.61,3.54,3.56,35583400.0,3.1312,40.45572519
2025-07-10,3.57,3.66,3.55,3.61,61949400.0,5.4514,41.02392358
2025-07-11,3.62,3.63,3.55,3.6,44752800.0,3.9381,40.9102839
2025-07-14,3.6,3.65,3.58,3.61,34988600.0,3.0789,41.02392358
2025-07-15,3.59,3.74,3.55,3.62,76800200.0,6.7582,41.13756326
