date,open,high,low,close,volume,turnover,circ_mv亿
2026-07-27,49.5,55.03,38.11,49.0,2990129163.0,,
2026-07-28,45.22,49.74,45.21,47.0,930477847.0,,
2026-07-29,46.5,53.99,46.26,52.95,902313540.0,,
2026-07-30,52.2,54.66,49.25,52.87,860839199.0,,
2026-07-31,58.2,60.6,52.88,53.97,877449611.0,,
2026-08-03,52.51,55.98,50.73,54.99,557925365.0,,
2026-08-04,55.0,56.16,53.02,55.0,508205571.0,,
2026-08-05,54.6,56.06,53.01,54.3,574533044.0,,
2026-08-06,52.96,53.23,51.13,51.96,560574859.0,,
2026-08-07,51.01,53.15,50.06,52.48,515512907.0,,
2026-08-10,52.47,52.59,49.77,51.3,503397678.0,,
2026-08-11,50.81,51.3,50.05,50.4,284095105.0,,
2026-08-12,50.82,54.4,50.81,53.52,514102135.0,,
2026-08-13,54.8,55.92,52.73,52.88,465377680.0,,
2026-08-14,54.49,55.38,54.2,55.18,362235670.0,,
2026-08-17,55.6,61.8,55.5,61.8,566136754.0,,
2026-08-18,61.15,61.3,58.23,59.19,426504877.0,,
2026-08-19,57.1,58.34,55.7,57.55,460638573.0,,
2026-08-20,57.58,58.43,56.05,57.57,296418334.0,,
2026-08-21,57.21,59.56,57.21,58.0,275847845.0,,
2026-08-24,57.6,58.88,55.29,56.6,293731946.0,,
2026-08-25,55.35,57.19,54.91,56.5,236842998.0,,
2026-08-26,56.6,56.97,55.51,56.1,201284145.0,,
2026-08-27,56.65,59.3,56.2,59.12,324624545.0,,
2026-08-28,58.5,59.8,58.09,58.6,226216708.0,,
2026-08-31,58.8,59.9,57.01,58.01,357653432.0,,
2026-09-01,58.5,58.88,56.06,56.5,231592525.0,,
2026-09-02,55.55,55.88,54.0,54.32,243949672.0,,
2026-09-03,55.0,56.05,54.37,55.55,202392499.0,,
2026-09-04,56.01,56.65,54.45,54.8,199646496.0,,
2026-09-07,56.51,58.97,56.5,58.47,353839820.0,,
2026-09-08,58.4,59.39,57.61,58.39,197784411.0,,
2026-09-09,58.9,59.08,56.47,56.87,178739399.0,,
2026-09-10,57.04,58.28,57.02,57.2,162329942.0,,
2026-09-11,56.0,57.0,54.8,56.73,208390217.0,,
2026-09-14,55.22,55.49,54.4,54.49,191214352.0,,
2026-09-15,54.49,55.89,54.05,54.22,179376011.0,,
2026-09-16,54.4,55.8,53.51,55.1,213245388.0,,
2026-09-17,54.6,54.99,53.33,53.47,207059476.0,,
2026-09-18,54.43,55.96,54.18,55.54,262651331.0,,
2026-09-21,57.0,58.76,56.46,56.88,243467649.0,,
2026-09-22,57.89,59.5,57.01,57.86,287081713.0,,
