date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,16.5,17.09,16.32,16.81,5998700.0,3.2039,31.47309068
2025-06-04,16.81,17.24,16.71,17.22,6239100.0,3.3323,32.240727039999996
2025-06-05,16.93,17.19,16.65,16.89,6042600.0,3.2274,31.622873379999998
2025-06-06,16.88,17.05,16.78,16.98,4344500.0,2.3204,31.79137892
2025-06-09,17.05,17.2,16.91,17.15,4728000.0,2.5253,32.10966717
2025-06-10,17.15,17.33,16.54,16.79,5928000.0,3.1662,31.435645
2025-06-11,16.71,17.09,16.66,16.94,4286400.0,2.2894,31.716487569999998
2025-06-12,18.63,18.63,18.63,18.63,6644400.0,3.5488,34.88064719
2025-06-13,18.44,18.5,17.46,17.7,20849300.0,11.1358,33.13942326
2025-06-16,17.18,18.39,17.1,18.11,14817301.999999998,7.914,33.907059620000005
2025-06-17,18.23,19.92,18.23,19.22,33073996.000000004,17.6651,35.98529464
2025-06-18,18.99,21.14,18.58,21.14,28170975.0,15.0463,39.58007953
2025-06-19,22.0,23.25,20.55,20.64,43550136.0,23.2604,38.64393763
2025-06-20,21.05,21.67,18.7,19.02,34031075.0,18.1762,35.61083788
2025-06-23,18.64,20.19,18.08,19.76,27641275.0,14.7634,36.996327889999996
2025-06-24,20.12,20.44,19.4,19.78,23325600.0,12.4584,37.03377356
2025-06-25,20.02,20.27,18.86,19.98,25798535.0,13.7792,37.40823032
2025-06-26,19.85,20.18,19.3,19.39,16513199.0,8.8198,36.30358288
2025-06-27,19.22,19.29,18.33,18.38,21058899.0,11.2477,34.41257624
2025-06-30,18.3,18.95,18.26,18.9,14911297.0,7.9642,35.38616382
2025-07-01,19.05,19.31,18.67,18.87,12172299.0,6.5013,35.32999531
2025-07-02,18.87,18.94,18.27,18.41,8300700.0,4.4335,34.46874476
2025-07-03,18.55,18.93,18.38,18.66,8351000.0,4.4603,34.93681571
2025-07-04,18.66,18.79,17.98,18.05,9577300.0,5.1153,33.79472259
2025-07-07,18.04,18.23,17.9,18.21,4400000.0,2.3501,34.094288
2025-07-08,18.2,18.45,18.12,18.38,5298356.0,2.8299,34.41257624
2025-07-09,18.39,18.48,18.08,18.16,6389000.0,3.4124,34.00067381
2025-07-10,18.06,18.1,17.81,17.96,5201689.0,2.7783,33.62621705
2025-07-11,17.96,18.1,17.88,18.0,4286100.0,2.2892,33.701108399999995
2025-07-14,18.01,18.38,17.91,18.29,6206300.0,3.3148,34.2440707
2025-07-15,18.33,18.35,18.03,18.31,5189600.0,2.7718,34.28151638
2025-07-16,18.32,18.4,18.22,18.28,3946800.0,2.108,34.22534786
