date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,5.48,5.58,5.43,5.56,12074298.0,2.333,28.775670409999996
2025-06-04,5.56,5.79,5.52,5.74,21491360.0,4.1525,29.70725686
2025-06-05,5.74,5.85,5.61,5.64,19751179.0,3.8163,29.18970884
2025-06-06,5.71,5.74,5.57,5.64,13281346.0,2.5662,29.18970884
2025-06-09,5.64,5.7,5.58,5.66,10884293.0,2.103,29.293218440000004
2025-06-10,5.65,5.69,5.51,5.6,11115400.0,2.1477,28.982689620000002
2025-06-11,5.6,5.7,5.5,5.58,21565701.0,4.1669,28.87918002
2025-06-12,5.58,5.62,5.5,5.56,17989200.0,3.4759,28.775670409999996
2025-06-13,5.55,5.56,5.36,5.37,13280500.0,2.566,27.79232916
2025-06-16,5.37,5.45,5.34,5.4,8601200.0,1.6619,27.94759357
2025-06-17,5.37,5.53,5.35,5.38,9431000.0,1.8222,27.84408396
2025-06-18,5.37,5.39,5.29,5.3,7719700.0,1.4916,27.43004554
2025-06-19,5.33,5.34,5.15,5.16,12897480.0,2.492,26.7054783
2025-06-20,5.15,5.2,5.14,5.15,6753600.0,1.3049,26.653723489999997
2025-06-23,5.1,5.67,5.1,5.67,35418401.0,6.8435,29.344973239999998
2025-06-24,5.67,5.67,5.37,5.4,58477632.99999999,11.299,27.94759357
2025-06-25,5.48,5.94,5.48,5.94,64017331.99999999,12.3694,30.74235292
2025-06-26,5.98,6.53,5.84,6.53,96904463.0,18.7238,33.79588629
2025-06-27,6.53,6.65,6.0,6.05,104669245.0,20.2241,31.31165575
2025-06-30,5.86,6.09,5.86,5.99,63837005.00000001,12.3345,31.00112694
2025-07-01,6.05,6.23,5.77,5.99,74704478.0,14.4343,31.00112694
2025-07-02,5.85,6.22,5.84,6.01,50683462.0,9.793,31.10463654
2025-07-03,5.89,5.99,5.78,5.84,37060500.0,7.1608,30.224804889999998
2025-07-04,5.84,5.87,5.68,5.7,30055657.0,5.8073,29.500237650000003
2025-07-07,5.7,5.9,5.7,5.75,21141608.0,4.085,29.75901167
2025-07-08,5.74,5.77,5.7,5.77,20790199.0,4.0171,29.86252127
2025-07-09,5.75,5.95,5.72,5.85,39419067.0,7.6165,30.2765597
2025-07-10,5.8,5.92,5.78,5.82,28366657.0,5.481,30.12129529
2025-07-11,5.82,5.85,5.72,5.79,26369465.999999996,5.0951,29.966030879999998
2025-07-14,5.77,5.79,5.72,5.75,14459400.0,2.7938,29.75901167
2025-07-15,5.75,5.76,5.6,5.62,18721499.0,3.6173,29.08619923
2025-07-16,5.6,5.74,5.6,5.66,13450900.0,2.599,29.293218440000004
2025-07-17,5.67,5.82,5.67,5.69,20816600.0,4.0222,29.44848285
2025-07-18,5.68,5.73,5.62,5.65,14437200.0,2.7895,29.241463640000003
2025-07-21,5.65,5.74,5.64,5.7,13500900.0,2.6086,29.500237650000003
2025-07-22,5.7,5.71,5.62,5.7,14112620.000000002,2.7268,29.500237650000003
2025-07-23,5.67,5.76,5.65,5.66,15351900.0,2.9663,29.293218440000004
2025-07-24,5.67,5.73,5.64,5.71,13785957.999999998,2.6637,29.55199246
2025-07-25,5.7,5.73,5.68,5.71,11021480.0,2.1296,29.55199246
2025-07-28,5.72,5.8,5.67,5.76,16802500.0,3.2466,29.81076647
2025-07-29,5.75,5.76,5.66,5.69,12718900.0,2.4575,29.44848285
2025-07-30,5.7,5.8,5.65,5.75,17360204.0,3.3543,29.75901167
2025-07-31,5.72,5.72,5.53,5.55,18411922.0,3.5575,28.723915610000002
2025-08-01,5.55,5.72,5.55,5.66,12459800.0,2.4075,29.293218440000004
2025-08-04,5.68,5.69,5.58,5.66,8750200.0,1.6907,29.293218440000004
2025-08-05,5.66,5.72,5.65,5.69,11139842.0,2.1524,29.44848285
2025-08-06,5.68,5.69,5.63,5.66,7936289.0,1.5334,29.293218440000004
2025-08-07,5.66,5.68,5.62,5.64,7976416.0,1.5412,29.18970884
2025-08-08,5.63,5.72,5.63,5.7,12276288.0,2.372,29.500237650000003
2025-08-11,5.7,5.87,5.68,5.79,21189340.0,4.0942,29.966030879999998
2025-08-12,5.79,5.87,5.78,5.84,17124100.0,3.3087,30.224804889999998
2025-08-13,6.0,6.06,5.81,5.85,23052720.0,4.4542,30.2765597
2025-08-14,5.86,5.87,5.65,5.65,16795200.0,3.2451,29.241463640000003
2025-08-15,5.69,5.69,5.64,5.66,13665903.0,2.6405,29.293218440000004
2025-08-18,5.67,5.71,5.64,5.68,11214400.0,2.1668,29.39672805
2025-08-19,5.68,5.79,5.66,5.79,17700300.0,3.42,29.966030879999998
2025-08-20,5.79,5.87,5.7,5.86,17715060.0,3.4229,30.3283145
2025-08-21,5.87,5.97,5.83,5.94,22801943.0,4.4058,30.74235292
2025-08-22,5.94,5.99,5.84,5.9,19197389.0,3.7093,30.53533371
2025-08-25,5.91,5.95,5.85,5.9,19571140.0,3.7815,30.53533371
2025-08-26,5.88,6.02,5.85,5.98,18965163.0,3.6644,30.949372129999997
2025-08-27,5.96,5.99,5.79,5.79,18240378.0,3.5244,29.966030879999998
2025-08-28,5.82,5.9,5.65,5.78,17745743.0,3.4288,29.91427608
2025-08-29,5.76,5.86,5.75,5.76,13256100.0,2.5613,29.81076647
2025-09-01,5.76,5.96,5.69,5.93,19043378.0,3.6795,30.690598119999997
2025-09-02,5.9,5.96,5.83,5.92,16666300.0,3.2202,30.638843320000003
2025-09-03,5.91,5.96,5.75,5.79,14493738.0,2.8005,29.966030879999998
2025-09-04,5.79,6.07,5.73,6.0,43063679.0,8.3207,31.05288174
2025-09-05,6.0,6.1,5.78,6.08,41181550.0,7.957,31.466920159999997
2025-09-08,6.02,6.1,5.96,5.99,25831310.0,4.9911,31.00112694
2025-09-09,6.0,6.07,5.93,6.02,22329376.0,4.3145,31.156391350000003
2025-09-10,6.02,6.19,5.95,6.19,37960572.0,7.3347,32.036223
2025-09-11,6.18,6.32,6.08,6.16,39583700.0,7.6483,31.880958590000002
2025-09-12,6.24,6.24,6.0,6.02,31610300.0,6.1077,31.156391350000003
2025-09-15,5.99,6.02,5.89,5.94,19299553.0,3.729,30.74235292
2025-09-16,5.99,6.38,5.96,6.13,29458807.0,5.692,31.725694179999998
2025-09-17,6.14,6.17,5.98,6.04,24442700.0,4.7228,31.25990095
2025-09-18,5.99,6.1,5.85,5.91,24713215.0,4.7751,30.58708851
2025-09-19,5.88,5.9,5.77,5.84,16980720.0,3.281,30.224804889999998
2025-09-22,5.86,5.88,5.68,5.73,15146100.0,2.9265,29.65550206
2025-09-23,5.69,5.71,5.46,5.59,17488600.0,3.3791,28.93093482
2025-09-24,5.56,5.62,5.5,5.61,14990501.999999998,2.8964,29.034444429999997
2025-09-25,5.58,5.62,5.51,5.53,10458920.0,2.0209,28.620406
2025-09-26,5.52,5.62,5.48,5.55,12736522.0,2.4609,28.723915610000002
2025-09-29,5.55,5.57,5.41,5.57,9820937.0,1.8976,28.82742522
2025-09-30,5.57,5.58,5.51,5.51,8089914.999999999,1.5631,28.516896399999997
2025-10-09,5.5,5.52,5.45,5.49,11214415.0,2.1668,28.41338679
2025-10-10,5.46,5.56,5.45,5.54,10078980.0,1.9474,28.67216081
2025-10-13,5.41,5.56,5.36,5.55,10826880.0,2.092,28.723915610000002
2025-10-14,5.55,5.6,5.53,5.56,10599168.0,2.048,28.775670409999996
2025-10-15,5.56,5.68,5.53,5.65,12433270.0,2.4023,29.241463640000003
2025-10-16,5.63,5.67,5.57,5.6,7974648.0,1.5409,28.982689620000002
2025-10-17,5.6,5.66,5.55,5.56,10640502.0,2.0559,28.775670409999996
2025-10-20,5.58,5.64,5.55,5.63,7520600.0,1.4531,29.13795403
2025-10-21,5.64,5.8,5.62,5.77,15160400.0,2.9293,29.86252127
2025-10-22,5.75,5.82,5.74,5.81,12674093.0,2.4489,30.06954048
2025-10-23,5.82,5.88,5.78,5.86,12077293.0,2.3336,30.3283145
2025-10-24,5.87,5.89,5.75,5.76,10745393.0,2.0762,29.81076647
2025-10-27,5.78,5.82,5.71,5.75,10241200.0,1.9788,29.75901167
2025-10-28,5.75,5.83,5.74,5.8,8641900.0,1.6698,30.01778568
2025-10-29,5.75,5.75,5.5,5.59,17574626.0,3.3957,28.93093482
2025-10-30,5.59,5.6,5.47,5.5,16696400.0,3.2261,28.465141600000003
2025-10-31,5.5,5.54,5.48,5.5,11323260.0,2.1879,28.465141600000003
2025-11-03,5.52,5.59,5.5,5.58,11290000.0,2.1814,28.87918002
2025-11-04,5.56,5.65,5.55,5.62,12016080.0,2.3217,29.08619923
2025-11-05,5.59,5.74,5.56,5.7,11684720.0,2.2577,29.500237650000003
2025-11-06,5.69,5.7,5.62,5.69,9022320.0,1.7433,29.44848285
2025-11-07,5.69,5.77,5.69,5.72,6538924.0,1.2634,29.60374726
2025-11-10,5.73,5.88,5.72,5.85,13863000.0,2.6786,30.2765597
2025-11-11,5.85,5.92,5.82,5.9,12165752.0,2.3507,30.53533371
2025-11-12,5.9,5.95,5.85,5.86,10065239.0,1.9448,30.3283145
2025-11-13,5.85,5.95,5.8,5.93,13721200.0,2.6512,30.690598119999997
2025-11-14,5.91,6.02,5.9,5.92,14189020.000000002,2.7416,30.638843320000003
2025-11-17,5.93,6.01,5.9,5.99,9974280.0,1.9272,31.00112694
2025-11-18,5.98,6.01,5.87,5.93,14277010.999999998,2.7586,30.690598119999997
2025-11-19,5.91,6.06,5.87,5.91,11008631.0,2.1271,30.58708851
