date,open,high,low,close,volume
2025-06-03,16.31,16.58,16.11,16.52,1921801.0
2025-06-04,16.56,16.65,16.33,16.43,1849293.0
2025-06-05,16.97,17.18,16.6,16.69,4563469.0
2025-06-06,16.6,16.8,16.32,16.51,3075708.0
2025-06-09,16.41,16.59,16.36,16.51,3105879.0
2025-06-10,16.56,16.78,16.33,16.55,3956350.0
2025-06-11,16.5,16.6,16.31,16.43,2609650.0
2025-06-12,16.45,16.45,16.18,16.25,2700781.0
2025-06-13,16.3,16.32,15.65,15.65,3093018.0
2025-06-16,15.63,15.9,15.41,15.88,1713210.0
2025-06-17,16.05,16.05,15.7,15.72,1130098.0
2025-06-18,15.79,15.79,15.36,15.51,1486747.0
2025-06-19,15.52,15.79,15.12,15.15,2120132.0
2025-06-20,15.44,15.44,15.03,15.06,1157514.0
2025-06-23,14.98,15.38,14.98,15.36,1256419.0
2025-06-24,15.44,15.8,15.31,15.76,1992500.0
2025-06-25,15.8,15.9,15.61,15.84,1847565.0
2025-06-26,15.88,16.28,15.8,15.89,2951176.0
2025-06-27,15.83,16.1,15.83,15.96,1836260.0
2025-06-30,15.97,16.35,15.95,16.2,2110335.0
2025-07-01,16.15,16.99,16.12,16.93,6995178.0
2025-07-02,16.79,17.17,16.42,16.6,4446455.0
2025-07-03,16.77,17.15,16.33,16.85,5126466.0
2025-07-04,17.09,17.53,16.8,17.04,8404269.0
2025-07-07,18.14,18.63,17.12,17.58,11919401.0
2025-07-08,17.13,17.56,16.85,17.38,7931421.0
2025-07-09,17.22,17.79,16.72,17.11,5927215.0
2025-07-10,16.9,17.08,16.37,16.66,4266456.0
2025-07-11,16.6,16.69,16.29,16.67,3901242.0
2025-07-14,16.68,17.33,16.67,16.86,5234653.0
2025-07-15,16.86,16.86,16.26,16.26,3839461.0
2025-07-16,16.26,16.43,16.17,16.25,2111612.0
2025-07-17,16.41,16.48,16.2,16.26,2203108.0
2025-07-18,16.32,16.42,16.01,16.26,2430058.0
2025-07-21,16.6,17.17,16.48,16.91,6121295.0
2025-07-22,16.99,18.15,16.62,17.98,9381968.0
2025-07-23,17.97,17.97,16.67,16.77,6034412.0
2025-07-24,16.77,16.88,16.62,16.72,3488245.0
2025-07-25,16.71,16.75,16.45,16.46,3455529.0
2025-07-28,16.45,16.57,16.33,16.45,1594126.0
2025-07-29,16.45,16.51,16.01,16.27,2548208.0
2025-07-30,16.29,16.4,16.1,16.21,1948308.0
2025-07-31,16.29,16.29,15.9,15.91,2180679.0
2025-08-01,16.04,16.25,15.94,16.25,1200764.0
2025-08-04,16.2,16.35,16.17,16.22,1418077.0
2025-08-05,16.37,16.37,16.06,16.11,1469671.0
2025-08-06,16.11,16.19,16.0,16.13,1652209.0
2025-08-07,16.2,16.36,16.01,16.1,1738484.0
2025-08-08,16.08,16.25,15.92,16.14,1969368.0
