date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.56,7.68,7.48,7.61,7292231.0,1.0664,52.03667257
2025-06-04,7.58,7.62,7.52,7.61,5196608.0,0.76,52.03667257
2025-06-05,7.61,7.71,7.6,7.68,7937000.0,1.1607,52.515327899999996
2025-06-06,7.71,8.11,7.7,8.08,25212136.0,3.6871,55.25050123
2025-06-09,8.11,8.16,7.97,8.07,11434767.0,1.6723,55.18212189
2025-06-10,8.11,8.13,7.92,7.97,9291513.0,1.3588,54.49834713
2025-06-11,7.95,8.08,7.94,8.05,7442475.999999999,1.0884,55.04538198000001
2025-06-12,8.01,8.03,7.85,7.92,7393362.0,1.0812,54.15645035
2025-06-13,7.9,7.94,7.83,7.87,4857520.0,0.7104,53.81455357
2025-06-16,7.85,7.98,7.83,7.9,4378544.0,0.6403,54.01969164
2025-06-17,7.94,7.94,7.78,7.86,5928153.0,0.867,53.74617421000001
2025-06-18,7.8,7.8,7.69,7.73,3929887.0000000005,0.5747,52.857242570000004
2025-06-19,7.73,8.15,7.72,8.01,21465354.0,3.1392,54.771864560000004
2025-06-20,7.98,8.05,7.89,8.0,10661900.0,1.5592,54.703485199999996
2025-06-23,7.96,8.02,7.91,8.0,5497986.0,0.804,54.703485199999996
2025-06-24,8.04,8.2,7.99,8.14,8915548.0,1.3038,55.66079619
2025-06-25,8.18,8.32,8.14,8.23,10787208.0,1.5776,56.276210400000004
2025-06-26,8.21,8.28,8.13,8.14,7875200.0,1.1517,55.66079619
2025-06-27,8.14,8.22,8.13,8.17,5746400.0,0.8404,55.865934259999996
2025-06-30,8.17,8.28,8.16,8.21,6655264.0,0.9733,56.13945169
2025-07-01,8.2,8.23,8.09,8.17,6362470.0,0.9305,55.865934259999996
2025-07-02,8.16,8.18,8.11,8.14,3283000.0,0.4801,55.66079619
2025-07-03,8.14,8.24,8.13,8.22,4911106.0,0.7182,56.207831039999995
2025-07-04,8.23,8.23,8.07,8.08,7040170.0,1.0296,55.250520050000006
2025-07-07,8.08,8.13,8.06,8.13,4757126.0,0.6957,55.592416830000005
2025-07-08,8.11,8.2,8.05,8.13,7686291.0,1.1241,55.592416830000005
2025-07-09,8.15,8.21,8.06,8.08,8161656.0,1.1936,55.250520050000006
2025-07-10,8.09,8.19,8.02,8.16,7867584.0,1.1506,55.7975549
2025-07-11,8.16,8.19,8.06,8.18,9564339.0,1.3987,55.93431362
2025-07-14,8.15,8.27,8.1,8.24,9718865.0,1.4213,56.344589760000005
2025-07-15,8.24,8.24,8.04,8.09,9432100.0,1.3794,55.31889941
2025-07-16,8.1,8.18,8.03,8.06,7131536.0,1.0429,55.11376134
2025-07-17,8.04,8.09,7.93,7.94,13174810.999999998,1.9267,54.29320906
2025-07-18,7.96,8.49,7.93,8.29,27157692.0,3.9716,56.686486540000004
2025-07-21,8.81,8.85,8.51,8.59,41330605.0,6.0443,58.73786723
2025-07-22,9.1,9.45,9.03,9.45,95775996.0,14.0066,64.61849189
2025-07-23,9.46,9.47,8.75,8.75,99181343.0,14.5046,59.83193694
