date,open,high,low,close,volume
2026-01-05,25.21,26.7,25.21,26.38,2213824.0
2026-01-06,26.26,27.67,26.26,26.77,1964843.0
2026-01-07,26.77,27.06,26.46,26.51,1160064.0
2026-01-08,26.69,27.19,26.53,27.1,1236680.0
2026-01-09,27.15,27.43,26.85,27.35,1586652.0
2026-01-12,27.5,28.66,27.3,28.3,2570180.0
2026-01-13,28.28,28.5,27.66,28.14,2039351.0
2026-01-14,28.27,28.66,27.68,28.25,2366940.0
2026-01-15,28.02,28.5,27.68,28.5,1322456.0
2026-01-16,28.52,28.73,27.92,28.63,1469732.0
2026-01-19,28.67,28.77,28.29,28.5,1309467.0
2026-01-20,28.37,28.95,28.05,28.5,1640877.0
2026-01-21,28.3,29.26,28.24,29.26,1587627.0
2026-01-22,29.4,29.87,29.06,29.23,1460613.0
2026-01-23,29.24,29.75,29.06,29.75,1156638.0
2026-01-26,30.0,30.0,28.72,28.93,1453892.0
2026-01-27,28.86,29.46,28.04,29.27,2138847.0
2026-01-28,29.61,30.5,29.61,30.0,2582665.0
2026-01-29,29.91,30.49,28.81,29.86,2472469.0
2026-01-30,29.28,29.75,28.7,29.5,1762701.0
2026-02-02,29.38,29.84,29.16,29.5,1966166.0
2026-02-03,29.69,30.37,29.5,30.1,1827738.0
2026-02-04,30.47,31.2,30.15,30.8,3000123.0
2026-02-05,30.6,31.28,30.28,30.82,1676238.0
2026-02-06,30.41,31.31,30.41,30.62,1769564.0
2026-02-09,31.04,31.22,30.6,30.9,1566509.0
2026-02-10,30.81,31.18,30.62,30.81,1129714.0
2026-02-11,30.72,30.99,30.58,30.75,1006030.0
2026-02-12,30.99,30.99,30.32,30.5,1000129.0
2026-02-13,30.45,31.05,30.44,30.81,1284501.0
2026-02-24,31.1,31.47,30.9,31.16,1034210.0
2026-02-25,31.35,31.38,30.95,31.14,719907.0
2026-02-26,31.02,31.79,31.0,31.5,1228849.0
2026-02-27,31.3,32.11,31.23,31.81,1233717.0
2026-03-02,31.22,31.78,30.62,30.8,2344894.0
2026-03-03,30.86,30.99,29.42,29.43,2002673.0
2026-03-04,29.34,30.06,29.34,29.81,1372470.0
2026-03-05,30.2,30.87,30.19,30.52,1296864.0
2026-03-06,30.5,31.68,30.21,31.52,1538247.0
2026-03-09,30.01,31.59,30.01,31.59,1459457.0
2026-03-10,31.54,32.19,31.41,32.19,1248207.0
2026-03-11,32.12,32.25,31.62,31.75,805651.0
2026-03-12,31.69,31.74,31.0,31.08,1079549.0
2026-03-13,30.99,31.35,30.44,30.7,959412.0
2026-03-16,30.99,30.99,30.21,30.53,913634.0
2026-03-17,30.66,30.75,29.68,29.8,986810.0
2026-03-18,29.88,30.73,29.68,30.69,943635.0
2026-03-19,30.31,30.56,29.69,29.83,1133497.0
2026-03-20,29.83,30.2,29.0,29.0,1232048.0
2026-03-23,28.32,28.96,26.4,26.79,2125719.0
2026-03-24,27.33,28.49,26.82,28.49,1246535.0
2026-03-25,28.4,29.0,28.12,28.65,1059912.0
2026-03-26,28.58,28.9,27.99,28.6,707626.0
2026-03-27,27.9,28.66,27.86,28.45,853329.0
2026-03-30,28.15,28.76,28.0,28.76,940111.0
2026-03-31,28.57,28.97,28.14,28.35,907558.0
2026-04-01,28.95,29.09,28.53,28.95,920726.0
2026-04-02,28.9,29.19,28.23,28.67,987027.0
2026-04-03,28.67,28.8,27.55,27.86,1221326.0
2026-04-07,27.86,28.36,27.59,28.19,1045894.0
2026-04-08,28.94,29.56,28.85,29.52,1280476.0
2026-04-09,29.59,29.59,28.59,28.76,994687.0
