date,open,high,low,close,volume
2026-01-05,36.7,37.29,36.53,36.85,890705.0
2026-01-06,37.02,37.36,36.78,37.01,697374.0
2026-01-07,37.45,37.74,36.97,37.56,1051700.0
2026-01-08,37.56,37.79,37.25,37.73,787871.0
2026-01-09,37.72,38.07,37.5,37.99,926486.0
2026-01-12,38.08,38.55,37.89,38.44,1124186.0
2026-01-13,38.46,38.88,38.28,38.29,1220386.0
2026-01-14,38.29,38.64,37.75,38.34,1434200.0
2026-01-15,38.45,38.7,38.08,38.67,772086.0
2026-01-16,39.02,39.3,38.78,39.0,1453500.0
2026-01-19,39.02,39.59,38.9,39.39,1355700.0
2026-01-20,39.52,39.7,38.8,39.09,1174693.0
2026-01-21,38.98,39.59,38.82,39.41,1056167.0
2026-01-22,39.78,39.78,39.28,39.6,952900.0
2026-01-23,39.71,39.9,39.56,39.87,793565.0
2026-01-26,40.4,40.53,39.22,39.45,1107986.0
2026-01-27,39.73,39.88,38.39,39.71,1189900.0
2026-01-28,39.7,39.89,39.0,39.18,779600.0
2026-01-29,39.08,39.36,38.21,38.56,1093671.0
2026-01-30,38.6,39.35,38.14,39.03,1060000.0
2026-02-02,39.03,39.46,38.38,38.43,1141100.0
2026-02-03,39.01,39.38,38.75,39.34,1066307.0
2026-02-04,39.27,39.51,38.75,38.92,981500.0
2026-02-05,39.01,39.34,38.5,39.1,721000.0
2026-02-06,39.1,39.75,38.65,39.51,1088200.0
2026-02-09,39.69,40.03,39.45,39.9,909297.0
2026-02-10,40.08,40.26,39.7,39.77,616900.0
2026-02-11,40.09,40.09,39.66,39.76,678600.0
2026-02-12,39.75,40.0,39.51,39.56,677932.0
2026-02-13,39.64,40.98,39.39,40.07,1563603.0
2026-02-24,40.51,41.59,40.23,41.31,1817909.0
2026-02-25,41.3,41.34,40.6,40.7,1287100.0
2026-02-26,40.86,41.08,40.43,40.98,799461.0
2026-02-27,40.89,40.95,40.39,40.85,948243.0
2026-03-02,40.36,40.88,39.01,39.14,1706565.0
2026-03-03,39.29,39.75,38.01,38.03,1461900.0
2026-03-04,37.84,38.34,37.07,37.6,1065010.0
2026-03-05,38.1,39.09,37.98,38.34,847300.0
2026-03-06,38.34,39.4,38.22,39.17,792137.0
2026-03-09,38.69,39.2,38.06,38.97,1276700.0
2026-03-10,39.09,40.38,39.09,40.29,1099074.0
2026-03-11,40.48,40.79,40.08,40.15,936700.0
2026-03-12,40.1,40.49,39.51,39.69,1015000.0
2026-03-13,39.69,40.29,39.26,39.53,730871.0
2026-03-16,39.37,40.0,39.22,39.62,748000.0
2026-03-17,39.8,39.86,38.4,38.43,772800.0
2026-03-18,38.62,39.64,38.39,39.6,745700.0
2026-03-19,39.18,39.45,38.18,38.42,812200.0
2026-03-20,38.56,38.82,36.8,36.87,1181100.0
2026-03-23,36.21,36.29,34.37,34.84,1895007.0
2026-03-24,35.71,35.95,34.55,35.88,1224616.0
2026-03-25,35.88,37.05,35.88,36.52,983600.0
2026-03-26,36.52,36.83,35.68,35.86,871110.0
2026-03-27,35.5,36.51,35.5,36.34,820700.0
2026-03-30,36.18,37.07,35.68,37.05,929400.0
2026-03-31,37.12,37.85,36.46,36.81,814600.0
2026-04-01,37.23,37.79,36.95,37.34,756900.0
2026-04-02,37.54,37.63,36.39,36.82,650100.0
2026-04-03,36.95,37.1,36.05,36.21,772531.0
2026-04-07,36.21,37.12,35.51,36.72,802100.0
2026-04-08,37.5,38.26,37.15,38.16,926031.0
2026-04-09,37.95,38.3,37.8,37.88,780937.0
2026-04-10,38.11,38.87,37.89,38.57,885500.0
2026-04-13,39.0,39.49,38.0,39.05,920781.0
2026-04-14,39.66,39.75,38.65,39.15,898844.0
2026-04-15,39.17,39.66,39.01,39.18,924500.0
2026-04-16,39.38,39.68,39.17,39.44,753300.0
2026-04-17,39.44,39.84,39.23,39.8,908900.0
2026-04-20,39.72,40.15,39.53,40.04,854500.0
2026-04-21,40.04,40.25,39.38,39.64,725200.0
2026-04-22,39.79,40.78,39.32,40.43,1924987.0
2026-04-23,40.52,40.57,39.32,39.63,1026800.0
2026-04-24,39.47,40.0,39.01,39.69,763300.0
2026-04-27,39.9,40.38,39.2,40.15,835800.0
2026-04-28,40.88,42.0,40.51,40.99,1969691.0
2026-04-29,40.9,42.45,40.27,42.09,1928050.0
2026-04-30,42.11,42.64,41.5,42.59,2050686.0
2026-05-06,42.93,44.39,42.81,42.91,2901814.0
2026-05-07,42.92,43.39,42.49,43.18,1709400.0
2026-05-08,43.14,43.44,42.73,43.06,1293100.0
2026-05-11,43.08,44.18,42.89,43.8,1592955.0
2026-05-12,43.77,44.1,42.33,42.82,1611108.0
2026-05-13,42.65,43.46,42.19,43.1,1217480.0
2026-05-14,43.32,43.86,42.76,43.33,1311400.0
2026-05-15,43.26,43.77,42.55,42.93,1151800.0
2026-05-18,43.04,44.17,42.62,43.7,1337486.0
2026-05-19,43.71,44.1,42.85,43.56,1047000.0
2026-05-20,43.56,44.55,43.3,44.1,1673800.0
2026-05-21,44.21,45.0,42.21,42.28,2541700.0
2026-05-22,42.28,44.38,41.64,43.97,2557183.0
2026-05-25,44.1,44.39,42.44,43.1,2507867.0
2026-05-26,42.8,43.15,41.88,42.44,1755205.0
2026-05-27,42.54,42.54,40.87,41.15,1854534.0
2026-05-28,41.14,41.9,40.04,41.5,1341987.0
2026-05-29,41.5,42.24,38.38,38.98,2015500.0
