date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,10.17,10.23,10.1,10.15,2345821.0,0.3061,77.7935585
2025-06-04,10.15,10.2,10.06,10.2,1752043.0,0.2286,78.176778
2025-06-05,10.21,10.36,10.21,10.32,2744886.0,0.3581,79.09650479999999
2025-06-06,10.38,10.56,10.22,10.42,4570190.0,0.5963,79.8629438
2025-06-09,10.43,10.44,10.27,10.36,3518140.0,0.459,79.40308040000001
2025-06-10,10.38,10.49,10.21,10.33,2568200.0,0.3351,79.1731487
2025-06-11,10.33,10.51,10.29,10.5,3295160.0,0.4299,80.476095
2025-06-12,10.5,10.52,10.31,10.4,3065476.0,0.4,79.70965600000001
2025-06-13,10.11,10.25,9.99,10.18,4459760.0,0.5819,78.0234902
2025-06-16,10.1,10.29,10.04,10.18,2241370.0,0.2924,78.0234902
2025-06-17,10.23,10.38,10.21,10.26,2316710.0,0.3023,78.6366414
2025-06-18,10.26,10.3,10.09,10.18,1756600.0,0.2292,78.0234902
2025-06-19,10.18,10.22,10.02,10.04,2041459.9999999998,0.2664,76.9504756
2025-06-20,10.1,10.17,9.97,10.02,1752036.0,0.2286,76.7971878
2025-06-23,9.88,10.15,9.88,10.11,2452660.0,0.32,77.4869829
2025-06-24,10.1,10.49,10.1,10.45,3373668.0,0.4402,80.0928755
2025-06-25,10.57,10.62,10.44,10.62,3647660.0,0.4759,81.3958218
2025-06-26,10.61,10.62,10.34,10.51,3132100.0,0.4087,80.5527389
2025-06-27,10.26,10.48,10.19,10.37,3513100.0,0.4584,79.4797243
2025-06-30,10.36,10.45,10.28,10.38,3443451.0,0.4493,79.55636820000001
2025-07-01,10.42,10.56,10.32,10.56,3563174.0,0.4649,80.9359584
2025-07-02,10.44,10.67,10.42,10.58,3342099.0,0.4361,81.0892462
2025-07-03,10.72,10.85,10.6,10.78,4461600.0,0.5821,82.6221242
2025-07-04,10.79,10.9,10.71,10.81,4360290.0,0.5689,82.8520559
2025-07-07,11.89,11.89,11.26,11.89,30090701.0,3.926,91.1295971
2025-07-08,11.62,11.89,11.35,11.52,40398137.0,5.2709,88.2937728
2025-07-09,11.4,11.49,11.2,11.26,22326237.0,2.913,86.3010314
2025-07-10,11.28,12.3,11.11,11.64,31726676.0,4.1395,89.2134996
2025-07-11,11.56,11.58,11.12,11.14,18836381.0,2.4576,85.38130459999999
2025-07-14,11.1,11.31,10.84,11.18,15368110.999999998,2.0051,85.68788020000001
2025-07-15,11.24,11.24,10.76,10.77,12434223.0,1.6223,82.5454803
2025-07-16,10.8,11.17,10.79,10.87,9854465.0,1.2857,83.3119193
2025-07-17,10.82,10.92,10.79,10.87,6975510.000000001,0.9101,83.3119193
