date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,9.27,9.34,9.19,9.33,12336092.0,0.6244,184.3212645
2025-06-04,9.31,9.31,9.13,9.17,11555032.0,0.5849,181.16034249
2025-06-05,9.16,9.21,9.1,9.19,6414020.0,0.3247,181.55545774
2025-06-06,9.19,9.25,9.14,9.19,6078635.0,0.3077,181.55545774
2025-06-09,9.24,9.27,9.13,9.25,6082940.0,0.3079,182.7408035
2025-06-10,9.26,9.31,9.18,9.26,5821316.0,0.2947,182.93836112
2025-06-11,9.25,9.44,9.22,9.4,10858811.0,0.5497,185.70416788
2025-06-12,9.39,9.49,9.31,9.31,5113431.0,0.2588,183.92614924999998
2025-06-13,9.31,9.39,9.25,9.37,9774644.0,0.4948,185.111495
2025-06-16,9.3,9.36,9.23,9.28,9041851.0,0.4577,183.33347637
2025-06-17,9.4,9.64,9.4,9.57,13383068.0,0.6774,189.06264751
2025-06-18,9.64,9.66,9.46,9.46,9040184.0,0.4576,186.88951362999998
2025-06-19,9.46,9.48,9.38,9.43,6266276.0,0.3172,186.29684075
2025-06-20,9.49,9.68,9.46,9.55,15638935.999999998,0.7916,188.66753226
2025-06-23,8.9,8.91,8.49,8.5,24651926.0,1.2478,167.92398159
2025-06-24,8.5,8.64,8.49,8.56,15370585.999999998,0.778,169.10932734
2025-06-25,8.61,8.72,8.57,8.64,11652655.0,0.5898,170.68978835
2025-06-26,8.64,8.76,8.6,8.75,11082616.0,0.561,172.86292223
2025-06-27,8.73,8.83,8.64,8.68,9280884.0,0.4698,171.48001885
2025-06-30,8.69,8.76,8.65,8.71,8710907.0,0.4409,172.07269172
2025-07-01,8.71,8.74,8.62,8.65,10152056.0,0.5139,170.88734597
2025-07-02,8.67,8.97,8.6,8.92,19249703.0,0.9744,176.22140186000001
2025-07-03,8.87,9.15,8.83,8.87,15413487.0,0.7802,175.23361373
2025-07-04,8.89,8.95,8.8,8.84,9306216.0,0.4711,174.64094085
2025-07-07,8.82,8.85,8.76,8.83,7621350.999999999,0.3858,174.44338323
2025-07-08,8.83,9.02,8.79,9.02,11687686.0,0.5916,178.19697811
2025-07-09,9.01,9.15,8.99,9.01,11153031.0,0.5645,177.99942049
2025-07-10,9.06,9.23,9.01,9.21,12919620.0,0.654,181.95057298999998
2025-07-11,9.22,9.43,9.18,9.3,19668249.0,0.9956,183.72859162
2025-07-14,9.29,9.64,9.27,9.44,21152880.0,1.0707,186.49439838
2025-07-15,9.41,9.41,9.07,9.14,18896767.0,0.9565,180.56766961999998
2025-07-16,9.09,9.15,9.02,9.08,10895468.0,0.5515,179.38232386
2025-07-17,9.09,9.13,9.01,9.11,6617430.0,0.335,179.97499674
2025-07-18,9.14,9.23,9.11,9.2,7892355.0,0.3995,181.75301536999999
2025-07-21,9.25,9.91,9.24,9.86,36067680.0,1.8257,194.79181864
2025-07-22,9.86,10.1,9.76,10.05,31808719.0,1.6101,198.54541353
2025-07-23,10.2,10.3,9.97,10.03,21665232.0,1.0967,198.15029828000002
2025-07-24,9.93,10.3,9.82,10.28,23735897.0,1.2015,203.08923891
2025-07-25,10.34,10.7,10.11,10.6,38445654.0,1.946,209.41108292
2025-07-28,10.13,10.17,9.86,9.92,38277073.0,1.9375,195.97716440000002
2025-07-29,10.05,10.37,9.9,10.3,29434303.000000004,1.4899,203.48435416
2025-07-30,10.3,10.54,10.23,10.31,24122331.0,1.221,203.68191179
2025-07-31,10.13,10.21,9.96,10.15,23149054.0,1.1718,200.52098977999998
2025-08-01,10.18,10.2,9.97,9.99,13608096.0,0.6888,197.36006777
2025-08-04,10.08,10.27,9.98,10.22,14491651.999999998,0.7335,201.90389316
2025-08-05,10.17,10.44,10.13,10.28,12884552.0,0.6522,203.08923891
2025-08-06,10.33,10.47,10.16,10.32,15416392.000000002,0.7803,203.87946940999998
2025-08-07,10.32,10.59,10.27,10.36,18415106.0,0.9321,204.66969991
