date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.3,8.67,7.3,8.36,75405510.0,11.1183,56.6981669
2025-06-04,8.65,9.33,7.9,7.94,86558468.0,12.7628,53.849694400000004
2025-06-05,8.06,9.53,8.06,9.53,120428744.0,17.7569,64.63319743
2025-06-06,9.0,9.36,8.55,8.59,119215747.0,17.5781,58.25804469
2025-06-09,8.31,8.96,8.12,8.74,78562728.0,11.5839,59.2753563
2025-06-10,8.57,8.6,8.05,8.2,68539111.0,10.1059,55.61303452
2025-06-11,8.21,8.48,8.15,8.35,47314703.0,6.9764,56.63034612
2025-06-12,8.19,8.19,7.69,7.86,52445136.0,7.7329,53.307128209999995
2025-06-13,7.73,7.88,7.44,7.48,37434349.0,5.5196,50.7299388
2025-06-16,7.52,7.66,7.51,7.65,25422489.0,3.7485,51.88289196
2025-06-17,7.62,7.75,7.46,7.57,27313740.000000004,4.0273,51.34032577
2025-06-18,7.47,7.52,7.34,7.46,19312752.0,2.8476,50.59429725
2025-06-19,7.39,7.55,7.23,7.25,22701192.0,3.3472,49.17006101
2025-06-20,7.23,7.41,7.18,7.2,15607800.0,2.3013,48.83095714
2025-06-23,7.14,7.33,7.14,7.33,12931100.0,1.9067,49.7126272
2025-06-24,7.33,7.47,7.26,7.47,22111549.0,3.2603,50.66211803
2025-06-25,7.5,7.8,7.49,7.63,39818005.0,5.8711,51.74725041
2025-06-26,7.6,7.88,7.52,7.55,30981949.0,4.5682,51.204684220000004
2025-06-27,7.5,7.64,7.41,7.43,22464965.0,3.3124,50.39083493
2025-06-30,7.42,7.5,7.4,7.46,15081400.0,2.2237,50.59429725
2025-07-01,7.49,7.53,7.35,7.53,17030100.0,2.511,51.06904267
2025-07-02,7.57,7.57,7.39,7.52,12749549.0,1.8799,51.0012219
2025-07-03,7.54,7.55,7.42,7.5,10156100.0,1.4975,50.865580349999995
2025-07-04,7.5,7.5,7.32,7.35,12733349.0,1.8775,49.84826874
2025-07-07,7.31,7.41,7.31,7.38,7971900.0,1.1754,50.05173106
2025-07-08,7.36,7.45,7.33,7.43,9265602.0,1.3662,50.39083493
2025-07-09,7.43,7.47,7.31,7.33,12211900.0,1.8006,49.7126272
2025-07-10,7.35,7.38,7.31,7.33,7746160.000000001,1.1422,49.7126272
2025-07-11,7.35,7.37,7.25,7.35,8470600.0,1.249,49.84826874
2025-07-14,7.33,7.42,7.32,7.36,6998167.999999999,1.0319,49.91608952
2025-07-15,7.35,7.35,7.11,7.18,13149800.0,1.9389,48.69531559
2025-07-16,7.17,7.25,7.16,7.2,6819100.0,1.0055,48.83095714
2025-07-17,7.22,7.27,7.17,7.25,7635002.0,1.1258,49.17006101
2025-07-18,7.26,7.42,7.26,7.33,13523801.999999998,1.9941,49.7126272
2025-07-21,7.69,7.98,7.61,7.91,51682575.0,7.6205,53.64623208
2025-07-22,8.08,8.13,7.85,7.96,39908900.0,5.8845,53.98533594
2025-07-23,7.96,7.99,7.66,7.67,26465099.0,3.9022,52.018533500000004
2025-07-24,7.8,7.8,7.68,7.77,15881699.0,2.3417,52.69674124
2025-07-25,7.77,7.78,7.63,7.65,14240401.999999998,2.0997,51.88289196
2025-07-28,7.62,7.71,7.56,7.68,10904302.0,1.6078,52.08635428
2025-07-29,7.65,7.8,7.56,7.65,13396601.999999998,1.9753,51.88289196
2025-07-30,7.63,7.64,7.46,7.51,10956786.0,1.6156,50.93340112
2025-07-31,7.5,7.57,7.41,7.48,10604801.0,1.5637,50.7299388
2025-08-01,7.45,7.55,7.42,7.48,7302100.0,1.0767,50.7299388
2025-08-04,7.42,7.49,7.35,7.47,7587006.0,1.1187,50.66211803
2025-08-05,7.51,7.57,7.44,7.49,8908700.0,1.3136,50.79775958
2025-08-06,7.48,7.6,7.44,7.58,9804702.0,1.4457,51.40814654
2025-08-07,7.6,7.64,7.51,7.57,9289601.0,1.3697,51.34032577
2025-08-08,7.53,7.57,7.47,7.5,6354600.0,0.937,50.865580349999995
2025-08-11,7.55,7.7,7.52,7.7,13341700.0,1.9672,52.22199583
2025-08-12,7.69,7.72,7.58,7.63,8785700.0,1.2954,51.74725041
2025-08-13,7.64,7.85,7.59,7.75,27049068.0,3.9883,52.5610997
2025-08-14,7.75,8.56,7.71,8.11,57353596.0,8.4566,55.00264754999999
2025-08-15,8.03,8.25,7.99,8.05,37770248.0,5.5691,54.59572291
2025-08-18,8.01,8.05,7.92,7.96,27725126.0,4.088,53.98533594
2025-08-19,7.93,8.0,7.85,7.91,18060601.0,2.663,53.64623208
2025-08-20,7.91,8.0,7.85,7.98,13263900.0,1.9557,54.120977489999994
2025-08-21,7.96,8.0,7.89,7.92,14302481.0,2.1089,53.71405285
2025-08-22,7.9,7.95,7.82,7.94,13325418.0,1.9648,53.849694400000004
2025-08-25,7.99,8.13,7.91,8.11,20681704.0,3.0495,55.00264754999999
2025-08-26,8.23,8.29,8.03,8.04,17573497.0,2.5912,54.52792023
2025-08-27,8.01,8.05,7.72,7.72,17721870.0,2.613,52.35765474
2025-08-28,7.72,7.78,7.37,7.62,15742520.000000002,2.3212,51.67944678
