date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,10.21,10.5,10.21,10.25,52781700.0,7.5931,71.25014174
2025-06-04,10.18,10.49,10.13,10.35,56604793.00000001,8.1431,71.94526507
2025-06-05,10.3,10.85,10.24,10.7,89334863.0,12.8517,74.37819673999999
2025-06-06,10.58,10.68,10.32,10.47,55113738.0,7.9286,72.77941307
2025-06-09,10.5,10.59,10.42,10.54,34954077.0,5.0285,73.2659994
2025-06-10,10.52,10.53,10.07,10.21,41214400.0,5.9291,70.9720924
2025-06-11,10.16,10.45,10.16,10.28,30007338.0,4.3168,71.45867874
2025-06-12,10.2,10.63,10.16,10.29,31069220.0,4.4696,71.52819107
2025-06-13,10.2,10.23,9.9,9.93,37167303.0,5.3469,69.02574707
2025-06-16,9.82,10.3,9.82,10.25,39300860.0,5.6538,71.25014174
2025-06-17,10.25,10.53,10.18,10.38,39047580.0,5.6174,72.15380207
2025-06-18,10.3,10.49,10.22,10.28,29780559.999999996,4.2842,71.45867874
2025-06-19,10.35,10.36,9.86,9.89,36297558.0,5.2217,68.74769773
2025-06-20,9.85,9.9,9.49,9.59,28973200.0,4.1681,66.66232773
2025-06-23,9.48,9.92,9.45,9.91,27689930.0,3.9835,68.88672240000001
2025-06-24,9.9,10.9,9.87,10.55,120904709.00000001,17.3933,73.33551174
2025-06-25,10.57,11.25,10.46,10.95,144016158.0,20.7181,76.11600507
2025-06-26,11.17,11.24,10.76,10.78,88729700.0,12.7646,74.93429541
2025-06-27,10.86,10.99,10.65,10.66,57251868.99999999,8.2362,74.10014740000001
2025-06-30,10.65,10.75,10.64,10.67,37880300.0,5.4494,74.16965974
2025-07-01,10.65,10.71,10.45,10.54,32280400.0,4.6438,73.2659994
2025-07-02,10.53,10.54,10.28,10.39,28096500.0,4.0419,72.22331439999999
2025-07-03,10.55,10.6,10.22,10.31,31180500.0,4.4856,71.66721574
2025-07-04,10.29,10.45,10.16,10.27,37976300.0,5.4632,71.3891664
2025-07-07,10.24,10.48,10.19,10.43,34977102.0,5.0318,72.50136374
2025-07-08,10.39,10.67,10.32,10.66,53447012.0,7.6889,74.10014740000001
2025-07-09,10.66,11.15,10.53,10.86,101472176.0,14.5977,75.49039407000001
2025-07-10,10.86,11.09,10.72,10.93,88891014.0,12.7878,75.97698041
2025-07-11,10.85,11.2,10.63,11.03,103493478.0,14.8885,76.67210374
2025-07-14,11.07,11.11,10.75,10.82,52476753.0,7.5493,75.21234473999999
2025-07-15,10.79,11.02,10.55,10.84,58848119.99999999,8.4659,75.35136940999999
2025-07-16,10.83,10.94,10.7,10.78,38032753.0,5.4714,74.93429541
2025-07-17,10.75,10.92,10.7,10.79,37852205.0,5.4454,75.00380774
2025-07-18,11.01,11.32,10.66,10.67,60881700.0,8.7584,74.16965974
2025-07-21,10.65,10.79,10.56,10.63,37225300.0,5.3552,73.8916104
2025-07-22,10.6,10.62,10.41,10.49,33703179.0,4.8485,72.91843774
2025-07-23,10.46,10.6,10.38,10.44,32671781.0,4.7001,72.57087607
2025-07-24,10.39,10.58,10.38,10.58,27026981.0,3.8881,73.54404874
2025-07-25,10.57,10.75,10.47,10.63,39344860.0,5.6601,73.8916104
2025-07-28,10.4,10.4,10.08,10.16,68235801.0,9.8164,70.62453073
2025-07-29,10.18,10.2,10.0,10.2,30722303.000000004,4.4197,70.90258007
2025-07-30,10.18,10.18,10.0,10.03,24473127.0,3.5207,69.72087040000001
2025-07-31,9.99,10.3,9.98,10.11,36192074.0,5.2066,70.27696907
2025-08-01,10.06,10.22,9.96,10.17,32810471.999999996,4.7201,70.69404307
2025-08-04,10.08,10.17,10.03,10.16,17887753.0,2.5733,70.62453073
2025-08-05,10.17,10.33,10.15,10.23,24543664.0,3.5308,71.11111707
2025-08-06,10.16,10.21,10.07,10.2,25588498.0,3.6811,70.90258007
2025-08-07,10.23,10.5,10.21,10.26,28808412.0,4.1444,71.31965407
2025-08-08,10.22,10.25,10.03,10.04,31942440.000000004,4.5952,69.79038273
2025-08-11,10.03,10.23,10.02,10.17,21826144.0,3.1399,70.69404307
