date,open,high,low,close,volume
2026-06-05,278.87,280.0,226.68,226.88,5456427.0
2026-06-08,190.0,236.88,190.0,208.9,3095113.0
2026-06-09,216.0,219.99,179.98,181.06,2776288.0
2026-06-10,174.89,174.89,145.2,146.04,2501325.0
2026-06-11,147.75,147.8,128.16,128.8,2014359.0
2026-06-12,130.0,137.65,121.58,121.66,1734289.0
2026-06-15,121.77,126.31,116.0,125.1,1172786.0
2026-06-16,124.84,139.79,122.26,139.72,1976459.0
2026-06-17,135.99,153.8,134.48,139.9,1941553.0
2026-06-18,136.0,146.7,133.0,144.04,1501232.0
2026-06-22,142.29,143.6,124.3,128.7,1519657.0
2026-06-23,128.0,147.53,123.62,145.88,1852931.0
2026-06-24,144.0,156.0,140.11,151.5,1939023.0
2026-06-25,149.0,161.88,145.36,149.01,1624399.0
2026-06-26,147.0,148.0,137.12,137.27,1120654.0
2026-06-29,136.0,136.0,123.0,124.1,976496.0
2026-06-30,126.0,129.94,122.85,126.99,760325.0
2026-07-01,126.03,133.58,126.0,128.1,776315.0
2026-07-02,123.58,133.0,117.0,121.76,891578.0
2026-07-03,123.0,158.28,123.0,158.28,1994781.0
2026-07-06,166.0,188.98,155.56,180.5,3084169.0
2026-07-07,165.02,179.3,158.0,168.71,1636824.0
2026-07-08,169.88,170.0,136.08,137.0,1741188.0
2026-07-09,139.14,140.98,132.03,137.0,1228111.0
2026-07-10,137.0,152.94,133.95,139.49,1601713.0
2026-07-13,133.9,145.68,128.0,145.3,1187914.0
2026-07-14,142.02,149.99,138.08,141.68,1039857.0
2026-07-15,143.0,147.26,129.0,147.0,1246733.0
2026-07-16,139.43,165.78,138.21,155.13,1536015.0
2026-07-17,154.82,158.88,140.52,152.9,1139700.0
2026-07-20,148.9,153.0,119.0,126.0,1310330.0
2026-07-21,118.2,126.0,106.35,120.08,1504923.0
2026-07-22,118.0,118.63,106.42,106.5,1291546.0
2026-07-23,104.97,112.0,102.0,109.31,808901.0
2026-07-24,105.99,107.05,102.46,102.69,585755.0
2026-07-27,102.69,107.7,100.02,107.6,660905.0
2026-07-28,104.0,110.6,103.01,103.55,596443.0
2026-07-29,104.2,108.7,103.0,106.0,602569.0
2026-07-30,104.3,105.98,90.0,90.2,1073522.0
2026-07-31,95.25,103.86,95.25,98.45,1086060.0
2026-08-03,96.1,103.95,96.1,99.64,683153.0
2026-08-04,100.0,103.89,98.0,103.43,700429.0
2026-08-05,103.54,109.0,102.03,107.08,985781.0
2026-08-06,105.17,106.99,103.3,105.51,711581.0
2026-08-07,109.56,114.99,108.06,114.73,1155999.0
2026-08-10,114.96,115.0,108.06,109.05,822453.0
2026-08-11,108.38,112.87,104.5,109.66,765973.0
