日,代码,名称,席位,买入金额,买占比,卖出金额,净额,类型
20260922,000002,万科A,开源证券股份有限公司西安西大街证券营业部,110572086.0,0.014963188634,110884944.56,-312858.56,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000002,万科A,深股通专用,218818697.83,0.029611682032,247981664.11,-29162966.28,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000002,万科A,华福证券股份有限公司南京胜太路证券营业部,160216165.76,0.021681283199,44569123.0,115647042.76,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000002,万科A,国泰海通证券股份有限公司三亚迎宾路证券营业部,331303493.0,0.044833708399,365001167.0,-33697674.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000560,我爱我家,国泰海通证券股份有限公司成都龙腾东路营业部,39289559.0,0.027807322062,77750.0,39211809.0,日涨幅偏离值达到7%的前5只证券
20260922,000560,我爱我家,国新证券股份有限公司北京分公司,89457336.0,0.063313740757,49491.0,89407845.0,日涨幅偏离值达到7%的前5只证券
20260922,000560,我爱我家,深股通专用,48316002.3,0.034195818709,21678635.68,26637366.62,日涨幅偏离值达到7%的前5只证券
20260922,000560,我爱我家,平安证券股份有限公司浙江分公司,46038133.0,0.032583648787,1757071.0,44281062.0,日涨幅偏离值达到7%的前5只证券
20260922,000560,我爱我家,国泰海通证券股份有限公司成都顺城大街证券营业部,30613644.0,0.021666913039,298266.0,30315378.0,日涨幅偏离值达到7%的前5只证券
20260922,000560,我爱我家,国泰海通证券股份有限公司北京知春路证券营业部,80922560.0,0.029780225539,88365705.0,-7443145.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000560,我爱我家,平安证券股份有限公司浙江分公司,47130211.0,0.017344338999,3733933.0,43396278.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20260922,000560,我爱我家,国泰海通证券股份有限公司成都龙腾东路营业部,49526900.0,0.018226341978,148359.0,49378541.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
