date,open,high,low,close,volume
2026-01-05,22.64,23.3,22.53,23.3,26392220.0
2026-01-06,23.28,24.16,23.19,23.79,40320005.0
2026-01-07,24.69,25.39,24.37,24.72,76749560.0
2026-01-08,24.8,25.58,24.68,24.91,54427095.0
2026-01-09,24.59,24.97,24.5,24.83,39177949.0
2026-01-12,24.82,25.37,24.74,25.27,43310473.0
2026-01-13,25.18,25.25,24.15,24.19,38600503.0
2026-01-14,24.25,25.12,24.04,24.49,39791419.0
2026-01-15,24.32,26.19,24.19,26.19,79777243.0
2026-01-16,26.4,26.42,25.2,25.71,60492075.0
2026-01-19,26.17,26.35,25.58,25.74,39095392.0
2026-01-20,25.67,26.74,25.56,26.72,66184671.0
2026-01-21,26.4,27.88,26.02,26.83,77668684.0
2026-01-22,26.99,27.09,25.75,25.83,53706244.0
2026-01-23,25.78,26.25,25.76,26.14,34903365.0
2026-01-26,26.74,27.3,25.93,26.36,49623550.0
2026-01-27,26.18,26.7,25.3,26.43,40589852.0
2026-01-28,27.5,27.87,26.73,27.16,57205738.0
2026-01-29,27.1,27.69,26.11,26.14,44990933.0
2026-01-30,25.87,28.12,25.75,27.75,73357945.0
2026-02-02,27.44,27.93,26.42,26.44,46749724.0
2026-02-03,27.28,28.73,27.05,28.23,68031838.0
2026-02-04,27.82,28.17,27.23,27.98,45895705.0
2026-02-05,27.2,27.3,25.73,26.24,52745804.0
2026-02-06,25.77,27.3,25.5,26.59,45366708.0
2026-02-09,27.3,28.14,27.0,27.71,44580246.0
2026-02-10,28.01,29.38,27.98,28.16,54363361.0
2026-02-11,27.81,29.91,27.81,28.81,52850511.0
2026-02-12,28.82,29.53,28.56,29.22,44650073.0
2026-02-13,28.8,29.13,28.2,28.36,35855848.0
2026-02-24,29.01,31.54,28.7,30.45,61566178.0
2026-02-25,30.8,32.76,29.91,31.98,74759487.0
2026-02-26,32.18,34.1,31.7,33.42,84387226.0
2026-02-27,32.4,32.57,31.44,31.77,66609691.0
2026-03-02,30.99,31.68,30.63,30.82,55222922.0
2026-03-03,31.22,31.26,28.68,28.8,61015065.0
2026-03-04,28.62,29.8,28.6,28.83,38034326.0
2026-03-05,29.65,29.87,28.58,28.81,42927795.0
2026-03-06,28.64,28.84,28.17,28.41,29494046.0
2026-03-09,27.22,27.74,26.34,27.58,43144511.0
2026-03-10,28.32,29.07,28.11,28.89,38172416.0
