date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.02,3.04,3.0,3.04,70439559.0,0.9765,219.29209906000003
2025-06-04,3.04,3.07,3.01,3.03,68577832.0,0.9507,218.57074347
2025-06-05,3.02,3.04,3.0,3.03,59126222.0,0.8197,218.57074347
2025-06-06,3.02,3.05,3.0,3.03,53713047.0,0.7446,218.57074347
2025-06-09,3.03,3.06,3.02,3.06,67466906.0,0.9353,220.73481023
2025-06-10,3.05,3.06,2.97,3.0,73191762.0,1.0146,216.4066767
2025-06-11,2.99,3.02,2.99,3.0,51028096.0,0.7074,216.4066767
2025-06-12,3.0,3.02,2.98,3.0,51426640.0,0.7129,216.4066767
2025-06-13,3.0,3.08,2.98,3.04,102352820.0,1.4189,219.29209906000003
2025-06-16,3.03,3.06,3.0,3.01,64033101.0,0.8877,217.12803229
2025-06-17,3.01,3.04,3.0,3.03,53335382.99999999,0.7394,218.57074347
2025-06-18,3.02,3.07,3.01,3.01,71119870.0,0.9859,217.12803229
2025-06-19,3.01,3.02,2.89,2.91,98347181.0,1.3634,209.91447639999998
2025-06-20,2.91,2.92,2.89,2.9,31782030.0,0.4406,209.19312080999998
2025-06-23,2.89,2.93,2.88,2.92,36028476.0,0.4995,210.63583199
2025-06-24,2.91,2.96,2.91,2.95,46091819.0,0.639,212.79989876000002
2025-06-25,2.95,2.98,2.93,2.97,56327527.0,0.7809,214.24260993
2025-06-26,2.97,2.99,2.95,2.95,53691478.0,0.7443,212.79989876000002
2025-06-27,2.95,3.0,2.95,2.96,42754228.0,0.5927,213.52125433999998
2025-06-30,2.97,3.01,2.97,3.0,51433260.0,0.713,216.4066767
2025-07-01,3.01,3.02,2.99,3.01,45496990.0,0.6307,217.12803229
2025-07-02,3.02,3.06,3.0,3.04,72928445.0,1.011,219.29209906000003
2025-07-03,3.03,3.05,3.0,3.03,44094880.0,0.6113,218.57074347
2025-07-04,3.02,3.04,3.01,3.01,43661181.0,0.6053,217.12803229
2025-07-07,3.01,3.04,3.0,3.04,35498040.0,0.4921,219.29209906000003
2025-07-08,3.03,3.05,3.01,3.05,40101823.0,0.5559,220.01345465000003
2025-07-09,3.05,3.09,3.04,3.05,63526000.0,0.8806,220.01345465000003
