date,open,high,low,close,volume
2025-06-03,14.46,14.99,14.45,14.83,4738544.0
2025-06-04,14.91,14.94,14.73,14.9,3410588.0
2025-06-05,14.85,14.94,14.65,14.7,2535052.0
2025-06-06,14.73,14.98,14.72,14.94,3980888.0
2025-06-09,14.88,15.14,14.85,15.05,3128424.0
2025-06-10,15.03,15.18,14.76,14.93,2836720.0
2025-06-11,14.94,15.95,14.85,15.6,9883436.0
2025-06-12,15.55,15.59,15.22,15.4,4485456.0
2025-06-13,15.31,15.35,15.0,15.03,3171880.0
2025-06-16,15.0,15.25,14.91,15.16,3289680.0
2025-06-17,15.19,15.33,15.06,15.1,2216968.0
2025-06-18,15.05,15.26,15.01,15.22,3012016.0
2025-06-19,15.2,15.47,15.13,15.27,3372117.0
2025-06-20,15.21,15.36,15.1,15.1,2184653.0
2025-06-23,15.0,15.35,14.94,15.31,2513523.0
2025-06-24,15.4,15.4,15.22,15.32,2422578.0
2025-06-25,15.32,15.39,15.12,15.32,2409440.0
2025-06-26,15.28,15.64,15.17,15.39,3385616.0
2025-06-27,15.39,15.8,15.39,15.61,3295057.0
2025-06-30,15.58,15.59,15.38,15.56,2625513.0
2025-07-01,15.6,16.56,15.59,15.86,7480096.0
2025-07-02,16.1,16.6,15.88,16.49,7837743.0
2025-07-03,16.93,17.12,16.49,16.67,9631122.0
2025-07-04,16.77,16.94,16.54,16.69,6120029.0
2025-07-07,16.66,16.78,16.38,16.42,3568201.0
2025-07-08,16.43,16.43,16.19,16.36,3139080.0
2025-07-09,16.45,16.7,16.38,16.45,3582971.0
2025-07-10,16.56,17.06,16.32,16.84,5691486.0
2025-07-11,16.91,17.78,16.89,17.09,5845460.0
2025-07-14,17.0,17.44,16.8,17.24,3850631.0
2025-07-15,17.1,17.15,16.64,16.74,3558005.0
2025-07-16,16.74,16.79,16.61,16.77,1895760.0
2025-07-17,16.81,16.95,16.62,16.63,2254948.0
2025-07-18,16.63,16.74,16.5,16.69,1925878.0
2025-07-21,16.71,17.6,16.61,17.47,5091372.0
2025-07-22,17.42,18.17,17.36,18.09,5295888.0
2025-07-23,18.3,18.57,17.91,17.97,7050226.0
2025-07-24,18.0,18.15,17.72,17.99,3659340.0
2025-07-25,18.2,18.3,17.71,17.75,3523680.0
2025-07-28,17.7,17.92,17.57,17.72,3650787.0
2025-07-29,17.73,17.78,17.29,17.39,3918454.0
2025-07-30,17.37,17.77,17.31,17.39,3236434.0
2025-07-31,17.39,17.44,17.06,17.11,3118800.0
2025-08-01,17.09,17.34,17.05,17.12,2458040.0
2025-08-04,17.08,17.21,16.97,17.12,1547340.0
2025-08-05,17.21,17.34,17.0,17.11,2031980.0
2025-08-06,17.15,17.17,16.8,17.03,2802640.0
2025-08-07,17.13,17.25,17.0,17.18,3076240.0
2025-08-08,17.18,17.57,17.08,17.33,3138008.0
2025-08-11,17.55,18.1,17.34,17.65,6678592.0
2025-08-12,17.65,17.99,17.46,17.74,4473346.0
2025-08-13,17.9,17.9,17.11,17.14,7737320.0
2025-08-14,17.1,17.14,16.51,16.51,6123192.0
2025-08-15,16.54,16.6,16.3,16.48,3533052.0
2025-08-18,16.5,16.59,16.44,16.48,3567302.0
2025-08-19,16.53,16.62,16.44,16.53,2972171.0
2025-08-20,16.53,16.69,16.47,16.64,2225888.0
2025-08-21,16.71,17.04,16.66,16.78,4414609.0
2025-08-22,16.96,16.98,16.46,16.57,3570156.0
2025-08-25,16.58,16.85,16.51,16.71,3380228.0
2025-08-26,16.75,17.44,16.58,17.15,5717505.0
2025-08-27,17.1,17.23,16.5,16.5,4746238.0
2025-08-28,16.52,16.79,15.92,16.37,4571800.0
2025-08-29,16.35,16.59,16.3,16.46,3116396.0
2025-09-01,16.53,16.73,16.3,16.35,4588196.0
2025-09-02,16.37,16.44,16.08,16.16,4227528.0
2025-09-03,16.13,16.33,15.72,15.79,3954280.0
2025-09-04,15.8,16.06,15.71,15.88,4484188.0
2025-09-05,15.88,16.0,15.71,15.97,3793711.0
2025-09-08,15.98,16.6,15.97,16.49,6047876.0
2025-09-09,16.48,16.57,16.25,16.29,3493815.0
2025-09-10,16.29,16.82,16.09,16.75,5163887.0
2025-09-11,16.6,18.23,16.58,17.87,17759708.0
2025-09-12,17.92,18.15,17.64,17.68,6829954.0
2025-09-15,17.66,18.45,17.46,18.2,7382204.0
2025-09-16,18.11,18.22,17.5,17.57,5472424.0
2025-09-17,17.55,17.6,17.21,17.41,3842024.0
2025-09-18,17.39,17.47,16.6,16.79,5273720.0
2025-09-19,16.79,16.83,16.53,16.69,2769308.0
2025-09-22,16.61,16.77,16.31,16.49,2233840.0
2025-09-23,16.4,16.43,15.85,16.04,4206476.0
2025-09-24,16.01,16.57,15.95,16.4,2896622.0
2025-09-25,16.38,16.42,16.05,16.09,1894230.0
2025-09-26,16.1,16.33,16.02,16.12,1816937.0
2025-09-29,16.1,16.15,15.73,16.05,2446288.0
2025-09-30,16.16,16.16,15.89,15.92,1722149.0
2025-10-09,15.88,15.93,15.51,15.76,3750326.0
2025-10-10,15.79,16.05,15.72,15.86,3164360.0
2025-10-13,15.56,15.78,15.5,15.74,2957161.0
