date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,22.83,23.85,22.78,23.41,2114022.0,6.4898,7.62574476
2025-06-04,23.46,23.58,23.23,23.33,1378636.0,4.2322,7.599684979999999
2025-06-05,23.25,23.37,23.05,23.34,1792053.0,5.5014,7.60294245
2025-06-06,23.38,23.38,23.03,23.11,1502302.0,4.6119,7.528020570000001
2025-06-09,23.26,23.58,23.11,23.58,1852534.0,5.687,7.68112181
2025-06-10,23.62,23.62,22.69,22.93,2368551.0,7.2711,7.46938605
2025-06-11,23.0,23.33,22.95,23.22,1751593.9999999998,5.3772,7.5638527700000004
2025-06-12,23.08,23.68,23.08,23.4,1881672.0,5.7765,7.6224872900000005
2025-06-13,23.25,23.25,22.81,22.9,2135893.0,6.5569,7.45961363
2025-06-16,22.74,23.35,22.74,23.17,1257865.0,3.8615,7.5475654
2025-06-17,23.17,23.37,22.9,23.03,1092083.0,3.3525,7.50196078
2025-06-18,22.96,23.53,22.84,23.46,2313948.0,7.1035,7.64203213
2025-06-19,23.45,23.83,22.76,22.99,2834853.0,8.7026,7.488930890000001
2025-06-20,22.99,23.59,22.71,23.0,2982029.0,9.1544,7.49218836
2025-06-23,23.19,23.37,22.59,23.37,3120762.0,9.5803,7.6127148700000005
2025-06-24,23.3,24.57,23.22,24.34,5214795.0,16.0087,7.92868977
2025-06-25,24.16,24.48,23.8,24.3,2893453.0,8.8825,7.915659880000001
2025-06-26,24.31,26.0,24.21,24.76,6284584.0,19.2928,8.06550364
2025-06-27,24.6,29.71,24.5,29.71,15759822.0,48.3805,9.67795288
2025-06-30,30.0,30.88,27.76,28.26,12859090.0,39.4757,9.205619259999999
2025-07-01,28.12,30.88,27.42,28.64,13315047.0,40.8754,9.32940324
2025-07-02,27.88,28.08,26.4,26.56,9079501.0,27.8728,8.651848820000001
2025-07-03,26.56,27.13,26.24,26.69,4803890.0,14.7473,8.69419597
2025-07-04,26.52,26.98,26.0,26.5,4340166.0,13.3237,8.63230398
2025-07-07,26.7,26.71,26.11,26.51,3111627.0,9.5523,8.635561449999999
2025-07-08,26.46,26.86,26.25,26.52,3975412.9999999995,12.204,8.63881893
2025-07-09,26.69,27.24,26.28,26.32,4393105.0,13.4862,8.57366946
2025-07-10,26.33,26.43,25.74,25.9,3389431.0,10.4051,8.43685559
2025-07-11,25.9,26.85,25.6,26.39,3651799.0,11.2105,8.596471769999999
2025-07-14,26.42,26.59,26.16,26.36,1755752.0,5.3899,8.58669936
2025-07-15,26.4,26.46,25.85,26.28,2017203.0,6.1925,8.56063957
2025-07-16,26.33,26.85,26.07,26.4,2502224.0,7.6815,8.59972925
2025-07-17,26.58,26.68,26.21,26.52,2105440.0,6.4634,8.63881893
2025-07-18,26.44,26.96,26.28,26.45,2643970.0,8.1166,8.61601661
2025-07-21,26.51,27.48,26.28,27.13,4086810.0,12.546,8.83752479
2025-07-22,27.02,27.27,26.52,26.72,2910079.0,8.9335,8.70396839
2025-07-23,26.5,26.85,25.89,25.89,3651586.0,11.2099,8.43359811
2025-07-24,25.96,26.29,25.9,26.14,2089961.0,6.4159,8.515034940000001
2025-07-25,26.22,26.98,25.98,26.93,3797590.0,11.6581,8.77237533
2025-07-28,27.0,27.65,26.67,27.16,4005657.0,12.2968,8.84729721
2025-07-29,27.05,28.28,26.89,27.82,5574974.0,17.1144,9.06229044
2025-07-30,27.75,29.29,27.56,28.46,6396279.0,19.6357,9.27076873
2025-07-31,27.9,28.5,27.71,27.9,4275938.0,13.1265,9.08835023
2025-08-01,28.0,28.91,27.48,27.53,3900531.0,11.9741,8.96782372
2025-08-04,27.17,29.69,27.1,29.58,6671555.0,20.4808,9.63560573
2025-08-05,29.29,29.68,28.69,29.23,5120884.0,15.7204,9.521594160000001
2025-08-06,29.31,29.56,28.72,29.49,4185251.9999999995,12.8482,9.606288469999999
2025-08-07,29.47,31.15,28.75,29.73,6586502.0,20.2197,9.68446782
2025-08-08,29.37,29.97,28.74,28.88,4581478.0,14.0645,9.4075826
2025-08-11,28.88,29.29,28.62,28.81,2996089.0,9.1976,9.38478029
2025-08-12,28.66,30.3,28.22,29.48,5404210.0,16.5902,9.603030989999999
2025-08-13,29.22,29.82,29.11,29.61,3489646.0,10.7127,9.645378149999999
2025-08-14,29.7,32.88,28.88,30.52,7482253.999999999,22.9695,9.94180821
2025-08-15,30.39,31.88,30.0,31.85,5804903.0,17.8203,10.37505214
2025-08-18,32.96,33.78,31.57,32.47,6253813.0,19.1984,10.57701548
2025-08-19,32.01,33.83,31.58,31.85,5226173.0,16.0436,10.37505214
2025-08-20,31.56,36.98,30.96,35.8,7459874.000000001,22.9008,11.66175406
2025-08-21,35.0,35.0,33.03,33.19,5388839.0,16.543,10.81155355
2025-08-22,33.1,35.33,33.01,34.02,4309902.0,13.2308,11.08192383
2025-08-25,33.99,34.8,33.2,33.72,4593378.0,14.101,10.984199629999999
2025-08-26,33.45,33.66,32.88,33.18,2685663.0,8.2446,10.80829608
2025-08-27,33.05,33.53,31.62,31.71,3577912.0000000005,10.9837,10.32944752
2025-08-28,31.81,33.0,31.5,32.59,3722407.0,11.4273,10.61610516
2025-08-29,32.59,32.8,31.21,31.25,3330992.0,10.2257,10.17960375
2025-09-01,31.96,32.57,31.21,32.07,3767681.0,11.5663,10.44671655
2025-09-02,31.88,31.88,30.0,30.3,3672898.0000000005,11.2753,9.8701438
2025-09-03,30.6,31.53,29.99,30.28,2291684.0,7.0352,9.86362885
2025-09-04,30.2,30.55,28.5,28.88,3195523.0,9.8098,9.4075826
2025-09-05,28.99,30.05,28.89,29.81,2482755.0,7.6217,9.71052761
2025-09-08,29.59,30.83,29.58,30.4,2428615.0,7.4555,9.90271853
2025-09-09,30.13,30.4,29.34,29.42,1685028.0,5.1728,9.58348615
2025-09-10,29.46,29.97,29.14,29.27,1157647.0,3.5538,9.53462406
2025-09-11,29.18,30.59,29.04,30.39,2509056.0,7.7025,9.89946105
2025-09-12,30.12,30.97,30.11,30.4,2357432.0,7.237,9.90271853
2025-09-15,30.7,31.01,30.21,30.58,1717193.0,5.2715,9.96135305
2025-09-16,30.67,30.88,30.18,30.5,1685775.9999999998,5.1751,9.93529326
2025-09-17,30.64,31.59,30.38,30.93,2566050.0,7.8774,10.07536461
