date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,21.06,21.76,21.04,21.38,14093604.0,7.9587,37.86080186
2025-06-04,21.54,22.78,21.27,22.57,31554387.0,17.8188,39.96811497
2025-06-05,22.35,22.65,22.03,22.49,21298387.0,12.0272,39.826446860000004
2025-06-06,22.41,22.41,21.75,21.84,17127700.0,9.672,38.67539348
2025-06-09,22.09,22.52,22.03,22.25,15786019.0,8.9144,39.40144254
2025-06-10,22.14,22.15,21.02,21.44,18916200.0,10.682,37.96705294
2025-06-11,21.48,22.0,21.27,21.28,12236600.0,6.91,37.68371673
2025-06-12,21.22,21.48,20.79,20.97,12524600.0,7.0726,37.13475281
2025-06-13,20.73,20.88,20.0,20.0,15563610.0,8.7888,35.417027000000004
2025-06-16,19.85,20.5,19.85,20.48,9211373.0,5.2017,36.26703565
2025-06-17,20.3,20.95,20.23,20.51,9565981.0,5.4019,36.32016119
2025-06-18,20.3,20.42,20.0,20.18,7813200.0,4.4121,35.73578024
2025-06-19,20.3,20.84,20.07,20.09,14230492.000000002,8.036,35.57640362
2025-06-20,19.98,20.09,19.17,19.63,12091700.0,6.8282,34.761812
2025-06-23,19.18,19.65,19.09,19.64,8699900.0,4.9128,34.779520510000005
2025-06-24,19.6,20.24,19.52,20.05,11513200.0,6.5015,35.50556957
2025-06-25,20.05,20.65,20.05,20.54,12850700.0,7.2568,36.37328673
2025-06-26,20.58,20.89,20.12,20.13,12176300.0,6.876,35.64723768
2025-06-27,20.01,20.45,20.01,20.17,7697700.0,4.3469,35.71807173
2025-06-30,20.89,24.2,20.56,22.3,48740110.0,27.5235,39.489985110000006
2025-07-01,22.02,22.95,21.5,21.6,35295905.0,19.9316,38.25038916
2025-07-02,21.23,21.44,20.92,21.08,17453264.0,9.8559,37.32954646
2025-07-03,21.01,21.18,20.87,21.09,10810846.0,6.1049,37.347254969999995
2025-07-04,21.0,21.07,20.69,20.69,11235300.0,6.3446,36.63891443
2025-07-07,20.56,20.84,20.33,20.72,8633800.0,4.8755,36.69203997
2025-07-08,20.63,21.05,20.52,20.97,9979143.0,5.6352,37.13475281
2025-07-09,20.86,21.38,20.8,21.3,17642100.0,9.9625,37.719133760000005
2025-07-10,21.1,21.46,20.84,20.97,12088700.0,6.8265,37.13475281
2025-07-11,20.78,21.17,20.68,21.12,11522600.0,6.5068,37.40038051
