date,open,high,low,close,volume
2025-06-03,19.46,20.23,19.46,19.82,1971874.0
2025-06-04,19.89,20.09,19.63,19.88,1428683.0
2025-06-05,20.11,20.22,19.33,19.71,1692523.0
2025-06-06,19.79,20.14,19.35,19.76,1441183.0
2025-06-09,19.95,20.07,19.56,19.64,1935173.0
2025-06-10,19.62,19.71,18.2,18.56,3913546.0
2025-06-11,18.77,19.09,18.57,18.77,2066998.0
2025-06-12,18.8,19.65,18.59,18.83,2171760.0
2025-06-13,18.8,19.09,18.43,18.43,1645322.0
2025-06-16,18.36,18.98,18.35,18.82,1577119.0
2025-06-17,18.88,19.07,18.35,18.65,1475209.0
2025-06-18,18.68,18.85,18.43,18.72,1511311.0
2025-06-19,18.81,18.99,18.21,18.4,1450846.0
2025-06-20,18.44,18.59,17.93,17.97,990146.0
2025-06-23,17.98,18.7,17.79,18.68,2099008.0
2025-06-24,18.77,19.2,18.65,19.03,1416157.0
2025-06-25,19.21,19.5,19.03,19.45,1983049.0
2025-06-26,19.61,19.61,19.21,19.45,1382801.0
2025-06-27,19.54,19.64,19.16,19.28,1439948.0
2025-06-30,19.47,20.1,19.29,19.9,1894734.0
2025-07-01,20.13,20.27,19.6,19.85,1866797.0
2025-07-02,19.94,19.95,19.35,19.5,1338397.0
2025-07-03,19.59,19.63,19.08,19.23,1387385.0
2025-07-04,19.28,19.29,18.74,19.0,1291141.0
2025-07-07,18.83,19.22,18.82,19.18,1134484.0
2025-07-08,19.26,19.34,19.08,19.2,1282115.0
2025-07-09,19.11,19.23,18.91,19.16,1231982.0
2025-07-10,19.06,19.22,18.63,19.2,1686972.0
2025-07-11,19.21,19.42,18.83,19.28,1890737.0
2025-07-14,19.41,19.66,19.04,19.18,1921072.0
2025-07-15,19.23,19.3,18.66,19.19,1891248.0
2025-07-16,19.28,19.88,19.15,19.54,2696891.0
2025-07-17,19.55,19.69,19.36,19.41,2206514.0
2025-07-18,19.4,19.67,19.36,19.59,1956935.0
2025-07-21,19.84,20.09,19.5,19.63,2107674.0
2025-07-22,19.81,19.81,19.36,19.5,2348760.0
2025-07-23,19.58,19.7,19.31,19.56,1774482.0
2025-07-24,19.51,19.81,19.42,19.8,1987316.0
2025-07-25,19.86,21.6,19.74,21.6,4788259.0
2025-07-28,22.39,24.79,22.14,23.11,10034777.0
2025-07-29,23.69,24.13,22.74,23.25,6952945.0
2025-07-30,23.25,23.78,22.3,23.34,6094685.0
2025-07-31,23.88,24.2,22.98,23.24,4698631.0
2025-08-01,23.78,24.75,22.66,24.5,6049441.0
2025-08-04,25.63,26.34,24.44,25.05,7644820.0
2025-08-05,25.05,25.19,23.86,24.25,5664697.0
2025-08-06,24.14,24.67,23.51,24.65,5352528.0
2025-08-07,24.65,26.05,24.32,24.9,6532766.0
2025-08-08,25.26,25.76,24.31,25.47,6088069.0
2025-08-11,25.41,25.7,24.85,25.51,3884851.0
2025-08-12,25.66,27.7,25.33,26.08,5322187.0
2025-08-13,26.08,26.28,25.12,25.83,3951014.0
2025-08-14,25.8,26.42,24.59,24.65,4674426.0
2025-08-15,24.53,26.16,24.32,25.78,4080534.0
2025-08-18,25.86,26.72,25.51,26.29,4910060.0
2025-08-19,26.27,26.66,25.62,25.99,3045940.0
