date,open,high,low,close,volume
2025-06-03,20.46,22.69,20.42,21.85,19393581.0
2025-06-04,21.42,22.28,21.38,21.79,12175000.0
2025-06-05,21.8,22.58,21.7,22.11,9280721.0
2025-06-06,21.88,22.61,21.59,21.7,6169300.0
2025-06-09,21.77,21.88,21.5,21.69,5024000.0
2025-06-10,21.73,21.87,21.09,21.62,6059733.0
2025-06-11,21.62,23.78,21.55,23.78,19190293.0
2025-06-12,22.66,23.78,22.6,23.1,23154543.0
2025-06-13,22.5,23.45,21.85,22.67,17420700.0
2025-06-16,22.5,24.93,22.47,24.13,23233602.0
2025-06-17,23.79,24.5,23.52,23.69,14691115.0
2025-06-18,23.39,23.73,23.0,23.23,9693843.0
2025-06-19,23.17,23.9,22.9,23.76,16754700.0
2025-06-20,23.98,24.23,22.12,22.46,13050635.0
2025-06-23,21.74,22.1,21.29,21.94,10495382.0
2025-06-24,22.1,24.13,22.04,24.13,19879869.0
2025-06-25,24.78,25.34,24.35,24.5,29240901.0
2025-06-26,24.35,24.69,24.15,24.25,14146246.0
2025-06-27,24.2,24.46,23.97,24.18,9541274.0
2025-06-30,24.3,25.49,24.2,25.1,20120074.0
2025-07-01,24.72,25.09,24.3,24.62,11362800.0
2025-07-02,24.4,24.78,24.04,24.62,7936300.0
2025-07-03,24.53,24.65,23.79,24.15,7747744.0
2025-07-04,24.0,24.82,23.91,24.16,10517900.0
2025-07-07,23.9,24.6,23.65,23.78,7990100.0
2025-07-08,23.67,26.16,23.4,24.8,20969944.0
2025-07-09,24.6,24.88,24.27,24.49,11400000.0
2025-07-10,24.55,24.62,23.85,24.02,8967615.0
2025-07-11,23.86,23.98,23.53,23.57,7991600.0
2025-07-14,22.8,22.87,22.01,22.84,11476115.0
2025-07-15,22.61,22.99,22.61,22.84,5522000.0
2025-07-16,22.78,23.22,22.58,22.86,5813000.0
2025-07-17,22.7,23.0,22.56,22.87,4596500.0
2025-07-18,22.83,22.98,22.57,22.71,4689800.0
2025-07-21,22.7,22.96,22.65,22.94,4399600.0
2025-07-22,22.85,22.99,22.42,22.77,5776560.0
2025-07-23,22.76,22.99,22.45,22.46,3874871.0
2025-07-24,22.46,23.23,22.41,23.21,8727100.0
2025-07-25,23.2,23.3,22.88,23.01,4711600.0
2025-07-28,22.95,23.07,22.66,22.93,3411900.0
2025-07-29,22.9,23.0,22.56,22.98,4163000.0
2025-07-30,22.88,23.17,22.69,23.03,5627503.0
2025-07-31,22.98,23.0,22.34,22.55,5105900.0
2025-08-01,22.69,22.8,22.17,22.7,4646500.0
2025-08-04,22.55,23.3,22.39,23.18,6652300.0
2025-08-05,23.19,23.75,23.1,23.36,8293000.0
2025-08-06,23.5,24.2,23.5,23.74,7927064.0
2025-08-07,23.66,23.69,23.33,23.34,4781500.0
2025-08-08,23.35,23.47,22.9,23.01,4436300.0
2025-08-11,23.01,23.31,22.91,23.21,3003300.0
2025-08-12,23.12,23.35,22.89,23.01,4020000.0
2025-08-13,23.03,23.1,22.76,22.99,4616764.0
2025-08-14,22.95,23.45,22.85,22.9,6952100.0
2025-08-15,22.8,23.01,22.6,22.88,5103100.0
2025-08-18,22.88,23.17,22.8,23.11,5681500.0
2025-08-19,23.1,23.18,22.8,22.88,4610600.0
2025-08-20,22.81,23.15,22.7,22.97,4694400.0
2025-08-21,22.87,23.44,22.86,23.28,7385301.0
2025-08-22,23.37,23.37,23.03,23.29,5149242.0
2025-08-25,23.3,23.43,22.99,23.42,6778100.0
2025-08-26,23.4,24.45,23.31,24.01,14375200.0
2025-08-27,23.98,24.17,23.01,23.05,8648000.0
2025-08-28,23.05,23.24,21.77,22.74,10906523.0
2025-08-29,22.72,22.74,22.28,22.42,4797300.0
2025-09-01,22.29,22.3,21.54,21.81,7882829.0
2025-09-02,21.8,21.96,20.99,21.02,8095300.0
2025-09-03,20.99,21.57,20.95,21.23,5707854.0
2025-09-04,21.21,21.34,20.6,20.85,4169300.0
2025-09-05,21.17,21.5,20.74,21.35,3945900.0
2025-09-08,21.18,21.88,21.18,21.8,4301100.0
2025-09-09,21.8,22.0,21.35,21.48,3391428.0
