date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,45.96,47.26,45.91,46.37,1941313.0,2.027,44.40914625
2025-06-04,46.33,46.4,45.32,45.57,1645268.9999999998,1.7179,43.64297594
2025-06-05,45.8,46.42,45.15,45.66,1519755.0,1.5869,43.7291701
2025-06-06,45.69,46.15,43.71,44.63,1706613.0,1.782,42.74272583
2025-06-09,44.88,49.5,44.64,47.96,4680733.0,4.8874,45.93190972
2025-06-10,47.89,49.14,46.55,48.25,4009316.0000000005,4.1863,46.20964646
2025-06-11,48.54,48.55,47.5,47.7,2067723.0,2.159,45.68290438
2025-06-12,47.18,47.81,47.01,47.39,1707734.0,1.7831,45.38601338
2025-06-13,47.02,47.21,45.31,45.69,1759020.0,1.8367,43.75790149
2025-06-16,45.54,46.94,45.01,46.2,1059886.0,1.1067,44.24633506
2025-06-17,47.06,48.0,45.58,45.65,2494559.0,2.6047,43.71959297
2025-06-18,45.41,47.18,45.34,45.38,1680102.0,1.7543,43.46101049
2025-06-19,44.11,44.58,43.28,43.3,1928229.0,2.0134,41.4689677
2025-06-20,43.3,43.8,42.02,42.07,1420543.0,1.4833,40.29098086
2025-06-23,42.2,43.5,42.12,43.19,1164919.0,1.2164,41.36361929
2025-06-24,43.72,44.28,43.23,44.0,1303737.0,1.3613,42.139366720000005
2025-06-25,44.04,44.74,43.64,44.6,1334167.0,1.3931,42.71399445
2025-06-26,44.62,45.28,44.03,44.56,1345466.0,1.4049,42.67568593
2025-06-27,44.57,45.19,44.3,44.37,1368345.0,1.4288,42.49372049
2025-06-30,44.98,46.8,44.9,46.49,2577176.0,2.691,44.52407179
2025-07-01,46.5,50.5,45.88,47.9,4261712.0,4.4499,45.87444695
2025-07-02,47.16,47.6,45.86,46.44,2807681.0,2.9317,44.47618615
2025-07-03,46.46,46.62,45.74,45.93,1348718.0,1.4083,43.98775258
2025-07-04,47.48,48.3,46.0,46.35,3001235.0,3.1338,44.38999199
2025-07-07,46.36,46.36,45.15,45.6,1556643.0,1.6254,43.67170733
2025-07-08,45.56,46.25,45.21,45.61,1361007.0,1.4211,43.68128446
2025-07-09,45.78,45.88,44.88,45.03,1547808.0,1.6162,43.12581099
2025-07-10,45.01,45.37,44.33,45.0,1051457.0,1.0979,43.0970796
2025-07-11,45.47,45.78,44.7,45.55,1231713.0,1.2861,43.62382168
2025-07-14,45.52,45.98,45.13,45.69,1133783.0,1.1838,43.75790149
2025-07-15,45.99,46.13,44.63,45.94,1725416.9999999998,1.8016,43.99732971
2025-07-16,45.94,47.26,45.64,46.98,2286234.0,2.3872,44.9933511
2025-07-17,46.61,47.21,46.61,46.99,1454271.0,1.5185,45.00292823
2025-07-18,47.56,47.58,46.1,46.66,1637101.0,1.7094,44.68688298
2025-07-21,46.7,47.5,46.7,46.94,1710080.0,1.7856,44.95504259
2025-07-22,46.8,47.8,46.21,47.05,2126547.0,2.2204,45.060390999999996
2025-07-23,45.55,45.71,43.5,44.14,3716186.0,3.8803,42.27344652
2025-07-24,44.22,44.88,44.1,44.38,1936018.0,2.0215,42.503297610000004
2025-07-25,44.6,45.39,44.21,45.0,1696982.0,1.7719,43.0970796
2025-07-28,45.01,45.7,44.9,44.98,1189792.0,1.2423,43.07792534
2025-07-29,44.97,45.99,44.25,45.79,2409490.0,2.5159,43.85367278
2025-07-30,45.88,46.9,45.5,46.57,2696019.0,2.8151,44.60068882
2025-07-31,46.95,46.95,45.51,46.24,2173513.0,2.2695,44.28464357
2025-08-01,46.64,46.64,44.72,45.5,2586222.0,2.7004,43.57593604
2025-08-04,45.55,46.37,44.0,46.31,2159251.0,2.2546,44.35168347
2025-08-05,46.53,48.49,46.23,48.46,5008300.0,5.2294,46.41076616
2025-08-06,48.77,51.57,48.06,50.63,6267903.0,6.5447,48.48900311
2025-08-07,50.11,56.0,50.11,53.55,7089628.0,7.4027,51.28552472
2025-08-08,55.0,58.83,52.01,52.73,8310862.0,8.6778,50.50020016
2025-08-11,52.11,53.84,51.71,53.0,4916359.0,5.1334,50.75878264
2025-08-12,53.0,56.57,52.66,55.86,5543509.0,5.7883,53.497841480000005
2025-08-13,55.0,57.3,53.93,56.0,4865740.0,5.0806,53.63192128
2025-08-14,55.5,56.98,53.7,54.52,4696040.0,4.9034,52.21450622
2025-08-15,55.1,56.3,54.18,55.51,3579464.0,3.7375,53.162641969999996
2025-08-18,55.74,56.7,54.81,55.78,4178983.0,4.3635,53.421224450000004
2025-08-19,55.23,59.5,55.01,57.5,4146846.0,4.3299,55.0684906
2025-08-20,57.5,57.5,54.8,55.88,2824615.0,2.9493,53.51699573
2025-08-21,55.88,56.2,53.8,54.12,2584833.0,2.699,51.83142107
2025-08-22,54.5,55.36,54.09,54.72,1931383.0000000002,2.0167,52.40604879
2025-08-25,54.05,56.5,54.05,55.55,2761697.0,2.8836,53.20095048
2025-08-26,55.5,56.56,54.51,54.9,2044922.0,2.1352,52.578437109999996
2025-08-27,54.9,55.5,53.3,53.4,2622168.0,2.7379,51.14186779
2025-08-28,53.89,54.5,51.4,52.6,3311406.0,3.4576,50.37569749
2025-08-29,52.65,53.65,52.34,52.96,2170322.0,2.2662,50.72047412
2025-09-01,52.53,53.79,52.0,53.58,2580625.0,2.6946,51.31425611
2025-09-02,53.35,53.76,50.66,51.25,2549443.0,2.662,49.0827851
2025-09-03,51.95,52.16,50.7,51.2,1603091.0,1.6739,49.03489946
2025-09-04,51.99,52.41,49.61,50.8,1870309.9999999998,1.9529,48.6518143
2025-09-05,51.38,51.77,49.71,51.6,1449193.0,1.5132,49.417984610000005
2025-09-08,51.5,54.8,51.2,53.92,2668344.0,2.7862,51.63987849
2025-09-09,54.49,54.49,51.01,51.25,1837459.0,1.9186,49.0827851
2025-09-10,51.22,52.1,51.05,51.15,910811.0,0.951,48.98701381
2025-09-11,50.9,51.18,49.21,51.14,1783252.0,1.862,48.977436680000004
2025-09-12,51.3,51.45,50.15,50.88,1652382.0,1.7253,48.72843133
2025-09-15,50.88,51.36,50.5,50.77,1013732.0,1.0585,48.623082919999995
2025-09-16,50.78,52.38,50.77,52.18,1400855.0,1.4627,49.97345808
2025-09-17,52.0,52.48,51.5,52.18,1280985.0,1.3375,49.97345808
2025-09-18,52.33,52.98,50.52,51.03,1945980.0,2.0319,48.87208827
2025-09-19,50.57,51.43,49.24,49.55,1506751.0,1.5733,47.4546732
2025-09-22,49.97,50.36,49.08,49.55,983839.0,1.0273,47.4546732
2025-09-23,49.55,49.66,47.15,48.52,1564110.0,1.6332,46.46822894
2025-09-24,48.44,49.6,48.38,49.54,1100512.0,1.1491,47.44509608
2025-09-25,49.09,50.1,48.91,49.0,1202828.0,1.2559,46.92793112
2025-09-26,48.91,49.11,48.17,48.41,895470.0000000001,0.935,46.36288052
2025-09-29,48.66,49.25,47.81,49.25,822682.0,0.859,47.167359340000004
2025-09-30,48.9,49.8,48.68,49.59,956934.0,0.9992,47.492981719999996
2025-10-09,49.46,52.0,49.45,51.5,2255557.0,2.3551,49.322213319999996
2025-10-10,52.0,52.97,50.68,50.76,1793118.0,1.8723,48.613505790000005
2025-10-13,49.05,51.3,48.02,50.29,1474596.0,1.5397,48.16338074
2025-10-14,50.04,51.14,49.13,49.33,1057970.0,1.1047,47.24397637
2025-10-15,49.48,50.3,48.55,49.86,1167920.0,1.2195,47.7515642
2025-10-16,49.79,50.58,49.0,49.23,1252396.0,1.3077,47.148205080000004
2025-10-17,49.23,49.3,46.58,46.58,1705124.0000000002,1.7804,44.61026595
2025-10-20,47.2,48.58,47.19,47.37,1373739.0,1.4344,45.366859129999995
2025-10-21,47.89,48.17,47.26,48.17,727286.0,0.7594,46.13302943
2025-10-22,48.38,48.38,47.66,47.79,582452.0,0.6082,45.76909854
2025-10-23,47.85,47.85,45.71,46.89,1383533.0,1.4446,44.90715694
2025-10-24,47.02,49.99,46.77,49.1,2051264.0,2.1418,47.02370241
2025-10-27,50.51,53.19,49.24,52.68,4027133.0,4.2049,50.45231452
2025-10-28,52.5,53.8,52.09,52.89,2624869.0,2.7408,50.65343422
2025-10-29,53.0,55.33,52.33,53.97,3277256.0,3.422,51.687764130000005
2025-10-30,53.63,54.65,53.05,53.99,2558374.0,2.6713,51.70691839
2025-10-31,53.35,55.5,53.12,54.13,2583063.0,2.6971,51.84099819
2025-11-03,54.0,54.03,52.31,53.15,1968233.0000000002,2.0551,50.90243957
2025-11-04,52.78,52.89,50.7,52.12,2082997.0,2.175,49.91599531
2025-11-05,51.36,51.85,50.56,50.93,1373804.0,1.4345,48.77631698
2025-11-06,51.2,51.22,50.15,50.46,1580162.0,1.6499,48.32619192
2025-11-07,50.42,50.42,49.0,49.22,1554867.0,1.6235,47.13862795
2025-11-10,49.55,50.25,48.67,48.92,1424294.0,1.4872,46.85131409
2025-11-11,48.95,49.0,47.93,48.17,1179724.0,1.2318,46.13302943
2025-11-12,48.3,49.49,47.93,48.2,1883399.0000000002,1.9666,46.161760820000005
2025-11-13,48.0,48.44,47.36,48.27,1400464.0,1.4623,46.22880072
2025-11-14,47.8,48.27,47.8,47.9,879287.9999999999,0.9181,45.87444695
2025-11-17,47.91,48.06,47.13,47.78,767628.0,0.8015,45.75952141
2025-11-18,47.75,47.78,46.61,46.93,910815.0,0.951,44.94546546
2025-11-19,46.75,47.0,45.7,45.98,866691.0,0.905,44.03563822
2025-11-20,46.0,46.27,45.72,45.8,516383.0,0.5392,43.8632499
2025-11-21,45.36,45.9,43.2,43.34,1378024.0,1.4389,41.50727622
