date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,20.0,20.29,19.93,20.14,24356520.0,1.8013,272.31989534999997
2025-06-04,20.26,20.6,20.15,20.46,30269246.999999996,2.2386,276.64672586
2025-06-05,20.46,21.43,20.4,21.22,60268866.0,4.4573,286.92294833
2025-06-06,21.23,21.25,20.72,20.9,37440802.0,2.769,282.59611782
2025-06-09,20.99,21.3,20.93,20.97,35539395.0,2.6284,283.54261198999995
2025-06-10,20.98,21.15,20.51,20.8,38739294.0,2.865,281.24398328
2025-06-11,20.77,21.27,20.77,20.82,35266347.0,2.6082,281.51441019000004
2025-06-12,20.76,21.13,20.7,20.95,38624286.0,2.8565,283.27218508
2025-06-13,20.77,21.28,20.42,21.18,99349182.0,7.3476,286.38209451
2025-06-16,21.0,21.56,20.75,21.3,53801756.99999999,3.979,288.00465596
2025-06-17,21.36,21.62,21.01,21.22,42355381.0,3.1325,286.92294833
2025-06-18,21.02,21.16,20.76,21.08,34972932.0,2.5865,285.02995998
2025-06-19,20.93,21.14,20.26,20.36,41698443.0,3.0839,275.29459133
2025-06-20,20.3,20.47,20.0,20.01,29529159.999999996,2.1839,270.56212045
2025-06-23,19.7,20.22,19.63,20.14,24199923.0,1.7868,272.76463126
2025-06-24,20.17,20.97,20.17,20.88,44096190.0,3.2559,282.78676766
2025-06-25,21.0,21.2,20.77,21.18,41883630.0,3.0925,286.84979593
2025-06-26,21.15,21.27,20.76,20.79,38398902.0,2.8352,281.56785918
2025-06-27,20.95,21.28,20.73,21.06,42862410.0,3.1648,285.22458462000003
2025-06-30,21.29,21.69,21.02,21.4,62158294.99999999,4.5896,289.82935
2025-07-01,21.15,21.32,20.9,21.2,41202753.0,3.0423,287.12066448
2025-07-02,21.07,21.17,20.45,20.58,37131577.0,2.7417,278.72373939
2025-07-03,20.58,21.65,20.58,21.47,86545064.0,6.3902,290.77738993
2025-07-04,21.43,21.47,20.91,20.96,49014213.0,3.619,283.87024187
2025-07-07,20.92,20.95,20.41,20.47,39958950.0,2.9504,277.23396236
2025-07-08,20.45,21.08,20.45,20.88,42507091.0,3.1386,282.78676766
2025-07-09,21.2,21.46,20.63,20.65,41535935.0,3.0669,279.67177932000004
2025-07-10,20.6,20.77,20.35,20.51,32875239.0,2.4274,277.77569946
2025-07-11,20.45,20.88,20.26,20.64,33990968.0,2.5098,279.53634504
2025-07-14,20.65,20.93,20.5,20.79,29840955.0,2.2034,281.56785918
2025-07-15,20.83,21.1,20.63,21.05,45060358.0,3.3271,285.08915035
2025-07-16,21.05,21.34,20.78,20.96,44017981.0,3.2501,283.87024187
2025-07-17,21.0,21.88,20.85,21.68,91940495.0,6.7886,293.62150972
2025-07-18,21.75,21.88,21.18,21.31,57852690.0,4.2716,288.61044152
2025-07-21,21.6,22.01,21.44,21.79,66121159.0,4.8822,295.11128675000003
2025-07-22,21.68,21.73,21.22,21.38,51797987.0,3.8246,289.55848145
2025-07-23,21.23,21.37,21.03,21.11,38528056.0,2.8448,285.901756
2025-07-24,21.1,21.32,21.1,21.29,32339632.0,2.3878,288.33957297
2025-07-25,21.26,21.5,21.11,21.44,42243479.0,3.1191,290.37108709999995
2025-07-28,21.45,21.59,21.3,21.35,34592386.0,2.5542,289.15217862
2025-07-29,21.36,21.36,20.93,21.3,37800181.0,2.791,288.47500723999997
2025-07-30,21.2,21.21,20.7,20.87,39216477.0,2.8956,282.65133339
2025-07-31,21.13,23.98,21.13,22.72,209195922.0,15.4463,307.70667439
2025-08-01,22.43,22.89,22.14,22.33,90362644.0,6.6721,302.42473764
2025-08-04,22.22,22.55,22.15,22.5,58015717.00000001,4.2837,304.72712033
2025-08-05,22.7,23.2,22.59,22.75,74459255.0,5.4978,308.11297722
2025-08-06,22.73,24.25,22.53,24.14,148707218.0,10.98,326.93834154
2025-08-07,24.15,24.3,23.55,23.73,96942255.0,7.1579,321.38553624
2025-08-08,23.77,25.65,23.29,25.13,164903846.0,12.1759,340.34633483000005
2025-08-11,25.15,25.93,24.88,25.08,124785413.99999999,9.2137,339.66916346
2025-08-12,24.8,25.33,24.56,25.15,97583178.0,7.2052,340.61720339000004
2025-08-13,25.0,25.41,24.72,25.15,88907150.0,6.5646,340.61720339000004
2025-08-14,25.16,25.17,23.89,24.19,105381132.0,7.781,327.61551291999996
2025-08-15,24.02,24.75,24.02,24.36,70000646.0,5.1686,329.91789561
2025-08-18,24.55,25.99,24.39,25.47,124374739.99999999,9.1834,344.95110021
2025-08-19,25.45,25.98,24.81,25.41,99891856.0,7.3757,344.13849455
2025-08-20,25.15,26.27,24.98,26.17,113893762.00000001,8.4095,354.43149951
2025-08-21,26.4,26.69,25.56,25.76,94833055.0,7.0021,348.8786942
2025-08-22,25.65,26.05,25.44,25.89,75150636.0,5.5489,350.63933979
2025-08-25,26.18,26.3,25.37,25.62,92499842.0,6.8299,346.98261434
2025-08-26,25.39,27.45,25.1,26.43,134054920.0,9.8982,357.95279068
2025-08-27,26.43,26.74,24.74,24.81,124900478.0,9.2082,336.52388698
2025-08-28,25.0,25.45,24.29,25.44,92551848.0,6.8233,345.06923357
2025-08-29,25.4,27.17,25.06,26.27,128938717.0,9.5059,356.32738859
2025-09-01,26.27,26.68,25.83,26.29,76190147.0,5.6171,356.59866944
2025-09-02,26.5,26.52,24.32,24.98,106086376.0,7.8211,338.82977416
2025-09-03,25.18,26.29,24.3,24.43,73466108.0,5.4162,331.36955095
2025-09-04,24.88,25.9,23.76,24.61,108739193.0,8.0167,333.81107854
2025-09-05,24.42,25.0,23.51,24.86,83418701.0,6.15,337.20208909
2025-09-08,24.85,25.88,24.75,25.69,89666810.0,6.6106,348.46024411999997
2025-09-09,25.4,25.4,24.81,24.9,59610643.99999999,4.3948,337.74465078
2025-09-10,24.9,25.1,24.34,24.49,48053106.0,3.5427,332.18339348
2025-09-11,24.4,25.98,24.3,25.96,124763292.0,9.1981,352.12253551
2025-09-12,25.88,26.03,25.43,25.5,73476680.0,5.417,345.8830761
2025-09-15,25.86,26.5,25.45,25.83,85590105.0,6.3101,350.35921003
2025-09-16,26.51,28.3,26.39,28.14,200525946.0,14.7836,381.69214751
2025-09-17,29.49,32.86,28.88,31.64,256175100.0,18.8863,429.16629521000004
2025-09-18,32.0,35.39,31.58,34.5,313909550.0,23.1428,467.9594559
2025-09-19,33.17,33.77,31.19,31.43,206477740.0,15.2224,426.31784634999997
2025-09-22,32.26,37.72,31.98,37.72,260964427.0,19.2394,511.63567178
2025-09-23,38.0,39.0,35.43,36.49,218228189.0,16.0887,494.95189988000004
2025-09-24,37.51,41.2,36.61,39.75,239507927.99999997,17.6576,539.1706774500001
2025-09-25,40.76,43.51,39.22,39.41,233367941.0,17.2049,534.5589031000001
2025-09-26,39.72,40.3,37.48,37.53,166496402.0,12.2748,509.05850377
2025-09-29,37.63,42.2,37.47,41.46,191325421.0,14.1053,562.3651896099999
2025-09-30,41.0,42.52,40.22,41.68,164608908.0,12.1357,565.3492789
2025-10-09,42.0,42.4,40.43,41.2,132337502.0,9.7565,558.83853864
2025-10-10,41.85,43.3,37.24,37.4,185750929.0,13.6944,507.29517828
2025-10-13,34.0,36.68,34.0,36.33,123564354.0,9.1097,492.78165313
2025-10-14,36.5,36.94,33.1,33.33,124908784.00000001,9.2088,452.08952653
2025-10-15,33.66,38.87,33.66,38.06,190712434.0,14.0543,516.46049003
2025-10-16,37.25,39.08,36.87,37.8,117922962.00000001,8.6902,512.9323836799999
2025-10-17,37.74,38.04,36.32,36.47,80971605.0,5.9671,494.88476278
2025-10-20,37.56,38.2,35.76,37.0,113164555.0,8.3395,502.07667186000003
2025-10-21,37.63,37.88,35.43,36.6,131513629.0,9.6918,496.64881595
2025-10-22,35.9,37.1,35.55,36.26,87110275.0,6.4195,492.03513842
2025-10-23,36.2,36.2,34.72,35.28,64084201.0,4.7226,478.73689144
2025-10-24,35.68,37.36,35.06,36.96,101585460.0,7.4862,501.53388627000004
