date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,25.22,27.96,24.65,27.46,6408066.0,6.0453,29.1076
2025-06-04,27.88,28.86,27.29,27.52,6865200.0,6.4766,29.1712
2025-06-05,27.38,28.49,27.02,28.25,4808500.0,4.5363,29.945
2025-06-06,28.01,29.89,28.01,29.3,4248808.0,4.0083,31.058
2025-06-09,29.0,29.03,27.7,27.99,5045300.0,4.7597,29.6694
2025-06-10,27.9,30.3,27.5,28.71,6687266.0,6.3087,30.4326
2025-06-11,28.99,30.95,28.3,30.65,6158008.0,5.8094,32.489
2025-06-12,30.5,31.84,30.23,31.65,5851789.0,5.5206,33.549
2025-06-13,31.83,34.64,31.65,34.39,6650600.0,6.2742,36.4534
2025-06-16,32.0,34.1,30.95,31.38,8072766.0,7.6158,33.2628
2025-06-17,30.63,31.68,30.15,30.38,4983331.0,4.7013,32.2028
2025-06-18,30.08,30.49,29.5,29.93,3048700.0,2.8761,31.7258
2025-06-19,30.0,30.28,28.3,28.37,3441100.0,3.2463,30.0722
2025-06-20,28.35,28.48,27.0,28.15,2680300.0,2.5286,29.839
2025-06-23,28.65,28.7,27.7,28.16,1472800.0,1.3894,29.8496
2025-06-24,28.17,28.83,28.16,28.45,1543300.0,1.4559,30.157
2025-06-25,28.55,28.75,28.0,28.29,2030900.0,1.9159,29.9874
2025-06-26,28.01,28.35,27.58,27.75,1409600.0,1.3298,29.415
2025-06-27,27.9,28.17,27.36,27.9,1819200.0,1.7162,29.574
2025-06-30,27.9,28.46,27.34,28.07,2519400.0,2.3768,29.7542
2025-07-01,27.97,28.91,27.74,28.71,2608600.0,2.4609,30.4326
2025-07-02,28.58,28.77,27.43,27.48,2453300.0,2.3144,29.1288
2025-07-03,27.5,28.1,27.42,27.86,1617300.0,1.5258,29.5316
2025-07-04,28.03,28.38,27.66,27.68,1601000.0,1.5104,29.3408
2025-07-07,27.64,28.58,27.55,28.13,1424200.0,1.3436,29.8178
2025-07-08,28.03,29.3,27.89,28.96,2584300.0,2.438,30.6976
2025-07-09,29.01,31.06,29.0,30.43,4152500.0,3.9175,32.2558
2025-07-10,30.45,30.8,29.89,30.36,2583600.0,2.4374,32.1816
2025-07-11,30.58,31.14,30.4,30.61,2235730.0,2.1092,32.4466
2025-07-14,31.28,31.29,29.36,30.37,2884400.0,2.7211,32.1922
2025-07-15,30.22,30.8,29.85,30.06,1914999.0,1.8066,31.8636
2025-07-16,30.1,30.89,29.62,29.8,2891800.0,2.7281,31.588
2025-07-17,29.7,30.17,29.55,29.8,1547100.0,1.4595,31.588
2025-07-18,29.8,30.2,29.16,30.18,2159300.0,2.0371,31.9908
2025-07-21,30.18,30.18,29.51,29.87,1511700.0,1.4261,31.6622
2025-07-22,29.68,30.4,29.41,29.8,1572700.0,1.4837,31.588
2025-07-23,29.26,30.55,29.26,29.83,2318100.0,2.1869,31.6198
2025-07-24,29.83,30.04,29.3,29.66,1645900.0,1.5527,31.4396
2025-07-25,29.66,30.6,29.58,30.56,2247700.0,2.1205,32.3936
2025-07-28,30.6,31.75,30.24,30.91,3240760.0,3.0573,32.7646
2025-07-29,30.8,32.42,30.62,31.96,2435200.0,2.2974,33.8776
2025-07-30,31.96,31.96,30.91,31.11,1853800.0,1.7489,32.9766
2025-07-31,31.11,31.45,30.07,30.21,1707100.0,1.6105,32.0226
2025-08-01,30.15,30.68,30.15,30.38,1013400.0,0.956,32.2028
2025-08-04,30.38,31.3,29.59,31.2,2267600.0,2.1392,33.072
2025-08-05,31.4,34.32,31.24,34.32,3582500.0,3.3797,36.3792
2025-08-06,33.98,36.0,33.98,35.13,5971900.0,5.6339,37.2378
2025-08-07,35.0,36.53,33.42,34.03,7240735.000000001,6.8309,36.0718
2025-08-08,33.98,35.11,33.5,34.87,3715900.0,3.5056,36.9622
2025-08-11,35.0,36.25,34.88,36.03,3936536.0,3.7137,38.1918
2025-08-12,36.1,36.49,35.37,36.04,2696700.0,2.5441,38.2024
2025-08-13,36.0,37.5,35.75,36.86,4887535.0,4.6109,39.0716
2025-08-14,36.8,36.8,34.85,34.9,4213400.0,3.9749,36.994
2025-08-15,34.79,35.5,34.6,34.99,1910900.0,1.8027,37.0894
2025-08-18,34.99,36.17,34.99,35.57,2600635.0,2.4534,37.7042
2025-08-19,35.58,36.56,34.4,36.41,3680100.0,3.4718,38.5946
2025-08-20,36.63,36.7,35.85,36.33,1648000.0,1.5547,38.5098
2025-08-21,36.25,36.86,35.4,35.57,1528000.0,1.4415,37.7042
2025-08-22,35.7,37.22,35.02,36.11,3347900.0,3.1584,38.2766
2025-08-25,36.1,37.21,34.9,36.72,3589700.0,3.3865,38.9232
2025-08-26,36.8,37.05,35.5,36.34,2464000.0,2.3245,38.5204
2025-08-27,36.29,36.6,35.2,35.21,2002500.0,1.8892,37.3226
2025-08-28,35.37,38.7,34.99,37.8,4035400.0,3.807,40.068
2025-08-29,37.8,40.0,37.18,38.8,3547800.0,3.347,41.128
2025-09-01,39.49,39.9,38.6,38.9,2143900.0,2.0225,41.234
2025-09-02,38.89,39.6,37.74,37.96,1791200.0,1.6898,40.2376
2025-09-03,38.24,38.8,35.99,36.32,1778600.0,1.6779,38.4992
2025-09-04,36.27,37.18,35.18,35.76,2414400.0,2.2777,37.9056
2025-09-05,35.65,37.9,35.17,37.22,2040900.0,1.9254,39.4532
2025-09-08,37.22,37.8,36.8,37.04,1613000.0,1.5217,39.2624
2025-09-09,36.89,36.89,35.6,36.07,1491900.0,1.4075,38.2342
2025-09-10,36.18,37.1,36.18,36.49,1283700.0,1.211,38.6794
2025-09-11,36.67,37.09,35.8,36.68,1168100.0,1.102,38.8808
2025-09-12,36.72,39.1,36.22,38.33,3009829.0,2.8395,40.6298
2025-09-15,38.31,42.16,37.86,42.16,3653400.0,3.4466,44.6896
2025-09-16,42.38,46.38,42.33,46.38,6713357.000000001,6.3334,49.1628
2025-09-17,46.59,48.0,45.5,46.0,6183266.0,5.8333,48.76
2025-09-18,46.0,46.79,43.8,44.15,5555191.0,5.2407,46.799
2025-09-19,44.48,45.29,42.78,43.29,3226800.0,3.0442,45.8874
2025-09-22,43.0,43.81,39.12,40.1,6483800.0,6.1168,42.506
2025-09-23,40.09,40.09,38.29,39.5,3611200.0,3.4068,41.87
2025-09-24,39.26,39.62,38.51,39.19,2224600.0,2.0987,41.5414
2025-09-25,39.2,39.76,37.95,38.53,2576900.0,2.431,40.8418
2025-09-26,38.53,38.53,37.35,37.64,2067400.0,1.9504,39.8984
2025-09-29,37.74,38.45,36.85,37.8,1917500.0,1.809,40.068
2025-09-30,37.7,37.88,35.66,36.5,3626275.0,3.421,38.69
2025-10-09,36.3,36.5,34.4,34.48,3518600.0,3.3194,36.5488
2025-10-10,34.62,36.5,34.41,35.52,3281235.0,3.0955,37.6512
2025-10-13,34.4,37.8,33.04,37.62,4329035.0,4.084,39.8772
2025-10-14,37.97,38.03,35.36,35.39,2473400.0,2.3334,37.5134
2025-10-15,35.2,37.0,34.62,36.78,1946546.0,1.8364,38.9868
2025-10-16,36.78,38.12,36.24,36.98,2426000.0,2.2887,39.1988
2025-10-17,37.0,37.0,35.0,35.29,1819500.0,1.7165,37.4074
2025-10-20,35.6,35.77,35.0,35.64,788729.0,0.7441,37.7784
2025-10-21,35.7,36.48,35.43,35.83,1217400.0,1.1485,37.9798
2025-10-22,35.83,36.13,35.52,35.79,591800.0,0.5583,37.9374
2025-10-23,35.79,37.42,35.21,36.93,2673300.0,2.522,39.1458
2025-10-24,37.01,38.1,36.9,37.2,1959900.0,1.849,39.432
2025-10-27,37.08,37.85,36.78,37.2,1536500.0,1.4495,39.432
2025-10-28,37.8,38.66,37.01,37.12,2331800.0,2.1998,39.3472
2025-10-29,37.12,37.15,36.04,36.39,1776300.0,1.6758,38.5734
2025-10-30,36.39,36.46,35.53,35.56,1090700.0,1.029,37.6936
2025-10-31,35.56,36.78,35.56,36.34,1105100.0,1.0425,38.5204
2025-11-03,36.26,36.8,35.82,36.04,1507900.0,1.4225,38.2024
2025-11-04,35.94,36.22,35.3,35.58,933700.0,0.8808,37.7148
2025-11-05,33.76,35.88,33.76,34.78,1420300.0,1.3399,36.8668
2025-11-06,34.78,35.19,34.5,34.63,832900.0,0.7858,36.7078
2025-11-07,34.8,35.5,33.99,34.39,1802600.0,1.7006,36.4534
2025-11-10,34.35,34.67,33.82,34.1,997000.0,0.9406,36.146
2025-11-11,34.23,34.39,33.87,34.25,830700.0,0.7837,36.305
2025-11-12,34.27,37.68,33.81,37.68,3103600.0,2.9279,39.9408
2025-11-13,38.59,39.65,37.83,38.8,5875400.0,5.5428,41.128
2025-11-14,38.8,41.79,38.32,41.12,5677803.0,5.3564,43.5872
2025-11-18,42.99,42.99,38.67,39.73,5912846.0,5.5782,42.1138
2025-11-19,39.0,39.64,37.94,39.13,3493100.0,3.2954,41.4778
2025-11-20,39.43,39.84,38.15,38.52,2013600.0,1.8996,40.8312
2025-11-21,37.61,38.35,36.19,36.45,2062646.0,1.9459,38.637
2025-11-24,36.73,40.1,35.01,39.08,3964546.0,3.7401,41.4248
2025-11-25,39.31,40.08,38.08,39.41,2285500.0,2.1561,41.7746
2025-11-26,39.02,39.57,38.51,38.81,1344046.0,1.268,41.1386
2025-11-27,38.8,39.48,38.5,39.0,1213400.0,1.1447,41.34
2025-11-28,38.64,39.13,38.01,38.87,1269200.0,1.1974,41.2022
2025-12-01,38.9,39.2,37.9,38.33,1384700.0,1.3063,40.6298
2025-12-02,38.1,38.77,37.97,38.42,925600.0,0.8732,40.7252
2025-12-03,38.11,38.66,37.71,38.58,1189400.0,1.1221,40.8948
2025-12-04,38.5,39.15,37.88,37.94,1182100.0,1.1152,40.2164
2025-12-05,37.75,38.1,37.22,37.95,914700.0,0.8629,40.227
2025-12-08,37.95,39.3,37.95,38.68,1366100.0,1.2888,41.0008
2025-12-09,38.76,38.9,37.46,37.5,1144100.0,1.0793,39.75
2025-12-10,37.51,37.74,36.02,36.51,1652400.0,1.5589,38.7006
2025-12-11,35.99,38.38,35.05,35.7,2397700.0,2.262,37.842
2025-12-12,35.09,35.88,34.66,35.71,1711466.9999999998,1.6146,37.8526
2025-12-15,35.48,35.88,35.01,35.18,1055100.0,0.9954,37.2908
2025-12-16,35.09,35.98,34.57,34.92,1302200.0,1.2285,37.0152
2025-12-17,34.73,36.0,33.74,35.6,1572400.0,1.4834,37.736
2025-12-18,35.29,36.27,35.0,36.2,1342700.0,1.2667,38.372
2025-12-19,36.3,37.85,35.46,36.01,1405000.0,1.3255,38.1706
2025-12-22,36.22,38.89,36.18,37.32,2480800.0,2.3404,39.5592
2025-12-23,36.96,37.8,36.58,36.79,944400.0,0.8909,38.9974
2025-12-24,36.68,38.88,36.5,37.6,1896067.0,1.7887,39.856
2025-12-25,37.47,38.5,37.37,37.66,1055000.0,0.9953,39.9196
