date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,18.6,19.18,18.43,18.98,21018738.0,4.9143,81.17787756
2025-06-04,19.25,19.25,18.8,18.81,10822500.0,2.5304,80.45078382
2025-06-05,18.74,19.15,18.7,19.04,7678441.0,1.7953,81.43449888
2025-06-06,19.05,19.49,18.9,19.07,8643400.0,2.0209,81.56280954
2025-06-09,19.03,19.77,19.03,19.61,11317740.0,2.6462,83.87240142
2025-06-10,19.55,20.56,19.45,20.2,21651610.0,5.0623,86.3958444
2025-06-11,20.18,20.29,19.92,20.03,10098442.0,2.3611,85.66875066
2025-06-12,20.0,20.24,19.81,19.86,7854360.000000001,1.8364,84.94165692
2025-06-13,19.85,20.2,19.55,19.68,13669600.0,3.1961,84.17179296
2025-06-16,19.53,19.88,19.46,19.61,7646588.0,1.7878,83.87240142
2025-06-17,19.57,19.66,19.2,19.56,7705356.0,1.8016,83.65855032
2025-06-18,19.56,19.76,19.29,19.33,6991900.0,1.6348,82.67483526
2025-06-19,19.11,19.32,18.38,18.49,10897228.0,2.5479,79.08213678
2025-06-20,18.45,18.54,18.08,18.13,5588400.0,1.3066,77.54240886
2025-06-23,18.01,18.78,18.01,18.73,7052839.999999999,1.649,80.10862206
2025-06-24,18.6,18.86,18.5,18.81,5517289.0,1.29,80.45078382
2025-06-25,18.83,19.28,18.75,19.17,7547439.999999999,1.7646,81.99051174
2025-06-26,19.0,20.69,19.0,19.88,22235890.0,5.1989,85.02719736
2025-06-27,19.75,20.44,19.7,19.85,13512322.0,3.1593,84.89888669999999
2025-06-30,19.83,20.64,19.83,20.49,16383417.000000002,3.8306,87.63618077999999
2025-07-01,20.64,20.75,20.29,20.54,14435501.999999998,3.3751,87.85003188
2025-07-02,20.51,20.54,20.12,20.15,9543502.0,2.2313,86.1819933
2025-07-03,20.15,20.56,20.08,20.23,6441000.0,1.506,86.52415506
2025-07-04,20.56,20.58,20.11,20.2,11672300.0,2.7291,86.3958444
2025-07-07,20.1,20.6,19.99,20.44,7938388.0,1.8561,87.42232968
2025-07-08,20.35,20.63,20.02,20.12,8964200.0,2.0959,86.05368264
2025-07-09,20.06,20.16,19.8,19.8,8043224.000000001,1.8806,84.6850356
2025-07-10,19.8,20.06,19.61,19.97,6613780.0,1.5464,85.41212933999999
2025-07-11,19.85,20.1,19.81,20.04,6009600.0,1.4051,85.71152088000001
2025-07-14,20.02,20.18,19.97,20.09,5956600.0,1.3927,85.92537198
2025-07-15,20.0,20.12,19.76,19.95,5398988.0,1.2623,85.32658889999999
2025-07-16,20.15,20.46,19.82,20.33,8356100.0,1.9537,86.95185726
2025-07-17,20.34,20.52,20.15,20.45,7607300.0,1.7786,87.4650999
2025-07-18,20.44,21.0,20.35,20.79,13588685.999999998,3.1771,88.91928738
2025-07-21,20.69,20.83,20.47,20.78,9617852.0,2.2487,88.87651716
2025-07-22,20.68,21.19,20.62,20.82,10915417.0,2.5521,89.04759804
2025-07-23,20.88,21.26,20.52,20.59,10610200.0,2.4807,88.06388297999999
2025-07-24,20.6,20.95,20.45,20.71,8950142.0,2.0926,88.57712561999999
2025-07-25,20.71,21.0,20.58,20.91,9456358.0,2.211,89.43253002
2025-07-28,20.93,21.36,20.87,21.17,9829091.0,2.2981,90.54455574
2025-07-29,21.06,21.74,20.92,21.45,12539401.0,2.9318,91.7421219
2025-07-30,21.45,22.29,21.27,21.61,17054176.0,3.9874,92.42644542000001
2025-07-31,21.61,23.77,21.4,23.77,24354557.0,5.6943,101.66481294
2025-08-01,24.59,24.7,22.58,23.18,43233836.0,10.1084,99.14136996
2025-08-04,22.99,23.8,22.91,23.56,25457656.0,5.9522,100.76663832
2025-08-05,23.43,24.1,23.27,23.7,23605673.0,5.5192,101.3654214
2025-08-06,23.55,24.55,23.35,24.23,23049209.0,5.3891,103.63224306
2025-08-07,24.17,24.37,23.63,23.94,19232763.0,4.4968,102.39190668
2025-08-08,23.68,25.16,23.68,24.83,25373712.0,5.9326,106.19845626
2025-08-11,24.95,27.31,24.6,26.33,38725009.0,9.0542,112.61398926
2025-08-12,26.33,27.03,25.81,25.98,26722443.0,6.2479,111.11703156000002
2025-08-13,25.53,26.85,25.5,26.6,24962744.0,5.8365,113.7687852
2025-08-14,26.6,26.72,25.0,25.01,25023204.0,5.8506,106.96832022
2025-08-15,24.71,25.0,24.4,24.59,16885026.0,3.9478,105.17197098000001
2025-08-18,24.54,24.9,24.29,24.52,14931768.0,3.4912,104.87257944
2025-08-19,24.52,24.58,23.9,24.07,12935212.0,3.0244,102.94791954
2025-08-20,24.07,24.45,23.91,24.17,12388336.0,2.8965,103.37562174
2025-08-21,24.1,24.84,23.94,24.46,15703169.0,3.6715,104.61595812
2025-08-22,24.46,24.88,24.07,24.6,15372818.0,3.5943,105.2147412
2025-08-25,24.6,26.07,24.35,25.6,23407771.0,5.4729,109.4917632
2025-08-26,25.61,25.82,25.18,25.39,14098472.0,3.2963,108.59358858
2025-08-27,25.34,25.36,24.0,24.02,16186969.0,3.7846,102.73406844
2025-08-28,24.06,24.55,22.65,24.26,19309693.0,4.5148,103.76055372
