date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,28.6,29.51,28.57,28.83,1876100.0,3.0984,17.456531560000002
2025-06-04,28.97,30.97,28.89,30.48,5848100.0,9.6583,18.45560464
2025-06-05,30.43,30.56,29.6,30.23,4159800.0,6.87,18.30422993
2025-06-06,30.1,30.43,29.85,30.1,2528000.0,4.1751,18.22551508
2025-06-09,30.1,31.17,30.1,30.8,3489600.0,5.7632,18.64936427
2025-06-10,30.61,31.69,30.6,31.12,4870854.0,8.0444,18.8431239
2025-06-11,31.0,31.2,30.34,30.53,3041954.0,5.0239,18.48587959
2025-06-12,30.52,30.97,30.2,30.83,2273500.0,3.7548,18.66752924
2025-06-13,31.37,33.33,30.79,32.02,9105116.0,15.0374,19.38807286
2025-06-16,31.46,32.2,30.27,31.57,5409441.0,8.9339,19.115598379999998
2025-06-17,31.08,31.83,30.63,30.78,3876123.0000000005,6.4015,18.637254300000002
2025-06-18,30.56,34.52,30.18,33.6,10889518.0,17.9844,20.34476102
2025-06-19,32.62,33.05,31.0,31.5,7700042.999999999,12.7169,19.073213459999998
2025-06-20,30.92,31.84,30.51,31.2,5128500.0,8.4699,18.89156381
2025-06-23,31.0,32.85,31.0,32.5,6558308.0,10.8312,19.6787123
2025-06-24,31.0,32.05,30.7,31.78,6220232.0,10.2729,19.24275314
2025-06-25,31.94,31.94,31.06,31.88,4033268.0,6.6611,19.30330302
2025-06-26,31.58,33.6,31.47,32.74,6413934.0,10.5928,19.824032019999997
2025-06-27,32.55,33.5,32.31,32.56,4541741.0,7.5008,19.71504223
2025-06-30,32.53,33.29,32.22,33.25,4064187.9999999995,6.7121,20.132836429999998
2025-07-01,33.2,33.85,32.6,33.15,3606308.0,5.9559,20.07228655
2025-07-02,33.13,33.13,31.71,31.98,3247600.0,5.3635,19.3638529
2025-07-03,32.01,32.63,31.79,32.15,2520102.0,4.162,19.466787710000002
