date,open,high,low,close,volume
2026-06-01,1.3,1.41,1.27,1.41,66356760.0
2026-06-02,1.44,1.48,1.43,1.48,26443973.0
2026-06-03,1.55,1.55,1.45,1.55,79447507.0
2026-06-04,1.63,1.63,1.54,1.63,74485477.0
2026-06-05,1.55,1.57,1.55,1.55,53248166.0
2026-06-08,1.47,1.5,1.47,1.47,44704766.0
2026-06-09,1.45,1.47,1.4,1.42,47333550.0
2026-06-10,1.42,1.42,1.35,1.35,24184100.0
2026-06-11,1.31,1.34,1.28,1.31,45778620.0
2026-06-12,1.35,1.36,1.27,1.32,44218361.0
2026-06-15,1.25,1.31,1.25,1.28,44624095.0
2026-06-16,1.27,1.34,1.25,1.34,31860395.0
2026-06-17,1.34,1.4,1.28,1.29,34767944.0
2026-06-18,1.26,1.28,1.23,1.23,25269694.0
2026-06-22,1.17,1.21,1.17,1.2,26828800.0
2026-06-23,1.16,1.24,1.16,1.2,30504001.0
2026-06-24,1.17,1.18,1.14,1.14,24086623.0
2026-06-25,1.08,1.08,1.08,1.08,5024800.0
2026-06-26,1.13,1.13,1.13,1.13,5198012.0
2026-06-29,1.19,1.19,1.19,1.19,2081700.0
2026-06-30,1.25,1.25,1.25,1.25,2186500.0
2026-07-01,1.31,1.31,1.29,1.31,36298014.0
2026-07-02,1.38,1.38,1.38,1.38,3507683.0
2026-07-03,1.42,1.45,1.35,1.4,65789214.0
2026-07-06,1.43,1.54,1.38,1.54,51811632.0
2026-07-07,1.45,1.48,1.39,1.39,41031400.0
2026-07-08,1.36,1.47,1.28,1.45,41214383.0
2026-07-09,1.39,1.51,1.38,1.4,37022900.0
