序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000593,德龙汇能,2026-08-13,3家机构买入，成功率33.96%,27.8,10.0119,64984436.43,304837837.17,239853400.74,544691237.91,1416230013.0,4.588551000437,38.460647840401,10.2495,9965832098.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
2,000593,德龙汇能,2026-08-13,3家机构买入，成功率18.02%,27.8,10.0119,-25424905.53,165057663.25,190482568.78,355540232.03,978570811.0,-2.598167168303,36.33260138494,10.2495,9965832098.2,日涨幅偏离值达到7%的前5只证券,,,,
3,000692,惠天热电,2026-08-13,1家机构买入，成功率32.65%,4.88,9.9099,22805212.92,71812093.92,49006881.0,120818974.92,437543051.0,5.212107212737,27.613048508911,8.546,2600224922.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
4,000779,甘咨询,2026-08-13,2家机构卖出，成功率28.39%,10.73,-9.9832,-40625402.5,84826138.64,125451541.14,210277679.78,1285041787.0,-3.161407116172,16.36348964736,24.9877,4987014343.65,日跌幅偏离值达到7%的前5只证券,,,,
5,000802,北京文化,2026-08-13,普通席位买入，成功率33.52%,6.26,10.0176,-88492818.0,155707278.0,244200096.0,399907374.0,851181588.0,-10.396467598404,46.982615653101,19.0072,4479305471.3,日涨幅偏离值达到7%的前5只证券,,,,
6,000802,北京文化,2026-08-13,普通席位买入，成功率35.74%,6.26,10.0176,-127394219.0,210653113.0,338047332.0,548700445.0,1513846791.0,-8.415264989652,36.245440969462,19.0072,4479305471.3,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
7,000887,中鼎股份,2026-08-13,普通席位买入，成功率47.18%,23.69,9.9814,351670164.46,531929475.46,180259311.0,712188786.46,1823019822.0,19.290528836609,39.066431306198,5.8574,31137439703.52,日涨幅偏离值达到7%的前5只证券,,,,
8,000887,中鼎股份,2026-08-13,普通席位买入，成功率45.83%,23.69,9.9814,487497491.51,720525968.32,233028476.81,953554445.13,3007980920.0,16.206801322064,31.700814283423,5.8574,31137439703.52,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
9,000936,华西股份,2026-08-13,普通席位买入，成功率46.63%,6.34,10.0694,51870679.54,91777288.0,39906608.46,131683896.46,329570049.0,15.738893657779,39.956269345337,2.9228,5616525716.58,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
10,001260,坤泰股份,2026-08-13,普通席位买入，成功率52.49%,21.03,9.9895,4215808.52999999,54137231.48,49921422.95,104058654.43,107588776.0,3.918446409317,96.718875610222,1.6606,2418450000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
11,001360,南矿集团,2026-08-13,4家机构卖出，成功率18.79%,15.8,-5.7279,-11775786.0,16145402.0,27921188.0,44066590.0,128569422.0,-9.159087609494,34.274549355911,6.292,1982652793.2,日振幅值达到15%的前5只证券,,,,
12,002047,宝鹰股份,2026-08-13,普通席位买入，成功率34.56%,4.2,7.1429,28599748.24,143897151.66,115297403.42,259194555.08,958524985.0,2.983724857209,27.040980583307,15.6702,6367867535.4,日振幅值达到15%的前5只证券,,,,
13,002081,金螳螂,2026-08-13,普通席位买入，成功率22.81%,4.81,10.0686,97005219.31,142006379.93,45001160.62,187007540.55,415159997.0,23.365743330517,45.044691661369,1.0319,12718810580.84,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
14,002172,澳洋健康,2026-08-13,普通席位买入，成功率48.25%,4.13,10.1333,51791684.0,79112578.0,27320894.0,106433472.0,291896206.0,17.743185055307,36.462780197972,3.049,3160031214.9,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
15,002229,鸿博股份,2026-08-13,主力做T，成功率13.12%,13.65,5.732,-63058894.81,232181596.27,295240491.08,527422087.35,3084161645.0,-2.044604079434,17.100987174426,44.9199,6731581624.95,日换手率达到20%的前5只证券,,,,
16,002248,华东数控,2026-08-13,主力做T，成功率40.83%,11.74,-3.5333,-32183920.93,101857751.0,134041671.93,235899422.93,1213003089.0,-2.653243113876,19.447553354912,32.7923,3609998344.0,日换手率达到20%的前5只证券,,,,
