date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,2.98,3.03,2.96,3.02,25930160.0,1.8988,41.24086475
2025-06-04,3.01,3.04,2.99,3.03,18320000.0,1.3415,41.3774239
2025-06-05,3.03,3.04,2.97,2.99,18559600.0,1.3591,40.83118729
2025-06-06,2.98,3.01,2.97,2.99,13397400.0,0.9811,40.83118729
2025-06-09,3.0,3.07,3.0,3.05,40065170.0,2.9339,41.650542210000005
2025-06-10,3.06,3.1,3.01,3.05,30927000.0,2.2647,41.650542210000005
2025-06-11,3.04,3.07,3.02,3.03,22970300.0,1.6821,41.3774239
2025-06-12,3.04,3.05,2.99,3.02,18438409.0,1.3502,41.24086475
2025-06-13,3.01,3.04,2.95,2.96,32121100.0,2.3522,40.42150982
2025-06-16,2.95,2.98,2.93,2.95,18496600.0,1.3545,40.28495067
2025-06-17,2.96,3.02,2.95,2.97,28298409.000000004,2.0722,40.55806898
2025-06-18,2.96,2.96,2.89,2.89,26823000.0,1.9642,39.465595740000005
2025-06-19,2.9,2.91,2.83,2.84,21191760.0,1.5518,38.78279996
2025-06-20,2.85,2.86,2.82,2.85,13946200.0,1.0213,38.91935912
2025-06-23,2.84,2.9,2.82,2.9,15650500.0,1.1461,39.60215489
2025-06-24,2.89,2.94,2.87,2.94,18187300.0,1.3318,40.14839151
2025-06-25,2.94,2.96,2.91,2.95,16451820.000000002,1.2047,40.28495067
2025-06-26,2.95,2.96,2.93,2.93,13532900.0,0.991,40.01183236
2025-06-27,2.93,2.98,2.93,2.96,17987640.0,1.3172,40.42150982
2025-06-30,2.96,2.97,2.94,2.96,11146100.0,0.8162,40.42150982
2025-07-01,2.96,2.99,2.95,2.99,21202400.0,1.5526,40.83118729
2025-07-02,2.99,3.02,2.98,3.01,30310500.0,2.2196,41.10430559
2025-07-03,2.94,2.99,2.89,2.97,39946000.0,2.9252,40.55806898
2025-07-04,2.98,3.04,2.97,2.99,39498970.0,2.8924,40.83118729
2025-07-07,2.98,3.03,2.95,2.97,29576700.0,2.1659,40.55806898
2025-07-08,2.96,3.0,2.95,3.0,23317500.0,1.7075,40.96774644
2025-07-09,3.0,3.01,2.98,3.0,21038070.0,1.5406,40.96774644
2025-07-10,3.0,3.05,2.99,3.04,27303430.0,1.9994,41.51398306
2025-07-11,3.05,3.05,3.0,3.02,26452860.0,1.9371,41.24086475
2025-07-14,3.02,3.04,3.01,3.04,21379600.0,1.5656,41.51398306
2025-07-15,3.03,3.04,2.95,2.99,29348350.0,2.1491,40.83118729
2025-07-16,2.98,3.03,2.97,3.03,26250700.0,1.9223,41.3774239
2025-07-17,3.03,3.06,3.01,3.06,29633170.0,2.17,41.78710137
2025-07-18,3.07,3.07,3.02,3.04,19843860.0,1.4531,41.51398306
2025-07-21,3.04,3.11,3.03,3.1,33628120.0,2.4625,42.33333799
2025-07-22,3.1,3.11,3.06,3.09,28459620.0,2.0841,42.19677883
2025-07-23,3.09,3.14,3.07,3.08,36443500.0,2.6687,42.06021968
2025-07-24,3.09,3.14,3.09,3.13,29751240.000000004,2.1786,42.74301545
2025-07-25,3.14,3.18,3.11,3.12,34647850.0,2.5372,42.606456300000005
2025-07-28,3.13,3.15,3.1,3.1,24560530.0,1.7985,42.33333799
2025-07-29,3.1,3.11,3.04,3.1,31145528.000000004,2.2807,42.33333799
2025-07-30,3.1,3.17,3.08,3.13,41628340.0,3.0484,42.74301545
2025-07-31,3.14,3.17,3.11,3.13,37631700.0,2.7557,42.74301545
2025-08-01,3.14,3.2,3.13,3.18,41323560.0,3.0261,43.42581123
2025-08-04,3.16,3.16,3.08,3.16,34867000.0,2.5533,43.15269292
2025-08-05,3.16,3.21,3.13,3.16,31080700.0,2.276,43.15269292
2025-08-06,3.16,3.19,3.09,3.11,36320500.0,2.6597,42.46989714
2025-08-07,3.11,3.16,3.08,3.1,40018700.0,2.9305,42.33333799
2025-08-08,3.1,3.12,3.06,3.1,28390600.0,2.079,42.33333799
2025-08-11,3.09,3.12,3.08,3.11,22183550.0,1.6245,42.46989714
2025-08-12,3.11,3.19,3.07,3.09,57629730.00000001,4.2201,42.19677883
