20260922 竞价评分: 17只 → D:\股票数据\市场数据\_学习\竞价评分_20260922.json
权重: {'信号': 0.048, '连板': 0.05, '炸板': 0.286, '封单比': 0.391, '温度': 0.115, '信号x连板': 0.111}
   50.3 智度股份(000676) 秒板·首板 封0.32 | 封单比=<0.5%(+8.0,桶均涨0.89%,n=259)
   50.3 先导基电(600641) 秒板·首板 封0.45 | 封单比=<0.5%(+8.0,桶均涨0.89%,n=259)
   44.3 伟时电子(605218) 秒板·首板 封0.08 | 封单比=<0.5%(+8.0,桶均涨0.89%,n=259)
   43.5 美盈森(002303) 秒板·2板 封0.98 | 炸板=炸1+(+3.4,桶均涨0.18%,n=1400)
   42.3 新华制药(000756) 一字·2板 封0.76 | 炸板=炸1+(+3.4,桶均涨0.18%,n=1400)
   41.2 哈药股份(600664) 秒板·2板 封1.57 | 炸板=炸1+(+3.4,桶均涨0.18%,n=1400)
   36.2 新华文轩(601811) 一字·3板 封1.08 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
   33.9 华媒控股(000607) 一字·2板 封3.39 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
   33.9 奥佳华(002614) 一字·2板 封3.65 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
   33.9 华远控股(600743) 一字·2板 封1.81 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
   33.9 南威软件(603636) 一字·2板 封2.08 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
   33.8 华瓷股份(001216) 一字·6板 封3.97 | 炸板=未炸(-2.6,桶均涨-1.26%,n=1781)
