date,open,high,low,close,volume
2025-06-03,14.24,14.88,14.24,14.52,12414373.0
2025-06-04,14.52,14.76,14.36,14.52,8588600.0
2025-06-05,14.45,14.73,14.23,14.61,8253800.0
2025-06-06,14.56,14.69,14.36,14.53,5584452.0
2025-06-09,14.53,14.81,14.47,14.78,6042073.0
2025-06-10,14.71,14.79,13.98,14.21,8319838.0
2025-06-11,14.22,14.43,14.15,14.17,5134000.0
2025-06-12,14.08,14.39,13.98,14.19,4721245.0
2025-06-13,14.08,14.16,13.58,13.62,6734800.0
2025-06-16,13.62,14.05,13.52,14.01,5459300.0
2025-06-17,14.02,14.18,13.77,13.86,4043000.0
2025-06-18,13.83,13.92,13.65,13.73,3527500.0
2025-06-19,13.73,13.93,13.31,13.39,4704700.0
2025-06-20,13.39,13.59,13.05,13.18,4242638.0
2025-06-23,13.18,13.66,13.05,13.59,4769738.0
2025-06-24,13.57,14.05,13.57,14.0,5010650.0
2025-06-25,14.0,14.23,13.88,14.2,5885600.0
2025-06-26,14.24,14.98,14.12,14.71,11621497.0
2025-06-27,14.73,14.8,14.5,14.6,7525338.0
2025-06-30,14.63,15.07,14.52,14.92,8154989.0
2025-07-01,14.88,15.07,14.5,14.7,8169600.0
2025-07-02,14.81,14.93,14.37,14.53,4493700.0
2025-07-03,14.6,14.67,14.43,14.52,3388600.0
2025-07-04,14.46,14.64,14.24,14.46,4284600.0
2025-07-07,14.35,14.57,14.28,14.53,3067700.0
2025-07-08,14.45,14.65,14.41,14.57,4668909.0
2025-07-09,14.58,15.49,14.53,14.91,14013390.0
2025-07-10,15.2,15.45,14.69,14.85,13984853.0
2025-07-11,14.71,15.19,14.53,15.03,13844656.0
2025-07-14,14.93,15.06,14.68,15.01,8394123.0
2025-07-15,14.95,15.36,14.54,15.32,13940221.0
2025-07-16,14.9,15.9,14.68,15.32,21996354.0
2025-07-17,15.18,16.0,14.95,15.97,25862000.0
2025-07-18,15.8,16.78,15.64,16.77,27010786.0
2025-07-21,16.44,16.55,16.02,16.2,16397188.0
2025-07-22,16.1,16.1,15.52,15.68,13784835.0
2025-07-23,15.54,15.68,15.19,15.3,11111995.0
2025-07-24,15.25,15.73,15.25,15.54,7370100.0
2025-07-25,15.59,17.8,15.59,16.73,33667822.0
2025-07-28,16.51,16.72,15.84,15.92,21689274.0
2025-07-29,15.92,16.08,15.65,15.84,12332345.0
2025-07-30,15.86,15.98,15.4,15.57,11188816.0
2025-07-31,15.7,16.58,15.7,15.87,17841435.0
2025-08-01,15.87,16.22,15.6,16.22,15659524.0
2025-08-04,16.01,16.66,15.98,16.51,17962162.0
2025-08-05,16.45,17.43,16.36,17.31,26193513.0
2025-08-06,17.1,17.13,16.68,17.01,18291495.0
2025-08-07,16.87,17.67,16.6,17.49,20479591.0
2025-08-08,17.11,17.16,16.5,16.58,14913723.0
2025-08-11,16.48,16.88,16.4,16.86,10630184.0
2025-08-12,16.72,17.14,16.63,16.66,8495194.0
2025-08-13,16.6,16.73,16.4,16.57,9037420.0
2025-08-14,16.57,16.58,15.89,16.04,9997252.0
2025-08-15,16.04,16.28,15.92,16.22,6253613.0
2025-08-18,16.28,16.61,16.2,16.53,10117473.0
2025-08-19,16.47,16.92,16.35,16.69,11945374.0
2025-08-20,16.51,16.69,16.15,16.46,8503731.0
2025-08-21,16.48,17.93,16.46,17.17,30234993.0
2025-08-22,16.91,17.38,16.71,16.97,18142267.0
2025-08-25,17.05,17.1,16.66,16.78,14865727.0
2025-08-26,17.3,18.0,17.26,17.35,26707490.0
2025-08-27,17.67,17.89,17.15,17.17,21400145.0
2025-08-28,16.8,17.51,16.42,17.15,15891969.0
2025-08-29,17.0,17.05,16.36,16.39,12152696.0
2025-09-01,16.39,16.93,16.39,16.49,9453733.0
