date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,13.76,13.88,13.71,13.78,4594300.0,0.4937,128.24080297999998
2025-06-04,13.8,13.97,13.66,13.9,5405648.0,0.5809,129.35755888
2025-06-05,13.91,14.09,13.79,14.02,7632641.0,0.8202,130.47431478
2025-06-06,14.0,14.09,13.88,13.95,5538030.0,0.5951,129.82287384
2025-06-09,14.05,14.23,13.95,14.16,8978720.0,0.9648,131.77719667
2025-06-10,14.16,14.16,13.79,13.91,7959995.0,0.8553,129.45062187000002
2025-06-11,13.91,14.1,13.87,13.93,6413301.0,0.6891,129.63674786
2025-06-12,13.95,13.95,13.83,13.83,5349100.0,0.5748,128.70611794
2025-06-13,13.8,13.85,13.5,13.52,9130060.0,0.9811,125.82116518000001
2025-06-16,13.51,13.68,13.5,13.54,4890092.0,0.5255,126.00729117
2025-06-17,13.6,13.66,13.48,13.53,4344026.0,0.4668,125.91422818
2025-06-18,13.46,13.53,13.25,13.38,6602550.999999999,0.7095,124.51828330000001
2025-06-19,13.37,13.47,13.14,13.2,6436980.0,0.6917,122.84314943999999
2025-06-20,13.26,13.38,13.17,13.23,4880420.0,0.5244,123.12233841999999
2025-06-23,13.2,13.45,13.15,13.4,5184852.0,0.5571,124.70440928
2025-06-24,13.43,13.6,13.42,13.58,5682319.0,0.6106,126.37954314
2025-06-25,13.58,13.65,13.44,13.64,7339708.0,0.7887,126.93792109
2025-06-26,13.58,13.64,13.39,13.4,7370800.0,0.792,124.70440928
2025-06-27,13.35,13.68,13.34,13.52,8418269.0,0.9046,125.82116518000001
2025-06-30,13.67,13.98,13.6,13.88,11979495.0,1.2872,129.17143289999999
2025-07-01,13.84,14.1,13.81,13.96,11432243.0,1.2284,129.91593683
2025-07-02,13.94,13.96,13.74,13.84,7244900.999999999,0.7785,128.79918093
2025-07-03,13.8,13.9,13.71,13.74,5827646.0,0.6262,127.86855101
2025-07-04,13.67,13.7,13.38,13.41,9823905.0,1.0556,124.79747227
2025-07-07,13.39,13.53,13.39,13.47,4824560.0,0.5184,125.35585022
2025-07-08,13.47,13.68,13.4,13.6,7725980.0,0.8302,126.56566912
2025-07-09,13.58,13.64,13.5,13.51,5940403.0,0.6383,125.72810219
2025-07-10,13.54,13.67,13.46,13.58,7002920.0,0.7525,126.37954314
2025-07-11,13.57,13.77,13.39,13.61,9694880.0,1.0418,126.65873211
2025-07-14,13.64,13.69,13.41,13.44,8533098.0,0.9169,125.07666125
2025-07-15,13.55,13.84,13.48,13.75,17554454.0,1.8863,127.96161399999998
2025-07-16,13.75,13.82,13.64,13.79,8637995.0,0.9282,128.33386597
2025-07-17,13.82,13.96,13.75,13.93,10711500.0,1.151,129.63674786
2025-07-18,13.95,14.36,13.83,14.09,16207654.0,1.7416,131.12575573
2025-07-21,14.08,14.15,14.0,14.09,10365653.0,1.1138,131.12575573
2025-07-22,14.08,14.24,14.0,14.2,10055070.0,1.0805,132.14944864
2025-07-23,14.18,14.44,14.16,14.2,12423845.0,1.335,132.14944864
2025-07-24,14.17,14.35,14.17,14.31,8468935.0,0.91,133.17314155
2025-07-25,14.35,14.96,14.24,14.85,23094173.0,2.4816,138.19854312
2025-07-28,14.86,15.01,14.57,14.91,16560022.0,1.7794,138.75692107
2025-07-29,14.86,15.25,14.85,15.09,16939621.0,1.8202,140.43205493000002
2025-07-30,15.0,15.13,14.76,14.84,16808561.0,1.8061,138.10548013
2025-07-31,14.8,14.98,14.54,14.62,13898000.0,1.4934,136.0580943
2025-08-01,14.65,14.71,14.36,14.44,9674600.0,1.0396,134.38296044999998
2025-08-04,14.35,14.59,14.31,14.5,8311921.000000001,0.8931,134.9413384
2025-08-05,14.5,14.69,14.47,14.66,8116536.0,0.8722,136.43034627
2025-08-06,14.66,14.85,14.61,14.73,8218939.999999999,0.8832,137.08178722000002
2025-08-07,14.63,14.9,14.6,14.78,9947358.0,1.0689,137.54710218
2025-08-08,14.76,14.76,14.45,14.47,8754200.0,0.9407,134.66214942000002
2025-08-11,14.45,14.83,14.43,14.71,10934012.0,1.1749,136.89566123
