# 885362.TI 云计算
time,close,amount
2025-06-13,3577.113,86933344000.0
2025-06-16,3664.502,79087256000.0
2025-06-17,3662.303,81733304000.0
2025-06-18,3648.13,76581725000.0
2025-06-19,3570.842,77421319000.0
2025-06-20,3503.416,65736802000.0
2025-06-23,3594.623,74708598000.0
2025-06-24,3685.524,90613360000.0
2025-06-25,3761.394,110514574000.0
2025-06-26,3781.015,124569670000.0
2025-06-27,3777.329,102087142000.0
2025-06-30,3830.687,97688495000.0
2025-07-01,3784.189,86636144000.0
2025-07-02,3729.151,68841088000.0
2025-07-03,3745.299,58821693000.0
2025-07-04,3751.292,89868391000.0
2025-07-07,3765.947,83356601000.0
2025-07-08,3831.371,102747082000.0
2025-07-09,3820.135,95248002000.0
2025-07-10,3811.96,91033204000.0
2025-07-11,3860.062,111607715000.0
2025-07-14,3841.905,86871073000.0
2025-07-15,3888.871,132764887000.0
2025-07-16,3906.765,113534456000.0
2025-07-17,3942.76,123021179000.0
2025-07-18,3951.089,128120342000.0
2025-07-21,3952.953,102207371000.0
2025-07-22,3921.077,95516509000.0
2025-07-23,3915.171,95058215000.0
2025-07-24,3967.938,97065874000.0
2025-07-25,4022.855,127813267000.0
2025-07-28,4012.954,115935569000.0
2025-07-29,4014.49,103848442000.0
2025-07-30,3965.879,100380886000.0
2025-07-31,3990.109,143220970000.0
2025-08-01,4022.324,126781738000.0
2025-08-04,4069.365,99476590000.0
2025-08-05,4069.548,103117644000.0
2025-08-06,4119.071,114173438000.0
2025-08-07,4122.459,118753655000.0
2025-08-08,4050.533,124186243000.0
2025-08-11,4125.004,112170840000.0
2025-08-12,4143.502,131608844000.0
2025-08-13,4183.478,165850850000.0
2025-08-14,4137.804,184330280000.0
2025-08-15,4215.002,158563040000.0
2025-08-18,4316.729,211112050000.0
2025-08-19,4338.279000000001,205232770000.0
2025-08-20,4344.834,184307540000.0
2025-08-21,4362.139,201990200000.0
2025-08-22,4451.992,227872790000.0
2025-08-25,4503.612,255592490000.0
2025-08-26,4546.25,232446760000.0
2025-08-27,4469.127,284432350000.0
2025-08-28,4520.064,260359340000.0
2025-08-29,4454.884,206492720000.0
2025-09-01,4482.156,209343450000.0
2025-09-02,4317.388,212036310000.0
2025-09-03,4208.304,164539560000.0
2025-09-04,4128.068,166439430000.0
2025-09-05,4222.553,138903470000.0
2025-09-08,4258.609,134675860000.0
2025-09-09,4184.4,120259281000.0
2025-09-10,4218.426,124762217000.0
2025-09-11,4325.133,163906670000.0
2025-09-12,4328.146,186853800000.0
2025-09-15,4307.014,149806510000.0
2025-09-16,4376.278,163005440000.0
2025-09-17,4386.926,161964140000.0
2025-09-18,4314.671,230554870000.0
2025-09-19,4278.487,152240010000.0
2025-09-22,4329.686,154973140000.0
2025-09-23,4225.793,181982810000.0
2025-09-24,4312.758,164268460000.0
2025-09-25,4335.8,182087390000.0
2025-09-26,4219.235,155204500000.0
2025-09-29,4249.6,124036619000.0
2025-09-30,4291.992,129857400000.0
2025-10-09,4328.026,171852650000.0
2025-10-10,4241.38,146530600000.0
2025-10-13,4229.761,132170947000.0
2025-10-14,4149.98,137098680000.0
2025-10-15,4201.378,103734202000.0
2025-10-16,4158.779000000001,102766016000.0
2025-10-17,4038.851,104622419000.0
2025-10-20,4083.153,86117872000.0
2025-10-21,4142.874,98416965000.0
2025-10-22,4124.322,81368241000.0
2025-10-23,4143.246,81773812000.0
2025-10-24,4179.815,95934572000.0
2025-10-27,4204.787,121534114000.0
2025-10-28,4217.821,121794404000.0
2025-10-29,4230.361,120839370000.0
2025-10-30,4190.063,135550750000.0
2025-10-31,4268.261,143525850000.0
2025-11-03,4333.173,135028780000.0
2025-11-04,4284.417,113919563000.0
2025-11-05,4265.508,105840071000.0
2025-11-06,4251.179,112261307000.0
2025-11-07,4192.672,95447687000.0
2025-11-10,4209.227,97549779000.0
2025-11-11,4180.055,89635395000.0
2025-11-12,4147.118,81460551000.0
2025-11-13,4191.255,79162991000.0
2025-11-14,4129.811,84018159000.0
2025-11-17,4205.392,96498039000.0
2025-11-18,4229.535,116441664000.0
2025-11-19,4160.95,103724932000.0
2025-11-20,4143.675,103320943000.0
2025-11-21,4037.222,120836257000.0
2025-11-24,4162.359,138677730000.0
2025-11-25,4225.837,142006780000.0
2025-11-26,4192.282,126368602000.0
2025-11-27,4158.778,108344614000.0
2025-11-28,4195.864,92614733000.0
2025-12-01,4215.217,103092762000.0
2025-12-02,4172.256,93588206000.0
2025-12-03,4074.127,92750916000.0
2025-12-04,4025.781,77809701000.0
2025-12-05,4087.021,80900936000.0
2025-12-08,4138.967,104181890000.0
2025-12-09,4104.418,106889894000.0
2025-12-10,4087.452,89461756000.0
2025-12-11,4019.89,91767657000.0
2025-12-12,4035.086,93855603000.0
2025-12-15,3996.84,76993340000.0
2025-12-16,3947.493,80830467000.0
2025-12-17,3974.101,83934632000.0
2025-12-18,3970.162,69774193000.0
2025-12-19,4011.039,72406387000.0
2025-12-22,4032.764,81574504000.0
2025-12-23,3975.545,79568597000.0
2025-12-24,4031.657,79639877000.0
2025-12-25,4075.242,83594020000.0
2025-12-26,4079.016,100524840000.0
2025-12-29,4084.643,108116647000.0
2025-12-30,4076.71,105807359000.0
2025-12-31,4124.893,116131965000.0
2026-01-05,4232.648,148597040000.0
2026-01-06,4285.73,149735490000.0
2026-01-07,4259.897,142599620000.0
2026-01-08,4354.2,182764990000.0
2026-01-09,4498.549,232156070000.0
2026-01-12,4797.183,294411130000.0
2026-01-13,4709.011,332438130000.0
2026-01-14,4887.43,376514250000.0
2026-01-15,4759.014,239887240000.0
2026-01-16,4641.667,221237260000.0
2026-01-19,4594.156,178221330000.0
2026-01-20,4528.366,156204060000.0
2026-01-21,4538.813,147883140000.0
2026-01-22,4610.337,155403670000.0
2026-01-23,4708.461,179304070000.0
2026-01-26,4651.12,194682370000.0
2026-01-27,4668.761,178267130000.0
2026-01-28,4639.14,193723590000.0
2026-01-29,4639.572,232907160000.0
2026-01-30,4569.572,173602610000.0
2026-02-02,4455.116,161498260000.0
2026-02-03,4582.411,170011070000.0
2026-02-04,4503.558,165126980000.0
2026-02-05,4470.751,122495547000.0
2026-02-06,4461.846,130938081000.0
2026-02-09,4595.051,156179250000.0
2026-02-10,4648.816,169809420000.0
2026-02-11,4643.99,153314980000.0
2026-02-12,4690.818,181282200000.0
2026-02-13,4659.249,173704060000.0
2026-02-24,4582.342,167670890000.0
2026-02-25,4578.558,147020990000.0
2026-02-26,4592.131,164196970000.0
2026-02-27,4692.376,204730170000.0
2026-03-02,4535.215,184576350000.0
2026-03-03,4322.726,192013960000.0
2026-03-04,4300.982,128432325000.0
2026-03-05,4368.655,140221750000.0
2026-03-06,4440.757,128431461000.0
2026-03-09,4525.286,206043800000.0
2026-03-10,4602.256,216424700000.0
2026-03-11,4567.776,190733850000.0
2026-03-12,4526.619,180216450000.0
2026-03-13,4403.682,152921740000.0
2026-03-16,4431.913,124205967000.0
2026-03-17,4325.907,117543360000.0
2026-03-18,4467.285,144618060000.0
2026-03-19,4417.936,150498210000.0
2026-03-20,4223.375,158191880000.0
2026-03-23,3993.729,134312960000.0
2026-03-24,4116.297,117299664000.0
2026-03-25,4207.67,133387296000.0
2026-03-26,4091.454,113428337000.0
2026-03-27,4130.907,94075003000.0
2026-03-30,4143.075,102766429000.0
2026-03-31,4078.197,110597481000.0
2026-04-01,4158.735,123380053000.0
2026-04-02,4027.776,108566923000.0
2026-04-03,3974.275,97640050000.0
2026-04-07,3993.816,90055222000.0
2026-04-08,4240.29,165992040000.0
2026-04-09,4153.638,136786370000.0
2026-04-10,4174.926,140458050000.0
2026-04-13,4181.773,131745096000.0
2026-04-14,4254.154000000001,158768920000.0
2026-04-15,4226.147,150758010000.0
2026-04-16,4359.212,175905840000.0
2026-04-17,4351.379,164726670000.0
2026-04-20,4380.206,177875690000.0
2026-04-21,4306.705,143287450000.0
2026-04-22,4370.643,192906840000.0
2026-04-23,4320.175,179218080000.0
2026-04-24,4282.396,183794040000.0
