# 885372.TI 页岩气
time,close,amount
2025-06-13,2202.752,17827877000.0
2025-06-16,2249.08,18562337000.0
2025-06-17,2304.895,19821582000.0
2025-06-18,2314.14,17077171000.0
2025-06-19,2334.765,20816239000.0
2025-06-20,2285.57,17212320000.0
2025-06-23,2359.571,19751963000.0
2025-06-24,2287.756,19735933000.0
2025-06-25,2273.524,14144702000.0
2025-06-26,2302.623,15577243000.0
2025-06-27,2282.876,12573070200.0
2025-06-30,2301.938,11410007500.0
2025-07-01,2299.218,10256014400.0
2025-07-02,2325.59,13582484000.0
2025-07-03,2316.738,11608557300.0
2025-07-04,2282.148,10776753500.0
2025-07-07,2288.413,9315725200.0
2025-07-08,2311.061,10356953700.0
2025-07-09,2309.099,12005951700.0
2025-07-10,2339.204,16385316000.0
2025-07-11,2336.74,14901978000.0
2025-07-14,2348.973,11479643000.0
2025-07-15,2311.371,11269490700.0
2025-07-16,2319.25,7855473200.0
2025-07-17,2334.843,8692340400.0
2025-07-18,2344.911,8778218300.0
2025-07-21,2385.731,11348762900.0
2025-07-22,2425.986,15650981000.0
2025-07-23,2395.647,13152002500.0
2025-07-24,2426.79,13930685000.0
2025-07-25,2413.673,14841845000.0
2025-07-28,2421.782,13901222000.0
2025-07-29,2422.684,14273635000.0
2025-07-30,2449.037,20128185000.0
2025-07-31,2402.723,17290907000.0
2025-08-01,2400.026,16263776000.0
2025-08-04,2419.205,11020762300.0
2025-08-05,2461.368,14991351000.0
2025-08-06,2487.256,16251382000.0
2025-08-07,2494.604,14920582000.0
2025-08-08,2519.313,16730453000.0
2025-08-11,2534.055,18171033000.0
2025-08-12,2525.27,16192869000.0
2025-08-13,2545.263,18267271000.0
2025-08-14,2504.586,17634339000.0
2025-08-15,2543.222,16814817000.0
2025-08-18,2575.108,20493339000.0
2025-08-19,2560.11,16716841000.0
2025-08-20,2578.825,15283242000.0
2025-08-21,2599.231,18769010000.0
2025-08-22,2594.086,16820594000.0
2025-08-25,2591.44,18226546000.0
2025-08-26,2602.755,16056679000.0
2025-08-27,2528.917,18118027000.0
2025-08-28,2543.696,15744666000.0
2025-08-29,2527.869,15140841000.0
2025-09-01,2565.181,13791969000.0
2025-09-02,2558.366,19787986000.0
2025-09-03,2501.741,14135210000.0
2025-09-04,2485.717,16426220000.0
2025-09-05,2530.589,11982074000.0
2025-09-08,2558.46,13056810400.0
2025-09-09,2529.273,11089388100.0
2025-09-10,2554.36,11994683700.0
2025-09-11,2573.087,14485438000.0
2025-09-12,2560.74,13083326900.0
2025-09-15,2570.688,13628429000.0
2025-09-16,2572.666,14360406000.0
2025-09-17,2581.621,13402532400.0
2025-09-18,2545.817,19820114000.0
2025-09-19,2549.783,21081974000.0
2025-09-22,2530.674,16120202000.0
2025-09-23,2502.078,17265414000.0
2025-09-24,2546.441,14227659000.0
2025-09-25,2519.316,13479452000.0
2025-09-26,2519.945,11892886500.0
2025-09-29,2538.485,12158419300.0
2025-09-30,2539.525,12027532500.0
2025-10-09,2585.851,15063427000.0
2025-10-10,2592.788,15814548000.0
2025-10-13,2594.613,15108195000.0
2025-10-14,2613.592,16150477000.0
2025-10-15,2626.851,12626694800.0
2025-10-16,2583.78,11928282000.0
2025-10-17,2571.369,13816268000.0
2025-10-20,2652.404,15646116000.0
2025-10-21,2767.363,20589560000.0
2025-10-22,2830.659,26139580000.0
